B520 BAINES:BANGE:BANGS:BANKS:BANNICK:BAUMES:BAYNES:BEHNKE:BEIMS:BEMIS:BENCE:BENEAKE:BENES:BENGE:BENJEY:BENNIS:BENZ:BING:BINNS:BOMZE:BONAS:BONZEY:BOUNCH:BUNCE:BUNCH:BUNG
B521 BENJAFIELD:BONGIOVANNI
B522 BENGES
B523 BANISTER:BANKHEAD:BANKSTON:BANNISTER:BENGTSSON:BONECUTTER:BONSTEIN:BYINGTON
B524 BENSLEY:BINKLEY:BONSAL:BONSALL:BUENZLI
B525 BANGHAM:BENJAMIN:BENKENDORF:BENNISON:BENSON:BINGAMAN:BINGHAM:BINSKIN
B526 BANCKER:BANCROFT:BANGERT:BANKER:BAUMGARDNER:BAUMGARTNER:BINGER:BONGERZ:BONSER:BUMGARDNER:BUMGARNER:BUNGARD:BUNKER:BYNAKER
B530 BANDY:BANTA:BENDA:BENNET:BENNETT:BENOIT:BENT:BOND:BONNET:BONNETT:BONNETTE:BUNDY:BUNT
B532 BENDZALA:BENEDICT:BENTZ:BONDS:BOUNDS:BUNDICK
B534 BENDALL:BENTLEY
B535 BANTON:BENTHAMER:BENTON:BOYNTON:BUNTIN:BUNTING:BUNTON:BUNTYN
B536 BENDER:BINDER:BONDURANT:BUNDRANT:BUNTER
B540 BAMMEL:BONILLA:BONNELL:BUNNELL
B550 BANNON:BAUMAN:BAUMANN:BEAMAN:BEEMAN:BENHAM:BENYON:BINYON:BOHANNAN:BOHANNON:BOHANON:BOMAN:BONHAM:BONIN:BONINE:BOWMAN:BUHMANN:BYNAM:BYNON:BYNUM
B552 BANNING:BENNING:BENNINGFIELD:BENNINGTON:BINNING:BOENING
B553 BEAUMONT
B555 BIENEMANN
B560 BEAMER:BEEMER:BEHYMER:BENNER:BOMAR:BOMMER:BONAR:BONNER:BOOMHOUR
B562 BAUMERS
B563 BUNYARD
B565 BANNERMAN
B600 BAEHR:BAER:BAHR:BAIER:BAIR:BARE:BARR:BARRE:BARRIE:BARROW:BARRY:BAUER:BAUR:BAYER:BEAR:BEER:BEERY:BEHR:BEIER:BERRY:BEYER:BIER:BOOHER:BORA:BOWER:BOWRA:BOWYER:BOYER:BRAY:BREW:BURAU:BURR:BURROW:BYER
B610 BARBEE:BARIBEAU:BEARUP:BORUFF:BROPHY:BRUFFEY:BURBEY
B612 BARBAKOW:BRABAZON:BROBST:BRUBAKER:BURBAGE
B613 BAREFOOT:BURBIDGE
B614 BAERVELDT:BARFIELD
B615 BRABANT:BURBANK
B616 BARBER:BARBERIE:BARBIER:BARBIERI:BARBOUR:BIERBAUER:BRAYBROOK:BREVARD:BURBRIDGE:BURBURY:BURFORD
B620 BAREIS:BARGY:BARRICK:BARROWS:BARRS:BARRUS:BARWICK:BARWIS:BEARCE:BEARSE:BEERS:BEIERS:BERG:BERGEY:BERGIE:BERKEY:BERRICK:BEYERS:BIERCE:BIRCH:BIRGE:BORIS:BOROWSKI:BOURG:BOURKE:BOWERS:BRACE:BRAGG:BRAKE:BREECH:BREES:BREESE:BREEZE:BRESCH:BRESEE:BREZEE:BRICE:BRICK:BRICKEY:BRIECK:BRIGGS:BRISCOE:BRISKEY:BRIX:BRIXEY:BROACH:BROCK:BROCKWAY:BROKAW:BROOK:BROOKE:BROOKS:BROSCH:BROSSEAU:BROUGH:BRUCE:BRUCH:BRUCK:BRUGH:BRUSH:BRYCE:BRYS:BURAS:BURCH:BURG:BURGE:BURK:BURKE:BURKEY:BURKS:BURRESS:BURRIS:BURROWS:BURSEY:BURSK:BYARS:BYERS
B621 BERESFORD:BERRISFORD:BIRCHFIELD:BRASFIELD:BRISBIN:BROOKOVER:BURCHFIELD
B622 BERGESON:BERGHUIS:BORGESON:BOURGEOIS:BOURGUIGNON:BRIGUGLIO:BROCKHUS:BROOKES:BROSIUS:BRZEZINSKI:BURGAJL:BURGES:BURGESS:BURKHISER:BURROUGHS:BURZYCKI
B623 BARKSDALE:BARRESDALE:BARSTAD:BARSTOW:BERGSTROM:BORST:BORSTLAP:BRACKETT:BRAGDON:BRAZDA:BRECHT:BREWSTER:BRIGHT:BRIGHTBILL:BRIGHTMAN:BRIGHTON:BRIGHTWELL:BRISTOL:BRISTOW:BROCKETT:BROGDEN:BROGDON:BROUGHTON:BURCHETT:BURGETT:BURKET:BURKETT
B624 BARCLAY:BARCLEY:BARGELT:BARKLEY:BARRACLOUGH:BARRESCAL:BARRICKLOW:BARRISKILL:BERGOLD:BERKELEY:BERSELL:BIRCHALL:BIRKHOLZ:BRACELAND:BRACEWELL:BRASWELL:BRAZEAL:BRAZELTON:BRAZZIL:BREAZEALE:BRESLIN:BRICKLAND:BROCKLEBANK:BROCKLEHURST:BROCKLEY:BROCKWELL:BURCHELL:BURKHALTER:BURKHOLDER:BURKLOW
B625 BARKMAN:BERGANDINE:BERGEN:BERGIN:BERGMAN:BERGMANN:BERKHEIMER:BIRKENHEAD:BRACKEN:BRACKENBURY:BRACKHONGE:BRASINGTON:BRASSINGTON:BRECKENRIDGE:BRECKON:BRESNER:BRICKENDEN:BRICKMAN:BRIGANCE:BRIGHAM:BRIGMAN:BRIZENDINE:BROCKMAN:BROGAN:BROKINS:BROOKMAN:BROSNAN:BRYSON:BURCHAM:BURGAN:BURGIN:BURGOYNE:BURKAN:BURKHAMMER:BURKMAN:BURSON:BURZYNSKI
B626 BARCROFT:BARGER:BARKER:BEAUREGARD:BERCIER:BERGER:BERGERON:BERGERSON:BERGGREEN:BIRCHARD:BORGER:BRACHER:BRASHEAR:BRASHEARS:BRASHER:BRASSEUR:BRAUKER:BRAZIER:BRESHEARS:BRICKER:BROOKER:BROOKSHIRE:BROUGHER:BROUSSARD:BURCHARD:BURCHER:BURGER:BURGHARDT:BURKHARDT:BURKHART
B630 BAIRD:BARADA:BARD:BARRATT:BARRET:BARRETT:BARTEE:BARTH:BARTO:BEAIRD:BEARD:BIRD:BIRT:BOARD:BORT:BOURDEAU:BOWARD:BRADDY:BRADT:BRADY:BRATT:BREED:BRETT:BRITT:BROAD:BROADAWAY:BROADWAY:BRODIE:BRODY:BROTT:BURAT:BURD:BURDUE:BURT:BYARD:BYRD
B631 BARTFAI:BRADBERRY:BRADBURN:BRADBURY:BRADFIELD:BRADFORD:BRATVOLD:BREDBECK:BREITHAUPT:BROADBENT:BROADFOOT:BRODBECK
B632 BARTASH:BARTOSH:BARTZ:BEARDSLEY:BERTSCH:BIRDSALL:BIRDSEY:BIRDSEYE:BIRDSONG:BIRTCHER:BORDAS:BORDEAUX:BORDESSA:BORDEWICH:BRADDOCK:BRADISH:BRADSHAW:BRADSTREET:BRADSWORTH:BRATCHER:BRETZ:BRIDGE:BRIDGEMAN:BRIDGER:BRIDGES:BRIDGEWATER:BRIDGFORD:BRIDGMAN:BROADDUS:BROADUS:BRODECK:BRODES:BRODESS:BROTZMAN:BURDGE:BURDICK:BURRIDGE:BURTCH:BURTCHER
B633 BRAITHWAITE:BROADHEAD:BROADWATER:BURDETT:BURDETTE:BURDITT
B634 BARTEL:BARTELS:BARTHEL:BARTHOL:BARTHOLOMEW:BARTLE:BARTLETT:BARTLEY:BERTELE:BIRDWELL:BORDELON:BRADLEY:BREEDLOVE:BRIDDELL:BRIDLE:BRIDWELL:BROADWELL:BURTLE
B635 BARDEN:BARDIN:BARDMESS:BARTON:BEARDEN:BEARDON:BERTHIAUME:BOARDMAN:BORDEN:BORDNER:BORTON:BRADDOM:BRADEN:BRADING:BRATTON:BRAYTON:BREADON:BREDDIN:BREEDEN:BREEDING:BREITENBUCHER:BREITENSTEIN:BRETTMEISTER:BREWTON:BRIDENSTINE:BRITTAIN:BRITTEN:BRITTINGHAM:BRITTON:BRUTON:BRYDEN:BURDEN:BURDINE:BURTON
B636 BARTER:BARTRAM:BERTRAM:BERTRAND:BORDERS:BRETHERTON:BROADHURST:BRODERICK:BROTHERS:BROTHERTON:BROWDER:BRUDER
B640 BARIL:BARLEY:BARLOW:BERLE:BERRYHILL:BIRRELL:BRALEY:BRAWLEY:BRILEY:BRILL:BRULE:BURLEY:BURRELL:BURRILL:BURWELL:BYERLY
B642 BARLAGE:BRAILSFORD:BRELSFORD:BRILES:BROYLES:BURLEIGH:BURLESON
