AMLReq,AMLRequest
InstgRmbrsmntAgtInd,InstructingReimbursementAgentInd
Instr,Instruction
InstrCpy,InstructionCopy
InstrCpyInd,InstructionCopyInd
InstrForAssgne,InstructionForAssignee
InstrForCdtrAgt,InstructionForCreditorAgent
InstrForChqAgt,InstructionForChequeAgent
InstrForDbtrAgt,InstructionForDebitorAgent
InstrForInstdAgt,InstructionForInstructedAgent
InstrForNxtAgt,InstructionForNextAgent
InstrId,InstructingId
InstrInd,InstructingInd
InstrInf,InstructingInformation
InstrPrcgAddtlDtls,InstructingProcessingAdditionalDetails
InstrPrty,InstructingPriority
InstrStsRtrCrit,InstructingStatusReturnCriteria
Instrm,Instrument
IntnddSttlmDt,IntendedSettlementDate
IntrBk,Interbank
IntrBkSttlmAmt,InterBankSettlementAmount
IntrBkSttlmAmtCcy,InterBankSettlementAmountCurrency
IntrBkSttlmAmtInd,InterBankSettlementAmountInd
IntrBkSttlmDt,InterBankSettlementDate
IntrBkSttlmDtInd,InterBankSettlementInd
IntraBal,IntraBalance
IntraBalMvmntConf,IntraBalanceMovementConfirmation
IntraBalMvmntCxlQry,IntraBalanceMovementCancellationQuery
IntraBalMvmntCxlReq,IntraBalanceMovementCancellationRequest
IntraBalMvmntCxlReqStsAdvc,IntraBalanceMovementCancellationRequestStatusAdvice
IntraBalMvmntCxlRpt,IntraBalanceMovementCancellationReport
IntraBalMvmntId,IntraBalanceMovementId
IntraBalMvmntInstr,IntraBalanceMovementInstrument
IntraBalMvmntModQry,IntraBalanceMovementModificationQuery
IntraBalMvmntModReq,IntraBalanceMovementModificationRequest
IntraBalMvmntModReqStsAdvc,IntraBalanceMovementModificationRequestStatusAdvice
IntraBalMvmntModRpt,IntraBalanceMovementModificationReport
IntraBalMvmntPdgRpt,IntraBalanceMovementPendingReport
IntraBalMvmntPstngRpt,IntraBalanceMovementPostingReport
IntraBalMvmntQry,IntraBalanceMovementQuery
IntraBalMvmntQryRspn,IntraBalanceMovementQueryResponse
IntraBalMvmntStsAdvc,IntraBalanceMovementStatusAdvice
IntraPosMvmntId,IntraPositionMovementId
Intrmy,Intermediary
IntrmyAgt,IntermediaryAgent
IntrmyAgt1,IntermediaryAgent1
IntrmyAgt1Acct,IntermediaryAgent1Account
IntrmyAgt2,IntermediaryAgent2
IntrmyAgt2Acct,IntermediaryAgent2Account
IntrmyAgt3,IntermediaryAgent3
IntrmyAgt3Acct,IntermediaryAgent3Account
IntrmyInd,IntermediaryInd
Intrst,Interest
IntrstRate,InterestRate
InvcNb,InvoiceNumber
Invcee,Invoicee
Invcr,Invoicer
InvstgtnData,InvestigationData
InvstgtnId,InvestigationData
InvstgtnReq,InvestigationRequest
InvstgtnRspn,InvestigationResponse
InvstgtnSubTp,InvestigationSubType
InvstgtnTp,InvestigationType
InvstmtCcy,InvestmentCurrency
InvstmtFndTxInTp,InvestmentFundTransactionInType
InvstmtFndTxOutTp,InvestmentFundTransactionOutType
IsFrmtd,IsFormatted
IsseDt,IssueDate
IssgAgt,IssueingAgent
Issr,Issuer
Itm,Item
ItmSts,ItemStatus
JobTitl,JobTitle
Justfn,Justification
KeyAttrbtsInd,KeyAttributesInd
LEI,LEI
LangCd,LanguageCode
LastPgInd,LastPageInd
LastTx,LastTransaction
LclInstrm,LocalInstrument
Lctn,Location
LglNm,LegalName
LglNttyIdr,LegalEntityIdentifier
LglSeqNb,LegalSequenceNumber
LineDtls,LineDetails
LineWidth,LineWidth
LkSetId,LinkSetId
LkSetIdInd,LinkSetIdInd
LkSetOrdrId,LinkSetOrderId
LkSetOrdrIdInd,LinkSetOrderIdInd
LkSetOrdrSeq,LinkSetOrderSeq
LkSetOrdrSeqInd,LinkSetOrderSeqInd
Lkg,Linkage
Lmt,Limit
LmtAmt,LimitAmount
LmtCcy,LimitCurrency
LmtCrit,LimitCriteria
LmtData,LimitData
LmtDtls,LimitDetails
LmtId,LimitId
LmtOrErr,LimitOrError
LmtQryDef,LimitQueryDefinitions
LmtValAmdmnt,LimitValueAmendment
LmtVldAsOfDt,LimitValidAsOfDate
Lng,Long
LngBizId,LongBusinessId
LngNb,LongNumber
Lnkgs,Linkages
LotAmt,LotAmount
LotNb,LotNumber
LotQty,LotQuantity
LqdtyCdtTrf,LiquidityCreditTransfer
LqdtyDbtTrf,LiquidityDebitTransfer
Lvl,Level
LwLmt,LowestLimit
ManfctrId,ManufacturerId
Mdl,Model
MinPayInAmt,MinimumPaymentInAmount
MktInfrstrctrId,MarketInfrastructureId
MktInfrstrctrTxId,MarketInfrastructureTransactionId
Mmb,Member
MmbCrit,MemberCriteria
MmbId,MemberId
MmbIdInd,MemberIdInd
MmbOrErr,MemberOrError
MmbQryDef,MemberQueryDefinition
MmbRtrAdr,MemberReturnAddress
MmbRtrAdrInd,MemberReturnAddressInd
MndtId,MandateId
MndtRltdInf,MandateRelatedInformation
MobNb,MobilePhoneNumber
Mod,Modification
ModDtls,ModificationDetails
ModReqId,ModificationRequestId
ModStsId,ModificationStatusId
ModStsRsnInf,ModificationStatusReasonInformation
ModfyLmt,ModifyLimit
ModfyMmb,ModifyMember
ModfyRsvatn,ModifyReservation
ModfyStgOrdr,ModifyStagingOrder
ModfyTx,ModifyTransation
Mods,Modifications
MplyeeTermntnInd,EmployeeTerminationInd
MsgHdr,MessageHeader
MsgId,MessageId
MsgIdInd,MessageIdInd
MsgNb,MessageNumber
MsgNm,MessageName
MsgNmId,MessageNameId
MsgOrgtr,MessageOriginator
MsgPgntn,MessagePagination
MsgRcpt,MessageRecipient
MsgSndr,MessageSender
MssngCoverInd,MissingCoverInd
MssngInf,MissingInformation
MssngOrIncrrctInf,MissingOrIncorrectInformation
Mtd,Method
MtdA,MethodA
MtdB,MethodB
MtdC,MethodC
MtdD,MethodD
MulBal,MultilateralBalance
MulBalRtrCrit,MultilateralBalanceReturnCriteria
MulLmtInd,MultilateralLimitInd
Mvmnt,Movement
MvmntDtls,MovementDetails
Mvmnts,Movements
NCT,NotContain
NCTTxt,NotContainText
NEQ,NotEqual
NEQAmt,NotEqualAmount
NEQDt,NotEqualDate
NEQDtTm,NotEqualDatTime
NEQSeq,NotEqualSequence
Nb,Number
NbCounts,NumberCounts
NbOfChqs,NumberOfCheques
NbOfChrgsBrkdwnItms,NumberOfChargesBreakdownItems
NbOfChrgsRcrds,NumberOfChargesRecords
NbOfDays,NumberOfDays
NbOfLines,NumberOfLines
NbOfNotes,NumberOfNotes
NbOfNtries,NumberOfEntries
NbOfPmts,NumberOfPayments
NbOfPmtsInd,NumberOfPaymentsInd
NbOfTxs,NumberOfTransactions
NbOfTxsPerCxlSts,NumberOfTransactionsPerCancellationStatus
NclsdFile,EnclosureFile
Nclsr,Enclosure
NetAmt,NetAmount
NetCshFcst,NetCashForecast
NetCshFcstDtls,NetCashForecastDetails
NetOblgtn,NetObligation
NetRpt,NetReport
NetRptData,NetReportData
NetRptSvcr,NetReportServicer
NetSvcCtrPtyId,NetServiceCounterPartyId
NetSvcPtcptId,NetServiceParticipantId
NetSvcTp,NetServiceType
NetUnitsNb,NetUnitsNumber
NetgCutOffTm,NettingCutOffTime
NetgGrpId,NettingGroupId
NewAmtInd,NewAmountInd
NewAssgnmt,NewAssignment
NewChrgAmt,NewChargeAmount
NewCrit,NewCriteria
NewLmtValSet,NewLimitValueSet
NewMmbValSet,NewMemberValueSet
NewPmtValSet,NewPaymentValueSet
NewPric,NewPrice
NewQryNm,NewQueryName
NewRsvatnValSet,NewReservationValueSet
NewStgOrdrValSet,NewStagingOrderValueSet
NewVol,NewVolume
Nm,Name
NmAndAdr,NameAndAddress
NmInd,NameInd
NmPrfx,NamePrefix
Nmrc,Numeric
NoSpcfdRsn,NoSpecifiedReason
NonResCtry,NonResidentalCountry
NoteDnmtn,NoteDenomination
Ntfctn,Notification
NtfctnCxl,NotificationCancellation
NtfctnOfCaseAssgnmt,NotificationOfCaseAssignment
NtfctnPgntn,NotificationPagination
NtfctnSts,NotificationStats
NtfctnToRcv,NotificationToReceive
NtfctnToRcvCxlAdvc,NotificationToReceiveCancellationAdvice
NtfctnToRcvStsRpt,NotificatioToReceiveStatusReport
Ntry,Entry
NtryAmt,EntryAmount
NtryAmtCcy,EntryAmountCurrency
NtryAmtInd,EntryAmountInd
NtryDt,EntryDate
NtryDtInd,EntryDateInd
NtryDtls,EntryDetails
NtryRef,EntryReference
NtryRefInd,EntryReferenceInd
NtrySts,EntryStatus
NtryStsInd,EntryStatusInd
NtryTp,EntryType
NtwkRef,NetworkReference
OblgtnDrctn,ObligationDirection
OblgtnId,ObligationId
OdLmtValSet,
OnLineCpblties,OnLineCapabilities
OprlErr,OperationalError
OrgId,OrganisationId
OrgnlAcct,OriginalAccount
OrgnlAndCurFaceAmt,OriginalAndCurrentFaceAmount
OrgnlBizQry,OriginalBusinessQuery
OrgnlBkTxCd,OriginalBankTransactionCode
OrgnlCdtrAgt,OriginalCreditorAgent
OrgnlCdtrAgtAcct,OriginalCreditorAgentAccount
OrgnlCdtrSchmeId,OriginalCreditorSchemeId
OrgnlChrgAmt,OriginalChargeAmount
OrgnlChrgPric,OriginalChargePrice
OrgnlChrgSttlmAmt,OriginalChargeSettlementAmount
OrgnlClrSysRef,OriginalClearSystemReference
OrgnlCreDtTm,OriginalCreationDateTime
OrgnlCtrlSum,OriginalControlSum
OrgnlDbtr,OriginalDebitor
OrgnlDbtrAcct,OriginalDebitorAccount
OrgnlDbtrAgt,OriginalDebitorAgent
OrgnlDbtrAgtAcct,OriginalDebitorAgentAccount
OrgnlEndToEndId,OriginalEndToEndId
OrgnlFnlColltnDt,OriginalFinalCollectionDate
OrgnlFrqcy,OriginalFrequency
OrgnlGrpCxlId,OriginalGroupCancellationId
OrgnlGrpInf,OriginalGroupInformation
OrgnlGrpInfAndCxl,OriginalGroupInformationAndCancellation
OrgnlGrpInfAndSts,OriginalGroupInformationAndStatus
OrgnlInstdAmt,OriginalInstructedAmount
OrgnlInstrId,OriginalInstructionId
OrgnlIntrBkSttlmAmt,OriginalInstructionSettlementAmount
OrgnlIntrBkSttlmDt,OriginalInstructionSettlementDate
OrgnlInvstgtnReq,OriginalInvestigationRequest
OrgnlItm,OriginalItem
