glUniformHandleui64vARB glUniformHandleui64vIMG
glUniformMatrix2fv glUniformMatrix2fvARB
glUniformMatrix2x3fv glUniformMatrix2x3fvNV
glUniformMatrix2x4fv glUniformMatrix2x4fvNV
glUniformMatrix3fv glUniformMatrix3fvARB
glUniformMatrix3x2fv glUniformMatrix3x2fvNV
glUniformMatrix3x4fv glUniformMatrix3x4fvNV
glUniformMatrix4fv glUniformMatrix4fvARB
glUniformMatrix4x2fv glUniformMatrix4x2fvNV
glUniformMatrix4x3fv glUniformMatrix4x3fvNV
glUnmapBuffer glUnmapBufferARB
glUseProgram glUseProgramObjectARB
glValidateProgram glValidateProgramARB
glVertexAttrib1d glVertexAttrib1dARB
glVertexAttrib1d glVertexAttrib1dNV
glVertexAttrib1dv glVertexAttrib1dvARB
glVertexAttrib1dv glVertexAttrib1dvNV
glVertexAttrib1f glVertexAttrib1fARB
glVertexAttrib1f glVertexAttrib1fNV
glVertexAttrib1fv glVertexAttrib1fvARB
glVertexAttrib1fv glVertexAttrib1fvNV
glVertexAttrib1s glVertexAttrib1sARB
glVertexAttrib1s glVertexAttrib1sNV
glVertexAttrib1sv glVertexAttrib1svARB
glVertexAttrib1sv glVertexAttrib1svNV
glVertexAttrib2d glVertexAttrib2dARB
glVertexAttrib2d glVertexAttrib2dNV
glVertexAttrib2dv glVertexAttrib2dvARB
glVertexAttrib2dv glVertexAttrib2dvNV
glVertexAttrib2f glVertexAttrib2fARB
glVertexAttrib2f glVertexAttrib2fNV
glVertexAttrib2fv glVertexAttrib2fvARB
glVertexAttrib2fv glVertexAttrib2fvNV
glVertexAttrib2s glVertexAttrib2sARB
glVertexAttrib2s glVertexAttrib2sNV
glVertexAttrib2sv glVertexAttrib2svARB
glVertexAttrib2sv glVertexAttrib2svNV
glVertexAttrib3d glVertexAttrib3dARB
glVertexAttrib3d glVertexAttrib3dNV
glVertexAttrib3dv glVertexAttrib3dvARB
glVertexAttrib3dv glVertexAttrib3dvNV
glVertexAttrib3f glVertexAttrib3fARB
glVertexAttrib3f glVertexAttrib3fNV
glVertexAttrib3fv glVertexAttrib3fvARB
glVertexAttrib3fv glVertexAttrib3fvNV
glVertexAttrib3s glVertexAttrib3sARB
glVertexAttrib3s glVertexAttrib3sNV
glVertexAttrib3sv glVertexAttrib3svARB
glVertexAttrib3sv glVertexAttrib3svNV
glVertexAttrib4Nbv glVertexAttrib4NbvARB
glVertexAttrib4Niv glVertexAttrib4NivARB
glVertexAttrib4Nsv glVertexAttrib4NsvARB
glVertexAttrib4Nub glVertexAttrib4NubARB
glVertexAttrib4Nubv glVertexAttrib4NubvARB
glVertexAttrib4Nuiv glVertexAttrib4NuivARB
glVertexAttrib4Nusv glVertexAttrib4NusvARB
glVertexAttrib4bv glVertexAttrib4bvARB
glVertexAttrib4d glVertexAttrib4dARB
glVertexAttrib4d glVertexAttrib4dNV
glVertexAttrib4dv glVertexAttrib4dvARB
glVertexAttrib4dv glVertexAttrib4dvNV
glVertexAttrib4f glVertexAttrib4fARB
glVertexAttrib4f glVertexAttrib4fNV
glVertexAttrib4fv glVertexAttrib4fvARB
glVertexAttrib4fv glVertexAttrib4fvNV
glVertexAttrib4iv glVertexAttrib4ivARB
glVertexAttrib4s glVertexAttrib4sARB
glVertexAttrib4s glVertexAttrib4sNV
glVertexAttrib4sv glVertexAttrib4svARB
glVertexAttrib4sv glVertexAttrib4svNV
glVertexAttrib4Nub glVertexAttrib4ubNV
glVertexAttrib4ubv glVertexAttrib4ubvARB
glVertexAttrib4Nubv glVertexAttrib4ubvNV
glVertexAttrib4uiv glVertexAttrib4uivARB
glVertexAttrib4usv glVertexAttrib4usvARB
glVertexAttribDivisor glVertexAttribDivisorANGLE
glVertexAttribDivisor glVertexAttribDivisorARB
glVertexAttribDivisor glVertexAttribDivisorEXT
glVertexAttribDivisor glVertexAttribDivisorNV
glVertexAttribI1i glVertexAttribI1iEXT
glVertexAttribI1iv glVertexAttribI1ivEXT
glVertexAttribI1ui glVertexAttribI1uiEXT
glVertexAttribI1uiv glVertexAttribI1uivEXT
glVertexAttribI2i glVertexAttribI2iEXT
glVertexAttribI2iv glVertexAttribI2ivEXT
glVertexAttribI2ui glVertexAttribI2uiEXT
glVertexAttribI2uiv glVertexAttribI2uivEXT
glVertexAttribI3i glVertexAttribI3iEXT
glVertexAttribI3iv glVertexAttribI3ivEXT
glVertexAttribI3ui glVertexAttribI3uiEXT
glVertexAttribI3uiv glVertexAttribI3uivEXT
glVertexAttribI4bv glVertexAttribI4bvEXT
glVertexAttribI4i glVertexAttribI4iEXT
glVertexAttribI4iv glVertexAttribI4ivEXT
glVertexAttribI4sv glVertexAttribI4svEXT
glVertexAttribI4ubv glVertexAttribI4ubvEXT
glVertexAttribI4ui glVertexAttribI4uiEXT
glVertexAttribI4uiv glVertexAttribI4uivEXT
glVertexAttribI4usv glVertexAttribI4usvEXT
glVertexAttribIPointer glVertexAttribIPointerEXT
glVertexAttribL1d glVertexAttribL1dEXT
glVertexAttribL1dv glVertexAttribL1dvEXT
glVertexAttribL2d glVertexAttribL2dEXT
glVertexAttribL2dv glVertexAttribL2dvEXT
glVertexAttribL3d glVertexAttribL3dEXT
glVertexAttribL3dv glVertexAttribL3dvEXT
glVertexAttribL4d glVertexAttribL4dEXT
glVertexAttribL4dv glVertexAttribL4dvEXT
glVertexAttribLPointer glVertexAttribLPointerEXT
glVertexAttribPointer glVertexAttribPointerARB
glViewportArrayv glViewportArrayvNV
glViewportIndexedf glViewportIndexedfNV
glViewportIndexedfv glViewportIndexedfvNV
glWaitSync glWaitSyncAPPLE
glWindowPos2d glWindowPos2dARB
glWindowPos2d glWindowPos2dMESA
glWindowPos2dv glWindowPos2dvARB
glWindowPos2dv glWindowPos2dvMESA
glWindowPos2f glWindowPos2fARB
glWindowPos2f glWindowPos2fMESA
glWindowPos2fv glWindowPos2fvARB
glWindowPos2fv glWindowPos2fvMESA
glWindowPos2i glWindowPos2iARB
glWindowPos2i glWindowPos2iMESA
glWindowPos2iv glWindowPos2ivARB
glWindowPos2iv glWindowPos2ivMESA
glWindowPos2s glWindowPos2sARB
glWindowPos2s glWindowPos2sMESA
glWindowPos2sv glWindowPos2svARB
glWindowPos2sv glWindowPos2svMESA
glWindowPos3d glWindowPos3dARB
glWindowPos3d glWindowPos3dMESA
glWindowPos3dv glWindowPos3dvARB
glWindowPos3dv glWindowPos3dvMESA
glWindowPos3f glWindowPos3fARB
glWindowPos3f glWindowPos3fMESA
glWindowPos3fv glWindowPos3fvARB
glWindowPos3fv glWindowPos3fvMESA
glWindowPos3i glWindowPos3iARB
glWindowPos3i glWindowPos3iMESA
glWindowPos3iv glWindowPos3ivARB
glWindowPos3iv glWindowPos3ivMESA
glWindowPos3s glWindowPos3sARB
glWindowPos3s glWindowPos3sMESA
glWindowPos3sv glWindowPos3svARB
glWindowPos3sv glWindowPos3svMESA
