351	742	etext96	Brisbane	Editorials from the Hearst Newspapers
352	741	etext96		Thomas Hart Benton's Remarks to the Senate THB#1]
353	740	etext96		John C. Calhoun's Remarks in the Senate[Calhoun1#]
354	739	etext96		Henry Clay's Remarks in House and Senate [Clay #1]
355	738	etext96	Andrew Lang#5	The Puzzle of Dickens's Last Plot
356	737	etext96	Laura Lee Hope #2?	The Bobbsey Twins at School
357	736	etext96	Gibbon V6	Decline and Fall of the Roman Empire
358	735	etext96	Gibbon V5	Decline and Fall of the Roman Empire
359	734	etext96	Gibbon V4	Decline and Fall of the Roman Empire
360	733	etext96	Gibbon V3	Decline and Fall of the Roman Empire
361	732	etext96	Gibbon V2	Decline and Fall of the Roman Empire
362	731	etext96	Gibbon V1	Decline and Fall of the Roman Empire
363	730	etext96	Charles Dickens  [Dickens #13]	Oliver Twist
364	729	etext96	Steven Levy	Hackers/Computer Revolution Heroes
365	728	etext96	William Dean Howells [howells #5]	Emile Zola
366	727	etext96	John Carpenter	The Star-Spangled Banner
367	726	etext96	Howells [WDH #4]	Psychological Counter-Current
368	725	etext96	Samuel Smiles #2	Men of Invention and Industry
369	724	etext96	William Dean Howells	The Man of Letters as a Man of Business [Howells3]
370	723	etext96	William Dean Howells  [WDH#2]	Henry James, Jr.
371	722	etext96	J.C. Ridpath	James Otis The Pre-Revolutionist
372	721	etext96	Kate Douglass Wiggin	The Birds' Christmas Carol
373	720	etext96	Joseph Conrad  [Conrad #12]	Almayer's Folly
374	719	etext96	Plays of Wm.E. Henley and R.L. Stevenson [RLS #34]	/mnt/u4/library/gutenberg/etext96/tpohs10.zip
375	718	etext96	H. G. Wells  [H. G. Wells #6]	Tono Bungay
376	717	etext96	Lafcadio Hearn	Chita
377	716	etext96	Don Marquis [#3]	The Cruise of the Jasper B.
378	715	etext96	John Buchan [#5]	Moon Endureth [Tales/Fancies]
379	714	etext96	Laura Lee Hope #1	Bobbsey Twins in the Country
380	713	etext96	Charles MacKay	Memoirs of Popular Delusions V2
381	712	etext96	Edward S. Ellis	Thomas Jefferson
382	711	etext96	H. Rider Haggard  [HRH #1]	Allan Quatermain
383	710	etext96	Jack London [#4]	Love of Life and other stories
384	709	etext96	George MacDonald[GM#4]	The Princess and Curdie
385	708	etext96	George MacDonald 3	The Princess and the Goblin
386	707	etext96	E.W. Hornung [#2]	Raffles, Further Adventures
387	706	etext96	E.W. Hornung [Raffles#1]	The Amateur Cracksman
388	704	etext96	Henry van Dyke	The Mansion [A Short Story]
389	703	etext96	Richard Lovelace	The Lucasta Poems
390	702	etext96	Martha Young	Somebody's Little Girl
391	701	etext96	John Ruskin	The King of the Golden River
392	700	etext96	Charles Dickens [CD#12]	The Old Curiosity Shop
393	699	etext96	Charles Dickens	A Child's History of England
394	698	etext96	R. L. Stevenson	Memoir of Fleeming Jenkin
395	697	etext96	George MacDonald  [GM#2]	The Light Princess
396	696	etext96	Horace Walpole [HP#1]	The Castle of Otranto
397	695	etext96	Chas Kingsley	Glaucus/The Wonders of the Shore
398	694	etext96		Stories from Everybody's Magazine, 1910
399	693	etext96	S. Weir Mitchell	The Autobiography of a Quack
400	692	etext96	James Whitcomb Riley	Complete Works of James Whitcomb Riley, Vol X
401	691	etext96	James Whitcomb Riley	Complete Works of James Whitcomb Riley, Vol I
402	689	etext96	Leo Tolstoy/Tolstoi	The Kreutzer Sonata, et al
403	688	etext96	Alice Dunbar	The Goodness of St. Rocque et al
404	687	etext96	Joseph Conrad  [Conrad #11]	A Personal Record
405	686	etext96		The Treaty of the European Union  [Maastricht]
406	685	etext96		The Atomic Bombings of Hiroshima and Nagasaki
407	684	etext96		Worldwide Effects of Nuclear War-Some Perspectives
408	683	etext96	Izaak Walton	The Compleat Angler
409	682	etext96		Catalan's Constant [Ramanujan's Formula] [Math#15]
410	681	etext96	Maxim Gorky [#1]	Creatures That Once Were Men
411	680	etext96	Sarojini Naidu	The Golden Threshold
412	679	etext96	Frances E. W. Harper	Poems
