JOURNAL	ISSN	2013/2014	2012	2011	2010	2009	2008
Astrobiology	1531-1074	2.512	2.803	2.15	2.362	3.257	2.989
Astronomy And Astrophysics Review	0935-4956	13.312	9.5	11.526	15.438	11.857	7.5
Astronomy & Astrophysics	0004-6361	4.479	5.084	4.587	4.41	4.179	4.153
Astronomy & Geophysics	1366-8781	0.343	0.339	0.607	0.339	0.391	0.557
Astronomical Journal	0004-6256	4.052	4.965	4.035	4.548	4.481	4.769
Astronomy Letters-A Journal Of Astronomy And Space Astrophysics	1063-7737	1.297	0.933	0.988	1.091	0.943	1.005
Astronomische Nachrichten	0004-6337	1.119	1.399	1.012	0.842	1.186	1.261
Astronomy Reports	1063-7729	0.799	0.756	0.725	0.632	0.759	0.809
Astroparticle Physics	0927-6505	4.45	4.777	3.216	3.808	4.136	3.388
Astrophysical Bulletin	1990-3413	1	0.697	0.843	0.838	0.723	-
Astrophysical Journal Letters	2041-8205	5.602	6.345	5.526	1.02	-	-
Astrophysical Journal Supplement Series	0067-0049	14.137	16.238	13.456	15.199	12.771	13.99
Astrophysical Journal	0004-637X	6.28	6.733	6.024	7.436	7.364	6.331
Astrophysics And Space Science	0004-640X	2.401	2.064	1.686	1.437	1.404	1.283
Astrophysics	0571-7256	0.556	0.366	0.467	0.543	0.486	0.447
Asymptotic Analysis	0921-7134	0.417	0.535	0.413	0.845	0.777	0.662
AT-Automatisierungstechnik	0178-2312	0.257	0.284	0.419	0.298	0.378	-
Aten Farm	1139-7357	-	0.125	0.082	0.034	-	-
Atencion Primaria	0212-6567	0.894	0.957	0.627	0.619	0.437	-
Atherosclerosis Supplements	1567-5688	9.667	4.333	1.702	2.064	-	6.559
Atherosclerosis	0021-9150	3.971	3.706	3.794	4.086	4.522	4.601
Athletic Therapy Today	1078-7895	-	0.119	0.202	0.082	0.101	0.11
Atlantic Geology	0843-5561	0.381	0.846	0.538	-	-	-
Atla-Alternatives To Laboratory Animals	0261-1929	1.317	1.373	1.455	1.346	1.58	3.014
Atmospheric Chemistry And Physics	1680-7316	5.298	5.51	5.52	5.309	4.881	4.927
Atmospheric Environment	1352-2310	3.062	3.11	3.465	3.226	3.139	2.89
Atmospheric Measurement Techniques	1867-1381	3.206	3.205	3.335	2.623	-	-
Atmosphere-Ocean	0705-5900	1.19	1.673	1.667	1.304	1	1.273
Atmospheric Pollution Research	1309-1042	1.227	1.011	-	-	-	-
Atmospheric Research	0169-8095	2.421	2.2	1.911	1.597	1.811	1.456
Atmospheric Science Letters	1530-261X	1.876	1.75	1.932	1.433	-	-
Atmosfera	0187-6236	0.804	0.75	0.49	0.646	0.438	0.5
Atmosphere	2073-4433	1.048	-	-	-	-	-
Atomic Data And Nuclear Data Tables	0092-640X	1.46	1	2.16	2.186	1.413	1.463
Atomic Energy	1063-4258	0.04	0.034	0.077	0.071	0.062	0.063
Atomic Spectroscopy	0195-5373	1.619	1.279	1.177	1.061	1.197	1.076
Atomization And Sprays	1044-5110	0.644	0.467	0.526	0.928	0.754	0.494
Attention Perception & Psychophysics	1943-3921	2.152	1.969	2.039	1.333		-
Atw-International Journal For Nuclear Power	1431-5254	0.066	0.144	0.034	-	0.023	0.058
Audiology And Neuro-Otology	1420-3030	1.852	2.318	2.465	2.228	1.835	2.424
Augmentative and Alternative Communication	0743-4618	1.275	1.184	0.755	-	-	-
Auk	0004-8038	2.627	2.404	2.156	1.807	2.005	2.303
Auris Nasus Larynx	0385-8146	1.004	0.948	0.761	0.711	0.632	0.603
Australian Critical Care	1036-7314	1.265	0.953	0.973	-	-	-
Australian Dental Journal	0045-0421	1.482	1.371	1.189	1.496	1.22	0.573
Australian Endodontic Journal	1329-1947	0.744	0.5	0.958	1.239	-	-
Australian Family Physician	0300-8495	0.668	0.705	0.729	0.647	0.57	-
Australian Forestry	0004-9158	0.919	0.97	0.625	0.836	-	-
Australian Health Review	0156-5788	1	0.698	0.545	0.803	0.584	-
Australian Journal Of Advanced Nursing	0813-0531	0.236	0.338	0.427	0.379	0.593	0.592
Australian Journal Of Agricultural Research	0004-9409	-	-	-	1.328	1.304	1.132
Australian Journal Of Agricultural And Resource Economics	1364-985X	1.065	1.415	1.061	1.117	1.055	0.719
Australian Journal Of Botany	0067-1924	0.903	1.204	1.111	1.681	1.868	1.459
Australian Journal Of Chemistry	0004-9425	1.644	1.869	2.342	1.681	1.959	2.405
Australian Journal of Crop Science	1835-2693	-	-	1.632	0.899	0.667	-
Australian Journal Of Dairy Technology	0004-9433	-	0.415	0.478	0.605	0.341	0.33
Australian Journal Of Earth Sciences	0812-0099	1.39	1.468	1.417	1.278	1.109	1.683
Australian Journal Of Entomology	1326-6756	0.798	0.884	0.967	0.917	0.853	1.072
Australian Journal Of Experimental Agriculture	0816-1089	-	-	-	1.621	0.917	0.814
Australian Journal of Forensic Sciences	0045-0618	0.704	0.528	0.308	0.5	-	-
Australian Journal Of Grape And Wine Research	1322-7130	2.778	2.958	2.467	2.534	1.872	1.848
Australian Journal Of Physiotherapy	0004-9514	-	-	3.481		1.709	1.948
Australian Journal of Primary Health	1448-7527	1.219	0.755	0.5	0.408	0.289	-
Australian Journal of Rural Health	1038-5282	1.343	1.545	1	1.07	0.786	-
Australian Journal Of Soil Research	0004-9573	-	3.443	1.53	1.236	1.007	0.856
Australian Journal Of Zoology	0004-959X	0.707	0.775	0.722	0.815	0.765	1
Australian Meteorological Magazine	0004-9743	-	-	-	0.935	1.143	0.843
Australian Meteorological and Oceanographic Journal	1836-716X	0.63	0.867	0.841	0.179	-	-
Australian & New Zealand Journal Of Obstetrics & Gynaecology	0004-8666	1.62	1.298	1.237	1.184	1.316	1.139
Australian And New Zealand Journal Of Psychiatry	0004-8674	3.765	3.293	2.929	2.418	2.253	2.318
Australian And New Zealand Journal Of Public Health	1326-0200	1.897	1.639	1.203	1.529	1.349	1.556
Australian & New Zealand Journal Of Statistics	1369-1473	0.42	0.529	0.436	0.618	0.821	0.65
Australian Occupational Therapy Journal	0045-0766	0.827	0.723	0.677	0.634	0.438	-
Australian Orthodontic Journal	0587-3908	0.269	0.281	0.25	0.444	-	-
Australian Prescriber	0312-8008	0.381	0.831	0.466	0.397	-	-
Australian Systematic Botany	1030-1887	1.146	1.469	1.034	0.961	1.302	1.351
Australian Veterinary Journal	0005-0423	1.018	0.918	0.945	1.006	1.158	0.801
Australian Veterinary Practitioner	0310-138X	-	0.07	0.045	0.095	0.031	0.121
Austral Ecology	1442-9985	1.724	1.738	1.824	1.82	1.578	1.826
Australasian Journal On Ageing	1440-6381	1.119	0.94	0.905	0.74	0.671	0.319
Australasian Journal Of Dermatology	0004-8380	0.982	0.965	1	1	0.973	1.096
Australasian Physical & Engineering Sciences In Medicine	0158-9938	0.848	0.885	0.561	0.466	0.631	0.434
Australasian Plant Pathology	0815-3191	1.041	1.021	0.837	0.781	0.943	0.624
Australasian Psychiatry	1039-8562	0.556	0.595	0.858	0.917	0.657	-
Australas Radiol	0004-8461	-	-	-	-	0.51	0
Austrian Journal of Earth Sciences	2072-7151	0.571	0.538	0.521	-	-	-
Austrian Journal of Forest Science	0379-5292	0.87	-	0.227	0.345	-	-
Autex Research Journal	1470-9589	0.618	0.405	-	-	-	-
Autism Research	1939-3792	4.532	3.988	3.686	3.095	1.375	-
Autoimmunity Reviews	1568-9972	7.095	7.975	6.624	6.556	6.368	5.371
Autoimmunity	0891-6934	2.754	2.767	2.471	2.138	2.813	2.525
Automation In Construction	0926-5805	1.822	1.82	1.5	1.311	1.372	1.664
Automation And Remote Control	0005-1179	0.265	0.192	0.246	0.244	0.251	0.236
Automated Software Engineering	0928-8910	1.24	1.4	0.857	0.806	1.267	-
Automatica	0005-1098	3.132	2.919	2.829	2.171	2.631	3.178
Automatika	0005-1144	0.302	0.349	0.208	0.108	-	-
Autonomous Agents And Multi-Agent Systems	1387-2532	1.108	0.79	1.213	2.103	1.51	2.125
Autonomic Neuroscience-Basic & Clinical	1566-0702	1.372	1.846	1.858	1.671	1.815	2.13
Autonomous Robots	0929-5593	1.75	1.908	1.5	2.011	1.235	1.5
Autophagy	1554-8627	11.423	12.042	7.453	6.643	6.829	5.479
Avian Biology Research	1758-1559	0.895	0.674	0.3	0.442	0.083	-
Avian Conservation and Ecology	1712-6568	0.25	0.467	0.679	-	-	-
Avian Diseases	0005-2086	1.107	1.734	1.462	1.623	2.003	1.524
Avian Pathology	0307-9457	2.041	1.729	1.711	1.967	1.654	1.7
Avian And Poultry Biology Reviews	1470-2061	-	-	-	-	0.6	1.556
Aviation Space And Environmental Medicine	0095-6562	0.782	0.782	0.879	0.852	0.993	0.774
