name,DS100,"UIC (IBNR)",Latitude,Longitude
"Amstetten(W) Lokalbahn","TAM M",8079075,48.577852,9.873959
Amstetten(Württ),TAM,8000577,48.578328,9.872965
Amtshainersdorf,DAMH,8011039,50.966322,14.232364
Andelfingen,XSANF,8506047,47.5937589885536,8.67797953563967
Andermatt,XSAN,8505165,46.6368923077695,8.59327487979362
Andernach,KAND,8000331,50.434542,7.404839
Andorf,XAAD,8100211,48.3694039673152,13.5656515933884
Angermund,KANM,8000579,51.330748,6.781857
Angermünde,WA,8010004,53.015221,13.996361
Angern-Rogätz,LANG,8011042,52.338464,11.759535
Angersbach,FANG,8000580,50.63077,9.44726
Angersdorf,LAG,8011043,51.460407,11.903139
Angleur,XBAL,8800033
Angouleme,XFANG,8700063
Anklam,WAK,8011044,53.856102,13.701827
"Anna Paulowna",ONAP,8400065,52.867221832275,4.8111109733581
"Annaberg-Buchholz Mitte",DABM,8011045,50.566791,12.999078
"Annaberg-Buchholz Süd",DAB,8010005,50.555886,12.997404
"Annaberg-Buchholz unterer Bf",DABU,8011047,50.57861,12.998313
Annaburg,LAB,8011048,51.72868,13.032757
"Annweiler am Trifels",RAN,8000582,49.205386,7.966149
Annweiler-Sarnstall,RANS,8005257,49.208725,7.937192
Anrath,KANR,8000584,51.285536,6.45023
Ans(B),XBANS,8800013
Ansbach,NAN,8000009,49.298032,10.578239
Antibes,XFAN,8700146
Antonsthal,DATL,8011049,50.500096,12.755449
"Antwerpen Centraal",XBAC,8800007
Antwerpen-Berchem,XBBC,8800008
Antwerpen-Zuid,XBAZ,8800310
Anwanden,NAWN,8000588,49.411692,10.930396
Anzefahr,FAZ,8000589,50.845731,8.85959
Anzenkirchen,MAK,8000590,48.434739,13.021996
Apach(Moselle),XFAP,8700187
Apeldoorn,XNAE,8400066,52.209167480469,5.9702777862549
"Apeldoorn De Maten",PNAAQ,8400032,52.205276489258,6.6875551
"Apeldoorn Osseveld",PNAAR,8400033,52.215278625488,6.6758332252502
Apensen,AAPS,8007831,53.441667,9.612345
Apolda,UAP,8011051,51.03094,11.526136
Appenweier,RAP,8000596,48.541461,7.97319
Appingedam,XNAP,8400067,53.3258135,6.8619577
Arad,XUA,5300002
Arbon,XSAB,8506308,47.510585447895,9.43333858590703
"Arbon (See)",XSABS,8506110,47.5126421316245,9.44032100861396
Arbste,HART,8070304
Ardey,EARE,8000597,51.481163,7.727176
Arensdorf(Köthen),LAF,8011053,51.709511,12.007416
Arenshausen,UAR,8011054,51.375166,9.968639
Arezzo,XIAZ,8300179
Arfurt(Lahn),FAF,8000599,50.406403,8.211079
