CODE POSTAL  VILLE                              CODE PAYS  N° INSEEBUREAU DISTRIBUTEUR
01260        LUTHEZIEU                          100        01226   BELMONT LUTHEZIEU
01300        MAGNIEU                            100        01227   MAGNIEU
01430        MAILLAT                            100        01228   MAILLAT
01340        MALAFRETAZ                         100        01229   MALAFRETAZ
01560        MANTENAY MONTLIN                   100        01230   MANTENAY MONTLIN
01570        MANZIAT                            100        01231   MANZIAT
01851        MARBOZ                             100        01232   MARBOZ
01680        MARCHAMP                           100        01233   MARCHAMP
01300        MARIGNIEU                          100        01234   MARIGNIEU
01240        MARLIEUX                           100        01235   MARLIEUX
01340        MARSONNAS                          100        01236   MARSONNAS
01810        MARTIGNAT                          100        01237   MARTIGNAT
01600        MASSIEUX                           100        01238   MASSIEUX
01300        MASSIGNIEU DE RIVES                100        01239   MASSIGNIEU DE RIVES
01580        MATAFELON GRANGES                  100        01240   MATAFELON GRANGES
01370        MEILLONNAS                         100        01241   MEILLONNAS
01450        MERIGNAT                           100        01242   MERIGNAT
01480        MESSIMY SUR SAONE                  100        01243   MESSIMY SUR SAONE
01800        MEXIMIEUX                          100        01244   MEXIMIEUX
01250        BOHAS MEYRIAT RIGNAT               100        01245   BOHAS MEYRIAT RIGNAT
01660        MEZERIAT                           100        01246   MEZERIAT
01410        MIJOUX                             100        01247   MIJOUX
01170        MIJOUX                             100        01247   MIJOUX
01390        MIONNAY                            100        01248   MIONNAY
01700        MIRIBEL                            100        01249   MIRIBEL
01600        MISERIEUX                          100        01250   MISERIEUX
01280        MOENS                              100        01251   PREVESSIN MOENS
01140        MOGNENEINS                         100        01252   MOGNENEINS
01800        MOLLON                             100        01253   VILLIEU LOYES MOLLON
01250        MONTAGNAT                          100        01254   MONTAGNAT
01470        MONTAGNIEU                         100        01255   MONTAGNIEU
01200        MONTANGES                          100        01257   MONTANGES
01090        MONTCEAUX                          100        01258   MONTCEAUX
01310        MONTCET                            100        01259   MONTCET
01800        LE MONTELLIER                      100        01260   LE MONTELLIER
01390        MONTHIEUX                          100        01261   MONTHIEUX
01120        MONTLUEL                           100        01262   MONTLUEL
01090        MONTMERLE SUR SAONE                100        01263   MONTMERLE SUR SAONE
01310        MONTRACOL                          100        01264   MONTRACOL
01460        MONTREAL LA CLUSE                  100        01265   MONTREAL LA CLUSE
01340        MONTREVEL EN BRESSE                100        01266   MONTREVEL EN BRESSE
01460        NURIEUX VOLOGNAT                   100        01267   NURIEUX VOLOGNAT
01300        MURS ET GELIGNIEUX                 100        01268   MURS ET GELIGNIEUX
01130        NANTUA                             100        01269   NANTUA
01460        NANTUA                             100        01269   NANTUA
01580        NAPT                               100        01270   SONTHONNAX LA MONTAGNE
01300        NATTAGES                           100        01271   NATTAGES
01400        NEUVILLE LES DAMES                 100        01272   NEUVILLE LES DAMES
01160        NEUVILLE SUR AIN                   100        01273   NEUVILLE SUR AIN
01130        LES NEYROLLES                      100        01274   LES NEYROLLES
01700        NEYRON                             100        01275   NEYRON
01120        NIEVROZ                            100        01276   NIEVROZ
01230        NIVOLLET MONTGRIFFON               100        01277   NIVOLLET MONTGRIFFON
01200        OCHIAZ                             100        01278   CHATILLON EN MICHAILLE
01230        ONCIEU                             100        01279   ONCIEU
01510        ORDONNAZ                           100        01280   ORDONNAZ
01210        ORNEX                              100        01281   ORNEX
01430        OUTRIAZ                            100        01282   OUTRIAZ
01100        OYONNAX                            100        01283   OYONNAX
01190        OZAN                               100        01284   OZAN
01600        PARCIEUX                           100        01285   PARCIEUX
01300        PARVES                             100        01286   PARVES
01260        PASSIN                             100        01287   CHAMPAGNE EN VALROMEY
01630        PERON                              100        01288   PERON
01960        PERONNAS                           100        01289   PERONNAS
01800        PEROUGES                           100        01290   PEROUGES
01540        PERREX                             100        01291   PERREX
01260        LE PETIT ABERGEMENT                100        01292   LE PETIT ABERGEMENT
01430        PEYRIAT                            100        01293   PEYRIAT
01300        PEYRIEU                            100        01294   PEYRIEU
01140        PEYZIEUX SUR SAONE                 100        01295   PEYZIEUX SUR SAONE
01270        PIRAJOUX                           100        01296   PIRAJOUX
01120        PIZAY                              100        01297   PIZAY
01130        PLAGNE                             100        01298   PLAGNE
01330        LE PLANTAY                         100        01299   LE PLANTAY
01130        LE POIZAT                          100        01300   LE POIZAT
01310        POLLIAT                            100        01301   POLLIAT
01350        POLLIEU                            100        01302   POLLIEU
01450        PONCIN                             100        01303   PONCIN
01160        PONT D AIN                         100        01304   PONT D AIN
01190        PONT DE VAUX                       100        01305   PONT DE VAUX
01290        PONT DE VEYLE                      100        01306   PONT DE VEYLE
01460        PORT                               100        01307   PORT
01550        POUGNY                             100        01308   POUGNY
01250        POUILLAT                           100        01309   POUILLAT
01300        PREMEYZEL                          100        01310   PREMEYZEL
01110        PREMILLIEU                         100        01311   PREMILLIEU
01510        PREMILLIEU                         100        01311   PREMILLIEU
01370        PRESSIAT                           100        01312   PRESSIAT
01280        PREVESSIN MOENS                    100        01313   PREVESSIN MOENS
01160        PRIAY                              100        01314   PRIAY
01510        PUGIEU                             100        01316   PUGIEU
01250        RAMASSE                            100        01317   RAMASSE
01390        RANCE                              100        01318   RANCE
01990        RELEVANT                           100        01319   RELEVANT
01750        REPLONGES                          100        01320   REPLONGES
01250        REVONNAS                           100        01321   REVONNAS
01600        REYRIEUX                           100        01322   REYRIEUX
01190        REYSSOUZE                          100        01323   REYSSOUZE
01250        RIGNAT                             100        01324   BOHAS MEYRIAT RIGNAT
01800        RIGNIEUX LE FRANC                  100        01325   RIGNIEUX LE FRANC
01250        ROMANECHE                          100        01327   HAUTECOURT ROMANECHE
01400        ROMANS                             100        01328   ROMANS
01510        ROSSILLON                          100        01329   ROSSILLON
01260        RUFFIEU                            100        01330   RUFFIEU
01450        ST ALBAN                           100        01331   ST ALBAN
01380        ST ANDRE DE BAGE                   100        01332   ST ANDRE DE BAGE
01390        ST ANDRE DE CORCY                  100        01333   ST ANDRE DE CORCY
01290        ST ANDRE D HUIRIAT                 100        01334   ST ANDRE D HUIRIAT
01240        ST ANDRE LE BOUCHOUX               100        01335   ST ANDRE LE BOUCHOUX
01960        ST ANDRE SUR VIEUX JONC            100        01336   ST ANDRE SUR VIEUX JONC
01190        ST BENIGNE                         100        01337   ST BENIGNE
01300        ST BENOIT                          100        01338   ST BENOIT
01600        ST BERNARD                         100        01339   ST BERNARD
01300        ST BOIS                            100        01340   ST BOIS
01300        ST CHAMP                           100        01341   ST CHAMP
01120        STE CROIX                          100        01342   STE CROIX
01380        ST CYR SUR MENTHON                 100        01343   ST CYR SUR MENTHON
01000        ST DENIS LES BOURG                 100        01344   ST DENIS LES BOURG
01780        ST DENIS EN BUGEY                  100        01345   ST DENIS EN BUGEY
01340        ST DIDIER D AUSSIAT                100        01346   ST DIDIER D AUSSIAT
01600        ST DIDIER DE FORMANS               100        01347   ST DIDIER DE FORMANS
01140        ST DIDIER SUR CHALARONNE           100        01348   ST DIDIER SUR CHALARONNE
01800        ST ELOI                            100        01349   ST ELOI
01370        ST ETIENNE DU BOIS                 100        01350   ST ETIENNE DU BOIS
01140        ST ETIENNE SUR CHALARONNE          100        01351   ST ETIENNE SUR CHALARONNE
01190        ST ETIENNE SUR REYSSOUZE           100        01352   ST ETIENNE SUR REYSSOUZE
01600        STE EUPHEMIE                       100        01353   STE EUPHEMIE
01630        ST GENIS POUILLY                   100        01354   ST GENIS POUILLY
01380        ST GENIS SUR MENTHON               100        01355   ST GENIS SUR MENTHON
01400        ST GEORGES SUR RENON               100        01356   ST GEORGES SUR RENON
01130        ST GERMAIN DE JOUX                 100        01357   ST GERMAIN DE JOUX
01300        ST GERMAIN LES PAROISSES           100        01358   ST GERMAIN LES PAROISSES
01240        ST GERMAIN SUR RENON               100        01359   ST GERMAIN SUR RENON
01630        ST JEAN DE GONVILLE                100        01360   ST JEAN DE GONVILLE
01800        ST JEAN DE NIOST                   100        01361   ST JEAN DE NIOST
01390        ST JEAN DE THURIGNEUX              100        01362   ST JEAN DE THURIGNEUX
01640        ST JEAN LE VIEUX                   100        01363   ST JEAN LE VIEUX
01560        ST JEAN SUR REYSSOUZE              100        01364   ST JEAN SUR REYSSOUZE
01290        ST JEAN SUR VEYLE                  100        01365   ST JEAN SUR VEYLE
01150        STE JULIE                          100        01366   STE JULIE
01560        ST JULIEN SUR REYSSOUZE            100        01367   ST JULIEN SUR REYSSOUZE
01540        ST JULIEN SUR VEYLE                100        01368   ST JULIEN SUR VEYLE
01250        ST JUST                            100        01369   ST JUST
01750        ST LAURENT SUR SAONE               100        01370   ST LAURENT SUR SAONE
01390        ST MARCEL                          100        01371   ST MARCEL
01510        ST MARTIN DE BAVEL                 100        01372   ST MARTIN DE BAVEL
01430        ST MARTIN DU FRENE                 100        01373   ST MARTIN DU FRENE
01160        ST MARTIN DU MONT                  100        01374   ST MARTIN DU MONT
