aliases,common_name,height,kind,max_height,max_width,min_height,min_width,pig_latin,planted,publish,scientific_name,thumbnail,width
,"Flame Pea",75cm,Plant,75,100,75,100,Chorizema.varium,2018-11-12,Yes,"Chorizema varium","<a href='http://savage.net.au/Flowers/Chorizema.varium.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Chorizema.varium.0.jpg' alt = ""Chorizema varium""></a>",1m
,Cumquat,,Tree,,,,,Citrus.japonica,2018-11-12,Yes,"Citrus japonica","<a href='http://savage.net.au/Flowers/Citrus.japonica.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Citrus.japonica.0.jpg' alt = ""Citrus japonica""></a>",
,"Lisbon lemon",,Tree,,,,,Citrus.limon,2018-11-12,Yes,"Citrus limon","<a href='http://savage.net.au/Flowers/Citrus.limon.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Citrus.limon.0.jpg' alt = ""Citrus limon""></a>",
"Bearss lime, seedless lime","Tahiti Lime",,Tree,,,,,Citrus.x.latifolia,2018-11-12,Yes,"Citrus x latifolia","<a href='http://savage.net.au/Flowers/Citrus.x.latifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Citrus.x.latifolia.0.jpg' alt = ""Citrus x latifolia""></a>",
"Meyer 'Improved'","Meyer lemon",,Tree,,,,,Citrus.x.meyeri,2018-11-12,Yes,"Citrus x meyeri","<a href='http://savage.net.au/Flowers/Citrus.x.meyeri.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Citrus.x.meyeri.0.jpg' alt = ""Citrus x meyeri""></a>",
,"Washington Navel Orange",,Tree,,,,,Citrus.x.sinensis,2018-11-12,Yes,"Citrus x sinensis","<a href='http://savage.net.au/Flowers/Citrus.x.sinensis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Citrus.x.sinensis.0.jpg' alt = ""Citrus x sinensis""></a>",
"Chembu, Cocoyam, Dasheen, Eddoe, Karala ko ganu, Taro, Tarul",Elephant-ear,,Plant,,,,,Colocasia,2018-11-12,Yes,Colocasia,"<a href='http://savage.net.au/Flowers/Colocasia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Colocasia.0.jpg' alt = ""Colocasia""></a>",
"Silver Bush","Convolvulus 1",40cm,Plant,40,40,40,40,Convolvulus.cneorum,2018-11-12,Yes,"Convolvulus cneorum","<a href='http://savage.net.au/Flowers/Convolvulus.cneorum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Convolvulus.cneorum.0.jpg' alt = ""Convolvulus cneorum""></a>",40cm
"Trailing Convolvulus","Convolvulus 2",10cm,Plant,10,120,10,120,Convolvulus.sabatius,2018-11-12,Yes,"Convolvulus sabatius","<a href='http://savage.net.au/Flowers/Convolvulus.sabatius.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Convolvulus.sabatius.0.jpg' alt = ""Convolvulus sabatius""></a>",1.2m
"Chinese parsley, cilantro, Coriander Slow Bolting",Coriander,20cm,Herb,20,25,20,25,Coriandrum.sativum,2018-11-12,Yes,"Coriandrum sativum","<a href='http://savage.net.au/Flowers/Coriandrum.sativum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Coriandrum.sativum.0.jpg' alt = ""Coriandrum sativum""></a>",25cm
,"Rock Correa",1-2m,Plant,,,,,,2018-11-12,Yes,"Correa glabra","<a href='http://savage.net.au/Flowers/Correa.glabra.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Correa.glabra.0.jpg' alt = ""Correa glabra""></a>",1-2m
"Autumn Blaze","Correa - Orange form",0.9m,Plant,90,30,90,30,Correa.pulchella,2018-11-12,Yes,"Correa pulchella","<a href='http://savage.net.au/Flowers/Correa.pulchella.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Correa.pulchella.0.jpg' alt = ""Correa pulchella""></a>",0.3m
,"Common correa",,Plant,,,,,,2018-11-26,,"Correa reflexa nummulariifolia","<a href='http://savage.net.au/Flowers/Correa.reflexa.nummulariifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Correa.reflexa.nummulariifolia.0.jpg' alt = ""Correa reflexa nummulariifolia""></a>",
"'Mini Orange'","Corymbia ficifolia",2m,Tree,200,200,200,200,Corymbia.ficifolia,2018-11-12,Yes,"Corymbia ficifolia","<a href='http://savage.net.au/Flowers/Corymbia.ficifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Corymbia.ficifolia.0.jpg' alt = ""Corymbia ficifolia""></a>",2m
"Smoke bush","Smoke Tree",,Tree,,,,,Cotinus.coggygria,2018-11-12,Yes,"Cotinus coggygria","<a href='http://savage.net.au/Flowers/Cotinus.coggygria.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Cotinus.coggygria.0.jpg' alt = ""Cotinus coggygria""></a>",
"Willow-leaved crowea",Crowea,,Plant,,,,,Crowea.saligna,2018-11-12,Yes,"Crowea saligna","<a href='http://savage.net.au/Flowers/Crowea.saligna.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Crowea.saligna.0.jpg' alt = ""Crowea saligna""></a>",
"Part of the ginger family",Turmeric,0.5m,Herb,50,50,50,50,Curcuma.longa,2018-11-12,Yes,"Curcuma longa","<a href='http://savage.net.au/Flowers/Curcuma.longa.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Curcuma.longa.0.jpg' alt = ""Curcuma longa""></a>",0.5m
,"Dampiera trigona",,Plant,,,,,Dampiera.trigona,2018-11-12,Yes,"Dampiera trigona","<a href='http://savage.net.au/Flowers/Dampiera.trigona.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Dampiera.trigona.0.jpg' alt = ""Dampiera trigona""></a>",
"Nepalese paper plant",Daphne,,Plant,,,,,Daphne.bholua,2018-11-12,Yes,"Daphne bholua","<a href='http://savage.net.au/Flowers/Daphne.bholua.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Daphne.bholua.0.jpg' alt = ""Daphne bholua""></a>",
"'Blue Sensation', Larkspur",Delphinium,80cm,Plant,80,20,80,20,Delphinium,2018-11-12,Yes,Delphinium,"<a href='http://savage.net.au/Flowers/Delphinium.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Delphinium.0.jpg' alt = ""Delphinium""></a>",20cm
"Blue Purple Flax, Utopia","Dianella prunina",1m,Plant,100,50,100,50,Dianella.prunina.dp303,2018-11-12,Yes,"Dianella prunina DP303","<a href='http://savage.net.au/Flowers/Dianella.prunina.dp303.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Dianella.prunina.dp303.0.jpg' alt = ""Dianella prunina DP303""></a>",50cm
,Carnation,,Plant,,,,,Dianthus,2018-11-12,Yes,Dianthus,"<a href='http://savage.net.au/Flowers/Dianthus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Dianthus.0.jpg' alt = ""Dianthus""></a>",
"Arthropodium strictum, Chocolate lily","Chocolate Lily",,Plant,,,,,Dichopogon.strictus,2018-11-12,Yes,"Dichopogon strictus","<a href='http://savage.net.au/Flowers/Dichopogon.strictus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Dichopogon.strictus.0.jpg' alt = ""Dichopogon strictus""></a>",
"Uruguayan Firecracker Plant","Hummingbird Plant",50cm,Plant,50,50,50,50,Dicliptera.suberecta,2018-11-12,Yes,"Dicliptera suberecta","<a href='http://savage.net.au/Flowers/Dicliptera.suberecta.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Dicliptera.suberecta.0.jpg' alt = ""Dicliptera suberecta""></a>",50cm
"African iris, Butterfly iris, Fortnight lily, Japanese iris, Wood iris","Butterfly Iris",,Plant,,,,,Dietes,2018-11-12,Yes,Dietes,"<a href='http://savage.net.au/Flowers/Dietes.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Dietes.0.jpg' alt = ""Dietes""></a>",
,"Diplarrena latifolia",45cm,Plant,45,20,45,20,Diplarrena.latifolia,2018-11-12,Yes,"Diplarrena latifolia","<a href='http://savage.net.au/Flowers/Diplarrena.latifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Diplarrena.latifolia.0.jpg' alt = ""Diplarrena latifolia""></a>",20cm
,Purpurea,3m,Plant,,,,,,2018-11-12,Yes,"Dodonaea viscosa","<a href='http://savage.net.au/Flowers/Dodonaea.viscosa.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Dodonaea.viscosa.0.jpg' alt = ""Dodonaea viscosa""></a>",1.5m
"'Prima Donna'","Blueberry Ash",5m,Tree,500,200,500,200,Elaeocarpus.reticulatus,2018-11-12,Yes,"Elaeocarpus reticulatus","<a href='http://savage.net.au/Flowers/Elaeocarpus.reticulatus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Elaeocarpus.reticulatus.0.jpg' alt = ""Elaeocarpus reticulatus""></a>",2m
"Yellow Form","Eremorphila glabra",70cm,Plant,,,,,,2018-11-12,Yes,"Eremorphila glabra","<a href='http://savage.net.au/Flowers/Eremorphila.glabra.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Eremorphila.glabra.0.jpg' alt = ""Eremorphila glabra""></a>",1.5m
