common_name,note
"Dwarf Crown of Thorns","One of the toughest house plant around or for shady, frost protected parts of the garden"
"Dwarf Crown of Thorns","Dark Pink flowers are on show all year"
"Dwarf Crown of Thorns","Supplier: Rippon Lea Estate"
"Elephant bush","Flowering: 2011-10-05, in Spring (Melbourne, Victoria, Australia)"
"Elephant bush","This is a tiny plant, but can spead easily in semi-shade"
"Elephant bush","Feeding: No"
"Elephant bush","Pruning: No"
Elephant-ear,"Note: The plant is highly poisonous, except for the rhizome"
Elephant-ear,"Pruning: No"
Elephant-ear,"Feeding: No"
"Eremorphila nivea","Improved form of Eremophila nivea introduced by Philip Vaughan"
"Eremorphila nivea","This improved form of the popular Australian plant Eremophila nivea is far less suseptible to disease and foliage damage than the normal form"
"Eremorphila nivea","The beautiful silvery grey foliage is attractive on its own, but when the vivid blue flowers appear it is an arresting sight"
"Eremorphila nivea","In fact the foliage is so soft to the touch it's hard to believe it belongs to a plant"
"Eremorphila nivea","Grafted onto a hardy rootstock to make it suitable under a range of conditions"
"Eremorphila nivea","Performs best in full sun or light shade, in well drained soil"
"Eremorphila nivea","Apply a thick mulch above the roots to suppress weeds and conserve moisture, but keep it away from the trunk"
"Eremorphila nivea","Trim lightly after flowering to maintain a compact habit"
"Eremorphila nivea","Care must be taken to remove ALL growth below the graft union or these shoots will grow through the grafted canopy and eventually overrun your plant"
"Eremorphila nivea","1.5m x 1.5m"
"Eremorphila nivea","Suitable for large containers"
"Eremorphila nivea","Drought tolerant once established"
"Eremorphila nivea","Supplier: <a href = 'http://www.kuranga.com.au/'>Kuranga Native Nursery</a>"
"Eremorphila nivea","Supplier: <a href = 'http://pinewoodnursery.com.au/'>Pinewood Nursery</a>"
Fig,"Note: Never plant in the garden due to its invasive root system, which can break concrete"
Firebird,"An eye-catching perennial with tall spikes of scarlet flowers in Spring/Summer"
Firebird,"Likes a sunny spot and is fairly care-free other than a winter prune"
Firebird,"Supplier: Rippon Lea Estate"
"Heart-Leaf Flame Pea","Provides a profusion of brilliant orange-red flowers from Winter to Summer"
"Heart-Leaf Flame Pea","Scrambling, evergreen shrub with leathery, heart-shaped leaves"
"Heart-Leaf Flame Pea","Easy-to-grow ornamental shrub for gardens or containers"
"Heart-Leaf Flame Pea","Also acts as a climber if given support"
"Heart-Leaf Flame Pea","Grows well in a partly-shaded position in moist, well-drained soil"
"Heart-Leaf Flame Pea","Prune after flowering to maintain compact growth"
"Heart-Leaf Flame Pea","Cultivate soil before planting. Dig hole twice the width of the container"
"Heart-Leaf Flame Pea","Remove plant from container and place into the hole so the soil level is the same as the surrounding ground"
"Heart-Leaf Flame Pea","Fill hole firmly and water in well even if the soil is moist"
"Heart-Leaf Flame Pea","Â© Norwood"
"Heart-Leaf Flame Pea","Supplier: <a href = 'http://www.kuranga.com.au/'>Kuranga Native Nursery</a>"
"Heart-Leaf Flame Pea","Status: Defunct"
"Flame Pea","Compact small shrub which bares masses of flame orange and pink pea-like flowers above holly foliage"
"Flame Pea","Flowering occurs sporadically throughtout the year with the main flowering in Spring"
"Flame Pea","Performs well in full sun or part-shaded positions in well-drained soils"
"Flame Pea","Tolerant of alkaline soils"
"Flame Pea","Tip prune young plants after flowering to maintain a dense habit"
"Flame Pea","Mulch around the base of the plant to preserve moisture over the drier months of the year"
"Flame Pea","Suits native gardens, cottage-style gardens, coastal gardens and containers"
"Flame Pea","Attracts birds"
"Flame Pea","immij pty ltd Â©"
"Flame Pea","Supplier: <a href = 'http://www.kuranga.com.au/'>Kuranga Native Nursery</a>"
"Forest Pansy","Pruning: Responds well to a hard annual pruning if a denser, more shrub-like habit is desired"
"Forest Pansy","Feeding: Use a complete fertilizer each spring"
"Fountain Grass","The flowers are not aromatic"
"Fountain Grass","Spreads ruthlessly, at any distance from the parent"
"Fountain Grass","Flowering: 2011-11-25, in Spring (Melbourne, Victoria, Australia)"
"Fountain Grass","Status: Defunct"
Fuchsia,"Status: Defunct"
'Coralle',"Strong upright with long pendant flowers in clusters"
'Coralle',"Salmon-orange flowers with large sage-green velvety leaves"
'Coralle',"Can tolerate sun and moderate heat"
'Coralle',"Plant is a sheltered position"
'Coralle',"Maintain moist, well-drained soil"
'Coralle',"Supplier: Burnley Horticultural College"
"Garden heliotrope","A highly fragrant perennial plant, with an intense, rather vanilla-like fragrance"
"Garden heliotrope","The seeds are poisonous, and toxic to horses"
"Garden heliotrope","Note that the common name 'garden heliotrope' may also refer to the herb Valerian"
"Garden heliotrope","... and ..."
"Garden heliotrope","An attractive, adaptable and hardy low evergreen shrub"
"Garden heliotrope","Forms a mound of purplish foliage with purple flowers over the warmer months"
"Garden heliotrope","Happy in sun or quite a lot of shade"
"Garden heliotrope","Supplier: Rippon Lea Estate"
"Glory Bush","The flowers are not aromatic"
"Glory Bush","Flowering: 2011-12-21, in Summer (Melbourne, Victoria, Australia)"
"Glory Bush","Pruning: Cut well back in mid-winter after the flowers fade and tip prune as new growth appears"
"Glory Bush","I prune it to 20cm in late Autumn"
"Glory Bush","Feeding: No"
"Goji Berry Plant","Goji plants will fruit heavily throughout Summer and Autumn"
"Goji Berry Plant","The plant is a deciduous, long-living, perennial that develops a trunk"
"Goji Berry Plant","From this it will form multiple fruit-bearing branches"
"Goji Berry Plant","The plant tolerates frosts and high temperatures, from -15 Â°C to 40 Â°C, making it a very hardy plant"
"Goji Berry Plant","These plants prefer a well-drained soil, but will need protection from slugs, snails and pests during its first year of growth"
"Goji Berry Plant","Goji berries are high in Vitamin C, which supports the immune system"
"Goji Berry Plant","They also contain Vitamins A and E (which promote skin health), and Vitamins B1, B2 and B6 (which increase metabolism and improve cell growth)"
"Goji Berry Plant","You'll find a fuller list of health benefits on the internet"
"Goji Berry Plant","Low water requirement when established"
"Goji Berry Plant","Can be pruned"
"Goji Berry Plant","Tolerates dryness"
"Goji Berry Plant","Tolerates coastal conditions"
"Goji Berry Plant","Frost tolerant"
"Goji Berry Plant","Suitable for pots"
"Lady 'O'","This is a medium-sized spreading shrub bearing a host of bright red flowers"
"Lady 'O'","Under mild conditions plants can flower all year round"
"Lady 'O'","Attracts nectar-feeding birds"
"Lady 'O'","Responds well to regular pruning"
"Lady 'O'","Feed with a low phosphorous fertilizer"
"Lady 'O'","Full sun. Part shade. Great for pots. Long flowering"
'Fireworks',"A cross between Grevillea 'Scarlet Sprite' and Grevillea alpina"
'Fireworks',"'Fireworks' is a small to medium shrub, approximately 1m tall"
'Fireworks',"It has bright red and yellow flowers and soft grey/green foliage"
'Fireworks',"Flowers occur on the ends of short branches, and an explosion of colour is seen from Autumn to Spring"
'Fireworks',"Plants are both frost and drought tolerant and are useful for attracting birds to your garden"
'Fireworks',"Supplier: <a href = 'http://pinewoodnursery.com.au/'>Pinewood Nursery</a>"
"'Honeyeater Heaven'","A compact evergreen shrub to 80cm high which bears an adundance of red and white flowers through Winter"
"'Honeyeater Heaven'","It provides an excellent food source for honeyeaters and native bird life"
"'Honeyeater Heaven'","It makes for a perfect low hedge, in gardens, rockeries or as a container specimen"
"'Honeyeater Heaven'","Full sun. It is hardy in most well-drained soils. Frost tolerant"
"'Honeyeater Heaven'","Supplier: <a href = 'http://pinewoodnursery.com.au/'>Pinewood Nursery</a>"
"Heavenly Bamboo","Feeding: No"
"Heavenly Bamboo","Pruning: No"
"Christmas rose","Flowering: 2011-11-14, in Spring (Melbourne, Victoria, Australia)"
"Christmas rose","Flowering: 2012-07-17, and most are pink and white"
"Christmas rose","The flowers are not aromatic"
"Christmas rose","Feeding: Feed between mid-autumn and mid-spring"
"Christmas rose","Pruning: Cut off old foliage in late autumn/early winter"
"Hellebore 2","Don't be put off by the common name, this is a great foliage plant for shady spots"
"Hellebore 2","In winter it bears large yellow/green flower heads and its foliage provides year round interest"
"Hellebore 2","Will take morning sun or full shade"
"Hellebore 2","Supplier: Rippon Lea Estate"
"Hellebore 2","Status: Defunct"
"Coral bells","Status: Defunct"
"Climbing Guinea Flower","This is an Australian native"
"Climbing Guinea Flower","Flowering: 2011-11-14, in Spring (Melbourne, Victoria, Australia)"
"Climbing Guinea Flower","It's a vine"
"Climbing Guinea Flower","The flowers are slightly aromatic, but some people dislike the aroma"
"Hoary Guinea Flower","Hibbertias are renowned for their bright yellow flowers"
"Hoary Guinea Flower","This Hibbertia forms a small shrub with greyish-green leaves"
"Hoary Guinea Flower","Produces a profusion of bright yellow flowers in Spring and Summer"
"Hoary Guinea Flower","Ideal for containers, rockeries and borders"
"Hoary Guinea Flower","Best grown in partial shade or filtered sun in well drained soil"
"Hoary Guinea Flower","Regular tip pruning encourages compact growth"
"Hoary Guinea Flower","Tolerates light frost"
"Hoary Guinea Flower","Culivate soil before planting"
"Hoary Guinea Flower","Dig hole twice the width of the container"
"Hoary Guinea Flower","Remove plant from container and place into the hole so the soil level is the same as the surrounding ground"
"Hoary Guinea Flower","Fill hole firmly and in well even if the soil is moist"
"Hoary Guinea Flower","Full sun or part shade"
"Hoary Guinea Flower",Prostrate
"Hoary Guinea Flower","Width: To 1m"
"Hoary Guinea Flower","Coastal conditions"
"Hoary Guinea Flower","Supplier: <a href = 'http://www.kuranga.com.au/'>Kuranga Native Nursery</a>"
"Hoary Guinea Flower","Status: Defunct"
Hibiscus,"This is an Australian native tree"
Hibiscus,"Flowering: 2011-11-14, in the Spring (Melbourne, Victoria, Australia)"
Hibiscus,"The flowers are aromatic"
Hibiscus,"From base to tip-top it is 559cm = 220 inches = 18 feet 4 inches"
Hibiscus,"Pruning: Prune to shape in early spring"
Hibiscus,"Feeding: Follow pruning with a complete fertilizer and abundant summer water"
Hibiscus,"Status: Defunct"
"West Coast Gem","This is an Australian native tree"
