nbtb,3.27,Aug 27,0.80
njr,3.03,Sep 11,1.01
nyb,7.47,Aug  4,1.00
nwl,6.31,Aug 27,0.84
ngpc,16.57,Sep 26,1.72
gas,4.17,Sep 26,1.86
ntls,4.17,Sep 17,0.84
nus,3.37,Aug 27,0.43
ns,9.40,Aug  4,3.94
nsh,8.04,Aug  4,1.44
ntri,3.18,Aug  1,0.35
ocfc,5.28,Jul 30,0.80
chux,3.67,Sep 10,0.24
ozm,4.58,Aug  7,0.19
oln,4.78,Aug  7,0.80
ob,21.04,Sep 11,2.87
ofg,4.04,Sep 26,0.56
osp,13.65,Aug  1,0.94
osk,6.35,Aug 13,0.40
ott,14.56,Sep 11,1.68
glt,4.13,Oct  2,0.36
pacr,5.79,Sep 17,0.60
pcbk,2.90,Sep  3,0.39
pkg,7.16,Sep 11,1.20
pacw,5.36,Aug 13,1.28
prk,5.90,Aug 22,3.76
pcap,28.09,Sep 10,1.32
pten,4.97,Sep 10,0.56
pvg,7.03,Jul 31,1.32
pvr,11.63,Jul 31,1.78
pei,21.86,Aug 27,2.28
pag,5.94,Aug  7,0.36
pfbx,2.80,Jul  2,0.56
pbct,3.41,Jul 30,0.57
pas,3.07,Sep 11,0.54
pep,2.99,Sep  3,1.60
pm,2.33,Sep 11,1.00
pny,3.33,Sep 23,1.03
pse,2.07,Jul 25,0.31
pbi,5.27,Aug 13,1.17
srp,4.22,Aug 20,0.32
por,4.83,Sep 23,0.96
udr,7.32,Oct 15,1.32
ry,5.07,Oct 23,1.89
snh,8.54,Oct 15,1.40
pps,8.67,Sep 26,1.80
pch,6.21,Jul 31,2.04
ppg,4.49,Aug  7,2.08
ppl,4.31,Sep  8,1.31
pfbc,7.59,Aug  1,0.54
pld,12.01,Aug 13,2.01
psec,15.60,Sep 26,1.60
pl,7.47,Aug 12,0.92
prov,9.27,Aug 21,0.51
pfs,3.39,Aug 13,0.44
psb,4.33,Sep 15,1.76
psa,2.92,Sep 11,2.15
pulb,4.35,Oct  1,0.37
qsii,3.09,Sep 11,1.05
qelp,19.23,Jul 31,1.04
quix,7.62,Jun 18,0.40
rrd,6.69,Aug  5,1.04
rpfg,9.08,Aug 27,0.28
ryn,6.53,Sep  8,2.00
rwt,26.50,Sep 26,3.00
rgc,11.12,Sep  9,1.20
reg,7.89,Aug 18,2.83
rgnc,11.11,Aug  5,1.66
pgn,6.41,Oct  8,2.46
nwe,3.54,Sep 11,0.66
pcg,4.47,Sep 26,1.53
peg,4.37,Sep  4,1.26
rf,12.67,Sep 15,1.24
rnst,3.62,Sep 15,0.68
rsg,3.39,Sep 29,0.70
rai,7.00,Sep  8,3.40
rok,4.89,Aug  7,1.16
kmp,7.39,Jul 29,3.75
lbai,4.72,Jul 29,0.40
nnn,8.67,Jul 29,1.46
nwsb,3.49,Jul 29,0.88
oks,8.21,Jul 29,4.13
kgs,8.16,Jul 29,1.13
rci,4.31,Aug 29,1.10
rpm,5.50,Oct 16,0.77
stba,4.11,Sep 29,1.24
sasr,5.17,Sep  4,0.95
shs,5.76,Sep 24,0.72
savb,2.81,Jul 30,0.38
sre,3.40,Sep 23,1.33
sxt,2.90,Aug  6,0.73
shw,2.42,Aug 20,1.36
sfnc,2.79,Sep 11,0.76
sjw,2.47,Jul 31,0.63
son,4.70,Aug 13,1.06
bid,6.94,Aug 27,0.60
sji,3.34,Sep  8,1.08
sug,3.75,Sep 24,0.60
oksb,2.56,Sep 15,0.38
swx,3.49,Aug 13,0.88
se,5.23,Aug 13,0.93
sep,6.68,Aug  1,1.29
sr,16.43,Aug 20,0.92
swk,3.89,Sep  3,1.25
stbc,4.56,Aug 20,0.55
scs,28.76,Oct  8,2.35
stl,5.45,Sep 11,0.76
stsa,4.35,Sep 26,0.40
ston,16.64,Oct 23,2.12
subk,2.86,Sep 11,0.88
smmf,3.29,May 29,0.35
slf,5.83,Aug 18,1.41
sun,4.41,Aug  7,1.15
sho,25.50,Sep 26,1.40
sup,5.11,Oct  1,0.64
snv,164.12,Sep 16,14.21
tal,10.49,Aug 19,1.58
tcb,4.80,Jul 30,0.75
tnl,5.43,Oct  1,0.35
tpx,4.26,Aug 27,0.32
tri,4.87,Aug 20,1.05
tsbk,7.82,Aug  6,0.43
tkr,3.70,Aug 13,0.69
tac,5.34,Aug 27,1.05
trp,4.88,Sep 26,1.40
trv,2.88,Sep  8,1.18
trmk,5.41,Aug 27,0.92
usb,5.93,Sep 26,1.70
uil,5.87,Sep 10,1.73
umpq,5.89,Sep 26,0.76
uns,3.50,Aug 21,0.94
ubsi,4.41,Sep 10,1.16
untd,11.40,Aug 12,0.80
ups,3.68,Aug 21,1.77
usbi,5.97,Sep 10,1.07
scg,5.47,Sep  8,1.82
ugi,3.30,Sep 11,0.76
pwr,0.00,N/A,0.00
wpz,9.79,Aug  5,2.35
win,12.41,Sep 26,1.00
xlnx,2.81,Aug  4,0.52
zion,5.47,Aug  4,1.72
osbc,3.28,Sep 24,0.62
mgrc,4.16,Oct 10,0.78
xray,0.63,Sep 24,0.18
lvs,0.00,N/A,0.00
lly,5.48,Aug 13,1.83
bmtc,3.07,Aug  4,0.53
cpt,9.09,Sep 26,2.79
cffn,4.64,Jul 30,2.00
cdr,10.68,Aug  6,0.90
chke,16.25,Aug 28,2.75
cinf,6.70,Sep 17,1.52
cnl,4.15,Jul 31,0.90
clp,20.24,Jul 31,2.00
cbu,3.93,Sep 11,0.85
cmp,3.31,Aug 27,1.32
cpno,9.70,Jul 30,2.07
cpy,8.73,Aug 14,0.64
pbib,4.44,Sep 11,0.84
t,6.33,Oct  8,1.60
af,5.99,Aug 13,1.04
adp,3.41,Sep 10,1.16
btfg,5.42,Sep 10,0.52
b,4.81,Aug 27,0.60
bgfv,6.02,Aug 27,0.36
bkcc,19.26,Sep 11,1.72
wgl,4.85,Oct  8,1.41
ust,3.69,Sep 11,2.49
vnr,12.56,Jul 29,1.18
vmc,3.81,Aug 25,1.93
wre,6.56,Sep 12,1.71
wri,10.36,Sep  3,2.07
wabc,2.85,Jul 31,1.38
cpsi,5.30,Aug  5,1.44
cryp,11.32,Sep  4,0.48
pii,5.43,Jul 30,1.48
sybt,2.57,Sep 11,0.67
swm,3.91,Aug 14,0.60
shbi,3.16,Aug 14,0.64
sah,17.20,Sep 11,0.48
so,4.54,Jul 31,1.65
sss,8.36,Oct  6,2.53
stly,3.83,Aug  6,0.40
stel,4.19,Jul 31,0.64
sph,9.60,Aug  1,3.09
sxl,9.19,Aug  5,3.55
susq,7.57,Jul 30,1.04
tck,9.98,Jun 12,1.00
tco,5.76,Sep 26,1.66
te,5.54,Aug 13,0.79
tmp,2.83,Jul 31,1.30
tu,5.75,Sep  8,1.73
txt,7.87,Sep 10,0.92
ub,2.83,Sep  3,2.08
ngls,10.76,Jul 31,1.67
tsh,5.03,Sep 12,1.37
tpgi,3.72,Sep 24,0.24
bsrr,3.57,Jul 29,0.67
skt,4.95,Jul 28,1.48
tclp,10.12,Jul 29,2.73
tpp,10.82,Jul 29,2.81
wit,2.09,Jun 27,0.15
tlp,11.27,Jul 29,2.17
any,8.90,Sep 11,0.93
dal,0.00,N/A,0.00
paas,0.00,N/A,0.00
dhi,8.77,Aug 14,0.45
gld,0.00,N/A,0.00
nbl,1.38,Jul 31,0.60
ncl,5.86,Oct 10,0.64
adbe,0.00,24-Mar-05,0.00
amgn,0.00,22-Nov-99,0.00
csx,1.60,Aug 27,0.70
mmm,3.22,Aug 20,1.98
utx,2.63,Aug 13,1.28
hon,3.72,Aug 18,1.07
fdo,2.00,Sep 11,0.49
cost,1.17,Aug  6,0.61
ba,3.33,Aug  6,1.55
noc,3.47,Aug 21,1.54
lmt,2.11,Aug 28,1.68
clr,0.00,N/A,0.00
aem,0.76,12-Mar-08,0.18
btu,12.43,Aug  6,3.79
hal,1.92,Aug 28,0.36
cal,0.00, 2-Dec-98,0.00
amr,0.00,16-Mar-00,0.00
jblu,0.00,21-Nov-03,0.00
len,9.59,Oct 21,0.68
tol,0.00,N/A,0.00
tnh,18.88,Aug  6,14.38
tie,3.96,Sep  8,0.30
tup,4.07,Sep  8,0.88
ubsh,3.37,Aug 14,0.74
ucbi,2.12,Jun 12,0.27
bac,11.13,Sep  3,2.56
fslr,0.00,N/A,0.00
tcbk,3.06,Sep 10,0.52
td,5.21,Oct  1,2.35
tin,189.27,Aug 27,12.95
trn,1.69,Oct 10,0.30
yhoo,0.00,12-May-04,0.00
