ヤンキー,-1,-1,1000,名詞,一般,*,*,*,*,ヤンキー,ヤンキー,ヤンキー,かぶき者
兄,-1,-1,1000,名詞,一般,*,*,*,*,兄,兄,兄,兄上
かっぱ,-1,-1,1000,名詞,一般,*,*,*,*,かっぱ,かっぱ,かっぱ,簑
タレント,-1,-1,1000,名詞,一般,*,*,*,*,タレント,タレント,タレント,役者
ニュース,-1,-1,1000,名詞,一般,*,*,*,*,ニュース,ニュース,ニュース,矢文
メール,-1,-1,1000,名詞,一般,*,*,*,*,メール,メール,メール,文
ポスター,-1,-1,1000,名詞,一般,*,*,*,*,ポスター,ポスター,ポスター,浮世絵
不当,-1,-1,1000,名詞,一般,*,*,*,*,不当,不当,不当,不埒
郵便,-1,-1,1000,名詞,一般,*,*,*,*,郵便,郵便,郵便,飛脚
ライト,-1,-1,1000,名詞,一般,*,*,*,*,ライト,ライト,ライト,提灯
ご苦労,-1,-1,1000,名詞,一般,*,*,*,*,ご苦労,ご苦労,ご苦労,大儀
外出中,-1,-1,1000,名詞,一般,*,*,*,*,外出中,外出中,外出中,他用
性格,-1,-1,1000,名詞,一般,*,*,*,*,性格,性格,性格,性根
心臓,-1,-1,1000,名詞,一般,*,*,*,*,心臓,心臓,心臓,心ノ臓
イケメン,-1,-1,1000,名詞,一般,*,*,*,*,イケメン,イケメン,イケメン,色若衆
自由,-1,-1,1000,名詞,一般,*,*,*,*,自由,自由,自由,勝手
サッカー,-1,-1,1000,名詞,一般,*,*,*,*,サッカー,サッカー,サッカー,蹴鞠
約束,-1,-1,1000,名詞,一般,*,*,*,*,約束,約束,約束,指切り
内蔵,-1,-1,1000,名詞,一般,*,*,*,*,内蔵,内蔵,内蔵,五臓六腑
肝臓,-1,-1,1000,名詞,一般,*,*,*,*,肝臓,肝臓,肝臓,肝ノ臓
結婚,-1,-1,1000,名詞,一般,*,*,*,*,結婚,結婚,結婚,嫁入り
雑誌,-1,-1,1000,名詞,一般,*,*,*,*,雑誌,雑誌,雑誌,黄表紙
胃,-1,-1,1000,名詞,一般,*,*,*,*,胃,胃,胃,胃ノ腑
お元気,-1,-1,1000,名詞,一般,*,*,*,*,お元気,お元気,お元気,お達者
禁止,-1,-1,1000,名詞,一般,*,*,*,*,禁止,禁止,禁止,無用
本当,-1,-1,1000,名詞,一般,*,*,*,*,本当,本当,本当,まこと
電話,-1,-1,1000,名詞,一般,*,*,*,*,電話,電話,電話,電信
タオル,-1,-1,1000,名詞,一般,*,*,*,*,タオル,タオル,タオル,手拭い
ガラス,-1,-1,1000,名詞,一般,*,*,*,*,ガラス,ガラス,ガラス,ギヤマン
新聞,-1,-1,1000,名詞,一般,*,*,*,*,新聞,新聞,新聞,かわら版
ホステス,-1,-1,1000,名詞,一般,*,*,*,*,ホステス,ホステス,ホステス,おいらん
不審者,-1,-1,1000,名詞,一般,*,*,*,*,不審者,不審者,不審者,うろん者
監視,-1,-1,1000,名詞,一般,*,*,*,*,監視,監視,監視,目付
監査,-1,-1,1000,名詞,一般,*,*,*,*,監査,監査,監査,目付
意見,-1,-1,1000,名詞,一般,*,*,*,*,意見,意見,意見,目安
決まり,-1,-1,1000,名詞,一般,*,*,*,*,決まり,決まり,決まり,法度
法律,-1,-1,1000,名詞,一般,*,*,*,*,法律,法律,法律,法度
憲法,-1,-1,1000,名詞,一般,*,*,*,*,憲法,憲法,憲法,法度
警察,-1,-1,1000,名詞,一般,*,*,*,*,警察,警察,警察,奉行所
警察署,-1,-1,1000,名詞,一般,*,*,*,*,警察署,警察署,警察署,奉行所
裁判所,-1,-1,1000,名詞,一般,*,*,*,*,裁判所,裁判所,裁判所,奉行所
税,-1,-1,1000,名詞,一般,*,*,*,*,税,税,税,年貢
税金,-1,-1,1000,名詞,一般,*,*,*,*,税金,税金,税金,年貢
海外,-1,-1,1000,名詞,一般,*,*,*,*,海外,海外,海外,南蛮
友人,-1,-1,1000,名詞,一般,*,*,*,*,友人,友人,友人,同士
テロ,-1,-1,1000,名詞,一般,*,*,*,*,テロ,テロ,テロ,討ち入り
泥棒,-1,-1,1000,名詞,一般,*,*,*,*,泥棒,泥棒,泥棒,盗っ人
就職,-1,-1,1000,名詞,一般,*,*,*,*,就職,就職,就職,弟子入り
市民,-1,-1,1000,名詞,一般,*,*,*,*,市民,市民,市民,町民
社長,-1,-1,1000,名詞,一般,*,*,*,*,社長,社長,社長,大名
平和,-1,-1,1000,名詞,一般,*,*,*,*,平和,平和,平和,太平
一方,-1,-1,1000,名詞,一般,*,*,*,*,一方,一方,一方,他方
兵隊,-1,-1,1000,名詞,一般,*,*,*,*,兵隊,兵隊,兵隊,足軽
社会,-1,-1,1000,名詞,一般,*,*,*,*,社会,社会,社会,世
世界,-1,-1,1000,名詞,一般,*,*,*,*,世界,世界,世界,世
軍隊,-1,-1,1000,名詞,一般,*,*,*,*,軍隊,軍隊,軍隊,陣
作戦,-1,-1,1000,名詞,一般,*,*,*,*,作戦,作戦,作戦,陣
退去,-1,-1,1000,名詞,一般,*,*,*,*,退去,退去,退去,所払い
追放,-1,-1,1000,名詞,一般,*,*,*,*,追放,追放,追放,所払い
学校,-1,-1,1000,名詞,一般,*,*,*,*,学校,学校,学校,寺子屋
準備,-1,-1,1000,名詞,一般,*,*,*,*,準備,準備,準備,仕度
戦士,-1,-1,1000,名詞,一般,*,*,*,*,戦士,戦士,戦士,侍
兵士,-1,-1,1000,名詞,一般,*,*,*,*,兵士,兵士,兵士,侍
警察,-1,-1,1000,名詞,一般,*,*,*,*,警察,警察,警察,御奉行
規制,-1,-1,1000,名詞,一般,*,*,*,*,規制,規制,規制,禁制
報復,-1,-1,1000,名詞,一般,*,*,*,*,報復,報復,報復,仇討ち
法人,-1,-1,1000,名詞,一般,*,*,*,*,法人,法人,法人,株仲間
消防,-1,-1,1000,名詞,一般,*,*,*,*,消防,消防,消防,火消し
家庭,-1,-1,1000,名詞,一般,*,*,*,*,家庭,家庭,家庭,家中
社員,-1,-1,1000,名詞,一般,*,*,*,*,社員,社員,社員,家臣
職員,-1,-1,1000,名詞,一般,*,*,*,*,職員,職員,職員,家臣
部下,-1,-1,1000,名詞,一般,*,*,*,*,部下,部下,部下,家臣
警察官,-1,-1,1000,名詞,一般,*,*,*,*,警察官,警察官,警察官,岡っ引
スパイ,-1,-1,1000,名詞,一般,*,*,*,*,スパイ,スパイ,スパイ,隠密
デモ,-1,-1,1000,名詞,一般,*,*,*,*,デモ,デモ,デモ,一揆
外国人,-1,-1,1000,名詞,一般,*,*,*,*,外国人,外国人,外国人,異人
外人,-1,-1,1000,名詞,一般,*,*,*,*,外人,外人,外人,異人
外国,-1,-1,1000,名詞,一般,*,*,*,*,外国,外国,外国,異国
会長,-1,-1,1000,名詞,一般,*,*,*,*,会長,会長,会長,ご隠居
つかまる,-1,-1,1000,名詞,一般,*,*,*,*,つかまる,つかまる,つかまる,お縄
逮捕,-1,-1,1000,名詞,一般,*,*,*,*,逮捕,逮捕,逮捕,お縄
みんな,-1,-1,1000,名詞,一般,*,*,*,*,みんな,みんな,みんな,皆の衆
皆さん,-1,-1,1000,名詞,一般,*,*,*,*,皆さん,皆さん,皆さん,皆の衆
皆様,-1,-1,1000,名詞,一般,*,*,*,*,皆様,皆様,皆様,皆の衆
全員,-1,-1,1000,名詞,一般,*,*,*,*,全員,全員,全員,皆の衆
そいつ,-1,-1,1000,名詞,一般,*,*,*,*,そいつ,そいつ,そいつ,かかる輩
その人,-1,-1,1000,名詞,一般,*,*,*,*,その人,その人,その人,かかる輩
ひとたび,-1,-1,1000,名詞,一般,*,*,*,*,ひとたび,ひとたび,ひとたび,一度
相違,-1,-1,1000,名詞,一般,*,*,*,*,相違,相違,相違,違い
快晴,-1,-1,1000,名詞,一般,*,*,*,*,快晴,快晴,快晴,日本晴れ
さようなら,-1,-1,1000,名詞,一般,*,*,*,*,さようなら,さようなら,さようなら,ご免
パンツ,-1,-1,1000,名詞,一般,*,*,*,*,パンツ,パンツ,パンツ,ふんどし
ズボン,-1,-1,1000,名詞,一般,*,*,*,*,ズボン,ズボン,ズボン,袴
案外,-1,-1,1000,名詞,一般,*,*,*,*,案外,案外,案外,存外
ドクター,-1,-1,1000,名詞,一般,*,*,*,*,ドクター,ドクター,ドクター,医師
タクシー,-1,-1,1000,名詞,一般,*,*,*,*,タクシー,タクシー,タクシー,籠
バインダー,-1,-1,1000,名詞,一般,*,*,*,*,バインダー,バインダー,バインダー,紙ばさみ
スパイダーマン,-1,-1,1000,名詞,一般,*,*,*,*,スパイダーマン,スパイダーマン,スパイダーマン,蜘蛛男
スーパーマン,-1,-1,1000,名詞,一般,*,*,*,*,スーパーマン,スーパーマン,スーパーマン,超人
ウルトラマン,-1,-1,1000,名詞,一般,*,*,*,*,ウルトラマン,ウルトラマン,ウルトラマン,超人
デビルマン,-1,-1,1000,名詞,一般,*,*,*,*,デビルマン,デビルマン,デビルマン,悪魔人
トイレ,-1,-1,1000,名詞,一般,*,*,*,*,トイレ,トイレ,トイレ,厠
ミーティング,-1,-1,1000,名詞,一般,*,*,*,*,ミーティング,ミーティング,ミーティング,寄り合い
会議,-1,-1,1000,名詞,一般,*,*,*,*,会議,会議,会議,寄り合い
ファンデーション,-1,-1,1000,名詞,一般,*,*,*,*,ファンデーション,ファンデーション,ファンデーション,おしろい
制汗剤,-1,-1,1000,名詞,一般,*,*,*,*,制汗剤,制汗剤,制汗剤,あせしらず
メイクアップアーティスト,-1,-1,1000,名詞,一般,*,*,*,*,メイクアップアーティスト,メイクアップアーティスト,メイクアップアーティスト,化粧師
メイク,-1,-1,1000,名詞,一般,*,*,*,*,メイク,メイク,メイク,化粧
マジシャン,-1,-1,1000,名詞,一般,*,*,*,*,マジシャン,マジシャン,マジシャン,奇術師
ミシン,-1,-1,1000,名詞,一般,*,*,*,*,ミシン,ミシン,ミシン,機織機
コップ,-1,-1,1000,名詞,一般,*,*,*,*,コップ,コップ,コップ,茶碗
ハンガー,-1,-1,1000,名詞,一般,*,*,*,*,ハンガー,ハンガー,ハンガー,衣紋掛け
エプロン,-1,-1,1000,名詞,一般,*,*,*,*,エプロン,エプロン,エプロン,前掛け
ゴミ箱,-1,-1,1000,名詞,一般,*,*,*,*,ゴミ箱,ゴミ箱,ゴミ箱,屑篭
近く,-1,-1,1000,名詞,一般,*,*,*,*,近く,近く,近く,ちこう
不都合,-1,-1,1000,名詞,一般,*,*,*,*,不都合,不都合,不都合,不届き
書く,-1,-1,1000,名詞,一般,*,*,*,*,書く,書く,書く,したためる
紛失物,-1,-1,1000,名詞,一般,*,*,*,*,紛失物,紛失物,紛失物,失せ物
良いように,-1,-1,1000,名詞,一般,*,*,*,*,良いように,良いように,良いように,よきに
先輩,-1,-1,1000,名詞,一般,*,*,*,*,先輩,先輩,先輩,先達
リーダー,-1,-1,1000,名詞,一般,*,*,*,*,リーダー,リーダー,リーダー,先達
先日,-1,-1,1000,名詞,一般,*,*,*,*,先日,先日,先日,過日
赤ちゃん,-1,-1,1000,名詞,一般,*,*,*,*,赤ちゃん,赤ちゃん,赤ちゃん,赤子
ベビー,-1,-1,1000,名詞,一般,*,*,*,*,ベビー,ベビー,ベビー,赤子
ベビーカー,-1,-1,1000,名詞,一般,*,*,*,*,ベビーカー,ベビーカー,ベビーカー,乳母車
デート,-1,-1,1000,名詞,一般,*,*,*,*,デート,デート,デート,逢瀬
銭湯,-1,-1,1000,名詞,一般,*,*,*,*,銭湯,銭湯,銭湯,湯屋
カレンダー,-1,-1,1000,名詞,一般,*,*,*,*,カレンダー,カレンダー,カレンダー,暦
真夜中,-1,-1,1000,名詞,一般,*,*,*,*,真夜中,真夜中,真夜中,丑三つ時
喫茶店,-1,-1,1000,名詞,一般,*,*,*,*,喫茶店,喫茶店,喫茶店,茶屋
用意,-1,-1,1000,名詞,一般,*,*,*,*,用意,用意,用意,手筈ず
策,-1,-1,1000,名詞,一般,*,*,*,*,策,策,策,手筈ず
手配,-1,-1,1000,名詞,一般,*,*,*,*,手配,手配,手配,手筈ず
ペン,-1,-1,1000,名詞,一般,*,*,*,*,ペン,ペン,ペン,筆
ティッシュペーパー,-1,-1,1000,名詞,一般,*,*,*,*,ティッシュペーパー,ティッシュペーパー,ティッシュペーパー,ちり紙
テニス,-1,-1,1000,名詞,一般,*,*,*,*,テニス,テニス,テニス,庭球
バスケットボール,-1,-1,1000,名詞,一般,*,*,*,*,バスケットボール,バスケットボール,バスケットボール,籠球
バレーボール,-1,-1,1000,名詞,一般,*,*,*,*,バレーボール,バレーボール,バレーボール,排球
鞄,-1,-1,1000,名詞,一般,*,*,*,*,鞄,鞄,鞄,風呂敷
かばん,-1,-1,1000,名詞,一般,*,*,*,*,かばん,かばん,かばん,風呂敷
定規,-1,-1,1000,名詞,一般,*,*,*,*,定規,定規,定規,物差し
メジャー,-1,-1,1000,名詞,一般,*,*,*,*,メジャー,メジャー,メジャー,巻尺
ナイフ,-1,-1,1000,名詞,一般,*,*,*,*,ナイフ,ナイフ,ナイフ,刀
戦争,-1,-1,1000,名詞,一般,*,*,*,*,戦争,戦争,戦争,戦
パスポート,-1,-1,1000,名詞,一般,*,*,*,*,パスポート,パスポート,パスポート,手形
故郷,-1,-1,1000,名詞,一般,*,*,*,*,故郷,故郷,故郷,くに
警棒,-1,-1,1000,名詞,一般,*,*,*,*,警棒,警棒,警棒,十手
ボール,-1,-1,1000,名詞,一般,*,*,*,*,ボール,ボール,ボール,鞠
ホチキス,-1,-1,1000,名詞,一般,*,*,*,*,ホチキス,ホチキス,ホチキス,紙綴じ
クリップ,-1,-1,1000,名詞,一般,*,*,*,*,クリップ,クリップ,クリップ,紙綴じ
百貨店,-1,-1,1000,名詞,一般,*,*,*,*,百貨店,百貨店,百貨店,万屋
デパート,-1,-1,1000,名詞,一般,*,*,*,*,デパート,デパート,デパート,万屋
美容師,-1,-1,1000,名詞,一般,*,*,*,*,美容師,美容師,美容師,髪結い
床屋,-1,-1,1000,名詞,一般,*,*,*,*,床屋,床屋,床屋,髪結い床
指導,-1,-1,1000,名詞,一般,*,*,*,*,指導,指導,指導,指南
親密,-1,-1,1000,名詞,一般,*,*,*,*,親密,親密,親密,懇ろ
サンダル,-1,-1,1000,名詞,一般,*,*,*,*,サンダル,サンダル,サンダル,下駄
靴下,-1,-1,1000,名詞,一般,*,*,*,*,靴下,靴下,靴下,草履
スニーカー,-1,-1,1000,名詞,一般,*,*,*,*,スニーカー,スニーカー,スニーカー,わらじ
ブーツ,-1,-1,1000,名詞,一般,*,*,*,*,ブーツ,ブーツ,ブーツ,雪駄
靴下,-1,-1,1000,名詞,一般,*,*,*,*,靴下,靴下,靴下,足袋
ソックス,-1,-1,1000,名詞,一般,*,*,*,*,ソックス,ソックス,ソックス,足袋
ストッキング,-1,-1,1000,名詞,一般,*,*,*,*,ストッキング,ストッキング,ストッキング,足袋
上着,-1,-1,1000,名詞,一般,*,*,*,*,上着,上着,上着,羽織
伝言,-1,-1,1000,名詞,一般,*,*,*,*,伝言,伝言,伝言,言伝て
帽子,-1,-1,1000,名詞,一般,*,*,*,*,帽子,帽子,帽子,頭巾
