1576	GO:0005783 	 endoplasmic reticulum 
3242	GO:0005783 	 endoplasmic reticulum 
7148	GO:0005783 	 endoplasmic reticulum 
5298	GO:0005783 	 endoplasmic reticulum 
57834	GO:0005783 	 endoplasmic reticulum 
7555	GO:0005783 	 endoplasmic reticulum 
2329	GO:0005783 	 endoplasmic reticulum 
7098	GO:0005783 	 endoplasmic reticulum 
3284	GO:0005783 	 endoplasmic reticulum 
2134	GO:0005783 	 endoplasmic reticulum 
288	GO:0005783 	 endoplasmic reticulum 
10715	GO:0005783 	 endoplasmic reticulum 
1592	GO:0005783 	 endoplasmic reticulum 
1733	GO:0005783 	 endoplasmic reticulum 
23205	GO:0005783 	 endoplasmic reticulum 
8775	GO:0005783 	 endoplasmic reticulum 
2328	GO:0005783 	 endoplasmic reticulum 
7363	GO:0005783 	 endoplasmic reticulum 
4051	GO:0005783 	 endoplasmic reticulum 
66002	GO:0005783 	 endoplasmic reticulum 
3818	GO:0005783 	 endoplasmic reticulum 
64714	GO:0005783 	 endoplasmic reticulum 
9468	GO:0005783 	 endoplasmic reticulum 
8608	GO:0005783 	 endoplasmic reticulum 
1554	GO:0005783 	 endoplasmic reticulum 
7380	GO:0005783 	 endoplasmic reticulum 
#N/A	GO:0005783 	 endoplasmic reticulum 
398	GO:0005783 	 endoplasmic reticulum 
9023	GO:0005783 	 endoplasmic reticulum 
9563	GO:0005783 	 endoplasmic reticulum 
6716	GO:0005783 	 endoplasmic reticulum 
10317	GO:0005783 	 endoplasmic reticulum 
2538	GO:0005783 	 endoplasmic reticulum 
2081	GO:0005783 	 endoplasmic reticulum 
48	GO:0005783 	 endoplasmic reticulum 
1121	GO:0005783 	 endoplasmic reticulum 
9370	GO:0005783 	 endoplasmic reticulum 
7367	GO:0005783 	 endoplasmic reticulum 
10786	GO:0005783 	 endoplasmic reticulum 
6780	GO:0005783 	 endoplasmic reticulum 
23457	GO:0005783 	 endoplasmic reticulum 
4923	GO:0005783 	 endoplasmic reticulum 
3601	GO:0005783 	 endoplasmic reticulum 
9420	GO:0005783 	 endoplasmic reticulum 
728160	GO:0005783 	 endoplasmic reticulum 
10195	GO:0005783 	 endoplasmic reticulum 
1581	GO:0005783 	 endoplasmic reticulum 
1579	GO:0005783 	 endoplasmic reticulum 
5046	GO:0005783 	 endoplasmic reticulum 
8560	GO:0005783 	 endoplasmic reticulum 
23275	GO:0005783 	 endoplasmic reticulum 
80168	GO:0005783 	 endoplasmic reticulum 
1564	GO:0005783 	 endoplasmic reticulum 
623	GO:0005783 	 endoplasmic reticulum 
489	GO:0005783 	 endoplasmic reticulum 
5033	GO:0005783 	 endoplasmic reticulum 
3140	GO:0005783 	 endoplasmic reticulum 
1544	GO:0005783 	 endoplasmic reticulum 
10400	GO:0005783 	 endoplasmic reticulum 
3060	GO:0005783 	 endoplasmic reticulum 
10130	GO:0005783 	 endoplasmic reticulum 
871	GO:0005783 	 endoplasmic reticulum 
1549	GO:0005783 	 endoplasmic reticulum 
6683	GO:0005783 	 endoplasmic reticulum 
64816	GO:0005783 	 endoplasmic reticulum 
120227	GO:0005783 	 endoplasmic reticulum 
5861	GO:0005783 	 endoplasmic reticulum 
51754	GO:0005783 	 endoplasmic reticulum 
1528	GO:0005783 	 endoplasmic reticulum 
23155	GO:0005783 	 endoplasmic reticulum 
150776	GO:0005783 	 endoplasmic reticulum 
23544	GO:0005783 	 endoplasmic reticulum 
1572	GO:0005783 	 endoplasmic reticulum 
2741	GO:0005783 	 endoplasmic reticulum 
4988	GO:0005783 	 endoplasmic reticulum 
23491	GO:0005783 	 endoplasmic reticulum 
81542	GO:0005783 	 endoplasmic reticulum 
554	GO:0005783 	 endoplasmic reticulum 
4121	GO:0005783 	 endoplasmic reticulum 
10505	GO:0005783 	 endoplasmic reticulum 
1562	GO:0005783 	 endoplasmic reticulum 
5740	GO:0005783 	 endoplasmic reticulum 
