MathMLGSL_PERLRNG_WITH_OC,MathMLGSL_PERLRNG_WO_OC,PDLGSL_PDLGSLUNIF_WITH_OC,PDLGSL_PDLGSLUNIF_WO_OC,PDLGSL_PDLUNIF_WITH_OC,PDLGSL_PDLUNIF_WO_OC,PDLGSL_PERLRNGPDL_WITH_OC,PDLGSL_PERLRNGPDL_WO_OC
0.651311,0.649707,0.049861,0.049748,0.045953,0.046496,0.150353,0.154114
0.643404,0.649533,0.050039,0.049646,0.045815,0.045766,0.149714,0.153583
0.643964,0.644148,0.050165,0.050696,0.045451,0.046508,0.154607,0.150521
0.640311,0.643707,0.051901,0.049890,0.045628,0.045601,0.154603,0.153362
0.640302,0.644299,0.051145,0.050303,0.045807,0.045736,0.151744,0.152925
0.643562,0.638156,0.050207,0.049572,0.045919,0.045911,0.154568,0.152929
0.640722,0.642773,0.050679,0.050931,0.045743,0.046280,0.154221,0.154447
0.642062,0.642059,0.050128,0.049997,0.045357,0.045430,0.153815,0.149663
0.643764,0.644880,0.051469,0.050159,0.045948,0.046228,0.150624,0.153021
0.644674,0.643174,0.050256,0.050086,0.045526,0.045409,0.153385,0.152402
0.645052,0.642914,0.049878,0.049839,0.046005,0.045735,0.150398,0.152668
0.640871,0.643264,0.050388,0.049909,0.045488,0.045618,0.153493,0.154158
0.641033,0.641690,0.051868,0.049897,0.045773,0.045785,0.149624,0.153574
0.642495,0.643755,0.050499,0.050057,0.045471,0.045551,0.152969,0.153605
0.643524,0.644116,0.050016,0.050953,0.046453,0.045840,0.153321,0.150471
0.645362,0.643610,0.049992,0.050031,0.046307,0.046230,0.149812,0.152735
0.643149,0.642706,0.051593,0.050423,0.046334,0.045870,0.149256,0.155257
0.642264,0.642145,0.051408,0.049591,0.045646,0.046508,0.155155,0.153006
0.642228,0.642759,0.051012,0.050222,0.045705,0.045496,0.155360,0.153821
0.637902,0.639845,0.051613,0.050556,0.046341,0.046871,0.154319,0.153617
0.645058,0.638783,0.050185,0.052201,0.046360,0.045748,0.154737,0.153704
0.641912,0.637541,0.050279,0.049996,0.045399,0.045832,0.154716,0.154123
0.643408,0.646532,0.051572,0.050196,0.045531,0.045559,0.153593,0.150068
0.644321,0.643967,0.051682,0.049823,0.045584,0.045865,0.154051,0.150939
0.643829,0.643087,0.051324,0.050197,0.046427,0.045307,0.149801,0.152922
0.641654,0.641430,0.050031,0.050789,0.046153,0.045840,0.153132,0.149068
0.649661,0.647857,0.053450,0.050958,0.051748,0.048565,0.154760,0.159737
0.641051,0.642569,0.050500,0.050305,0.046907,0.046196,0.156092,0.149047
0.641569,0.644467,0.049968,0.049804,0.046597,0.048321,0.153321,0.151046
0.645207,0.644584,0.050532,0.051044,0.046765,0.045602,0.149128,0.154390
