gene_callers_id	t_superkingdom	t_phylum	t_class	t_order	t_family	t_genus	t_species
NZ_HG326224.1|read226	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	
NZ_HG326224.1|read227	Bacteria	Firmicutes					
NZ_HG326224.1|read228	Bacteria						
NZ_HG326224.1|read229	Bacteria	Firmicutes					
NZ_HG326224.1|read232	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read233	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	
NZ_HG326224.1|read234	Bacteria	Firmicutes					
NZ_HG326224.1|read235	Bacteria						
NZ_HG326224.1|read236	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read238	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read239	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read240	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read241	Bacteria	Firmicutes					
NZ_HG326224.1|read243	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326224.1|read245	Bacteria	Firmicutes					
NZ_HG326224.1|read246	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read247	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326224.1|read248	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	
NZ_HG326224.1|read251	Bacteria	Firmicutes					
NZ_HG326224.1|read256	Bacteria						
NZ_HG326224.1|read258	Bacteria	Bacteroidetes	Flavobacteriia				
NZ_HG326224.1|read262	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326224.1|read264	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read265	Bacteria						
NZ_HG326224.1|read266	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium tetani
NZ_HG326224.1|read268	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read269	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326224.1|read270	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read271	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326224.1|read272	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326224.1|read273	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read274	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read275	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium ulcerans
