Workers	Time	Num_threads
5	12.3977971076965	71
5	12.4139828681946	72
6	33.4426760673523	1
6	22.4574639797211	2
6	16.9272129535675	3
6	12.3899738788605	4
6	12.6940138339996	5
6	10.2043368816376	6
6	11.1316018104553	7
6	10.1980199813843	8
6	10.9104371070862	9
6	10.2454991340637	10
6	10.562835931778	11
6	10.1415750980377	12
6	10.4959669113159	13
6	9.80643105506897	14
6	9.93579196929932	15
6	9.21825289726257	16
6	9.64121294021606	17
6	9.11931300163269	18
6	9.2568371295929	19
6	9.12103796005249	20
6	9.14336800575256	21
6	9.06076788902283	22
6	8.84287095069885	23
6	9.02988600730896	24
6	8.71171712875366	25
6	9.08914184570312	26
6	8.73900604248047	27
6	9.15443682670593	28
6	8.79915618896484	29
6	9.2957968711853	30
6	8.88706588745117	31
6	9.42619609832764	32
6	9.0066990852356	33
6	9.57629108428955	34
6	9.13769698143005	35
6	9.69122290611267	36
6	9.33646106719971	37
6	9.86557102203369	38
6	9.47478103637695	39
6	10.0439100265503	40
6	9.63910603523254	41
6	10.2151670455933	42
6	9.80236792564392	43
6	10.3237600326538	44
6	9.99778389930725	45
6	10.4441440105438	46
6	10.1858689785004	47
6	10.5369930267334	48
6	10.3936750888824	49
6	10.596204996109	50
6	10.5579769611359	51
6	10.7811510562897	52
6	10.7075278759003	53
6	10.9108557701111	54
6	10.9122538566589	55
6	11.0270731449127	56
6	11.124135017395	57
6	11.1960670948029	58
6	11.2696278095245	59
6	11.3223030567169	60
6	11.4257588386536	61
6	11.4943981170654	62
6	11.6024060249329	63
6	11.6388170719147	64
6	11.8217558860779	65
6	11.8346719741821	66
6	11.9486689567566	67
6	11.9604411125183	68
6	12.1438999176025	69
6	12.1923520565033	70
6	12.2847411632538	71
6	12.3533978462219	72
7	29.5158820152283	1
7	19.610808134079	2
7	14.8527388572693	3
7	10.7823138237	4
7	11.0579922199249	5
7	9.65978384017944	6
7	10.2370829582214	7
7	9.95544099807739	8
7	10.0665600299835	9
7	9.62524104118347	10
7	9.86803197860718	11
7	9.30296015739441	12
7	9.32987904548645	13
7	8.65201997756958	14
7	8.94214391708374	15
7	8.42761707305908	16
7	8.83612704277039	17
7	8.495689868927	18
7	8.72656393051147	19
7	8.58256506919861	20
7	8.59299778938293	21
7	8.59709000587463	22
7	8.4961199760437	23
7	8.62636518478394	24
7	8.46942114830017	25
7	8.77146601676941	26
7	8.55772709846497	27
7	8.82927107810974	28
7	8.68315005302429	29
7	9.00507211685181	30
7	8.78962898254395	31
7	9.15043497085571	32
7	8.94041705131531	33
7	9.29282879829407	34
7	9.09035706520081	35
7	9.44183397293091	36
7	9.2471489906311	37
7	9.65957403182983	38
7	9.41429495811462	39
7	9.80726099014282	40
7	9.60576319694519	41
7	10.0226089954376	42
7	9.80150294303894	43
7	10.0989809036255	44
7	9.94976902008057	45
7	10.242133140564	46
7	10.1250422000885	47
7	10.4284160137177	48
7	10.3430459499359	49
7	10.5082159042358	50
7	10.532026052475	51
7	10.6658680438995	52
7	10.6961619853973	53
7	10.8480520248413	54
7	10.9186010360718	55
7	10.9772429466248	56
7	11.0572440624237	57
7	11.1930770874023	58
7	11.2436981201172	59
7	11.2989208698273	60
7	11.4513139724731	61
7	11.4698967933655	62
7	11.559014081955	63
7	11.6361839771271	64
7	11.7761678695679	65
7	11.8218519687653	66
7	11.9369230270386	67
7	11.9900689125061	68
7	12.0780470371246	69
7	12.1495938301086	70
7	12.2717227935791	71
7	12.3539998531342	72
8	26.2883410453796	1
8	17.4910340309143	2
8	13.0494050979614	3
8	9.57048201560974	4
8	10.1094229221344	5
8	9.2852680683136	6
8	9.35229897499084	7
8	9.39352178573608	8
8	9.54340195655823	9
8	8.91674304008484	10
8	8.95835089683533	11
8	8.27491307258606	12
8	8.56055998802185	13
8	8.17403292655945	14
8	8.43674087524414	15
8	7.99841117858887	16
8	8.39101600646973	17
8	8.11053419113159	18
8	8.30933594703674	19
8	8.25796818733215	20
8	8.29868412017822	21
8	8.33565592765808	22
8	8.30619502067566	23
8	8.45022106170654	24
8	8.350919008255	25
8	8.55637693405151	26
8	8.47380089759827	27
8	8.70432615280151	28
8	8.61382412910461	29
8	8.82312488555908	30
8	8.78097796440125	31
8	8.98905110359192	32
8	8.8701958656311	33
8	9.1500837802887	34
8	9.06391906738281	35
8	9.33141207695007	36
8	9.23841595649719	37
8	9.49695014953613	38
8	9.41082811355591	39
8	9.64254403114319	40
8	9.60192108154297	41
