name	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	sample	blanc	isotopes	adduct	pcgroup	fold	tstat	pvalue	norm.b1	CV.samp	CV.pool	CV.ind	sample_mean	sample_sd	sample_CV	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV
M144T951	M144.1008T15.85	144.100846856727	144.082985934066	144.102155182754	15.854906293045	15.8488418462408	15.9031632960704	36	36	0			35	150.064508799747	-5.33279209339908	5.85527938934405e-06	0	0.499221940293607	0.127823708597097	1	63083.8553602431	31492.8446741418	0.499221940293607	63083.8553602431	8063.61234474913	0.127823708597097	0.25604585511991
M145T1006	M145.0738T16.77	145.07380809873	145.046980170269	145.076885862277	16.7730624827239	16.7674797691424	17.0285240055906	39	36	0		[3M+2H]2+ 96.0387	15	69.7465110392205	-19.4861618072239	0	1	0.316047526750138	0.0274807789827066	1	35104.1645652304	11094.5843894709	0.316047526750138	31814.972570548	874.300229552103	0.0274807789827066	0.0869514128627638
M146T900	M146.0629T15.01	146.062908925774	146.062550151851	146.079786109098	15.0060955366861	14.6730853994783	15.0634631437333	50	36	9		[M+H]+ 145.055	61	28.7711057729469	-8.49623942486775	4.56598980846934e-10	1	0.384038315503539	0.0688507663623932	1	142578.725181433	54755.6934453195	0.384038315503539	221544.386793525	15253.5008140206	0.0688507663623932	0.179280982086692
M146T635	M146.0817T10.59	146.081744599027	146.057522791889	146.110268691329	10.5876165586617	9.80369857143615	10.5956132912975	60	36	3		[M+H-COCH2]+ 187.09	4	69.2900720459368	-16.491194658879	0	1	0.386137105269532	0.01255977159531	1	193045.715028775	74542.1135858981	0.386137105269532	196526.524688363	2468.3282625059	0.01255977159531	0.0325267150551176
M146T1210	M146.0458T20.17	146.045836320778	146.043063981318	146.087811358249	20.1683554408418	19.9749156642114	20.2489377133029	38	30	0		[M+H+K]2+ 252.117	154	42.1944707590653	-9.0630481838262	9.75211023046541e-11	1	0.668436109398413	0.0612880169501058	1	8182.5095628245	5469.48485728972	0.668436109398413	5150.87315868084	315.686801457076	0.0612880169501058	0.0916886686526623
M146T1567	M146.0703T26.12	146.07032231085	146.069980657738	146.070995696365	26.1240355281832	26.1201945069708	26.1264522314253	6	2	4		[M+K+NH3]+ 90.0754	36	8.85089959859262	-5.43610578722216	4.25202729892327e-06	0	1.13439671130444	0.113006424483739	1	15695.6745198568	17805.1215570304	1.13439671130444	15695.6745198567	1773.71205734954	0.113006424483739	0.0996180818911166
M148T900	M148.0643T15	148.064270689073	148.063261123747	148.066621530868	14.9981320431047	14.6675662009005	15.0086045796312	31	29	0			61	13.7661359142138	-12.8524880262289	5.99520433297585e-15	1	0.291730673549652	0.0262966824369842	1	13798.5156189139	4025.45025549114	0.291730673549652	17505.3802821693	460.333426218851	0.0262966824369842	0.0901402725912141
M148T2653	M148.1203T44.21	148.120273378329	148.116322376182	148.1211407425	44.2139484026898	44.0349669344919	44.7219950269014	38	36	1		[M+2H-C2H4]2+ 322.26	43	57.515337684448	-7.72538909763934	4.52570958486831e-09	1	0.85118353844482	0.0493582394780533	1	18096.0418121242	15403.0529014893	0.85118353844482	20208.6909177866	997.465405858071	0.0493582394780533	0.0579877749612437
M149T1228	M148.5412T20.47	148.541182590631	148.54017427925	148.541946900225	20.4733650603279	20.4664572662013	20.4773998291552	36	36	0		[M+2H-CH4]2+ 311.1	274	20.0773467648535	-15.5173948543806	0	1	0.425445070026524	0.105497743022049	1	911.362429159687	387.734652493386	0.425445070026524	977.626351835348	103.137373637509	0.105497743022049	0.247970303229678
M149T1446	M149.0535T24.09	149.053500431228	149.052815182852	149.061517189118	24.0939106413523	24.0359279236724	24.1049656447576	35	35	0			86	207.226503268537	-8.62105554528258	3.53958640175733e-10	0	0.693719596047292	0.0717060367503051	1	223183.673394097	154826.887751304	0.693719596047292	223183.673394097	16003.6166864652	0.0717060367503051	0.103364582979744
M150T620	M150.0607T10.33	150.060722603777	150.05088019067	150.063091413925	10.3264438626007	10.095255049643	10.3414419562648	45	34	9			6	299.690610401374	-11.4410149132089	2.23376872554581e-13	0	0.616673430587485	0.0655185975782337	1	570363.980685764	351728.312653024	0.616673430587485	570363.980685764	37369.44812367	0.0655185975782337	0.106245209098463
M150T2834	M150.1339T47.24	150.133853038827	150.13245066473	150.134556057717	47.2357597551187	47.2238870533695	47.2519202295502	24	24	0		[M+Na+NH3]+ 110.11	54	6.06106245606859	-6.3615329183201	2.45255445729953e-07	0	0.892357221887344	0.18870195430603	1	1097.33629353841	979.215966378092	0.892357221887344	1097.33629353841	207.069503121634	0.18870195430603	0.211464590275768
M150T2729	M150.1331T45.48	150.133135827142	150.130487619518	150.134433463088	45.4825470484964	45.4731763958304	45.4897603462738	23	23	0		[M+2H-C3H2O3]2+ 384.259	34	5.4078045778232	-3.61121567253814	0.000942565729457279	0	1.54296869411314	0.241118805848288	1	1036.61828613281	1599.46956324815	1.54296869411314	1036.61828613281	249.948163272842	0.241118805848288	0.156269408944086
M150T1976	M150.1372T32.93	150.137207854199	150.136098997787	150.13879167113	32.925897677129	32.9212918776087	32.9284460724549	10	10	0			301	4.83285259810047	-4.23459322163389	0.000150827009559595	0	1.23467108081241	0.145052513289225	1	843.716301812066	1041.71211825736	1.23467108081241	843.716301812066	122.383170080931	0.145052513289225	0.117482717092378
M151T1507	M151.0668T25.12	151.066783211446	151.065931610201	151.067238863618	25.1184399487645	25.1137062431671	25.1229807361095	36	36	0		[M+H-COCH2]+ 192.07	76	75.2244174168414	-12.2689107892606	3.10862446895044e-14	1	0.542098107783532	0.0275593707702048	1	21507.3240875914	11659.0796913705	0.542098107783532	24035.6966219565	662.408674924659	0.0275593707702048	0.0508383452635288
