type	losses_or_gains	delta_mass	annotation_in_pos_mode	annotation_in_neg_mode
fragment	-3(NH3)	-51.07964729	[(M+H)-3(NH3)]+	[(M-H)-3(NH3)]-
fragment	-4(H2O)	-72.04225874	[(M+H)-4(H2O)]+	[(M-H)-4(H2O)]-
fragment	-(C10H11O3N5)	-249.0861892	[(M+H)-C10H11O3N5]+	[(M-H)-C10H11O3N5]-
fragment	-(C10H13O4N5)	-267.0967539	[(M+H)-C10H13O4N5]+	[(M-H)-C10H13O4N5]-
fragment	-(C10H14O7N5P)	-347.0630844	[(M+H)-C10H14O7N5P]+	[(M-H)-C10H14O7N5P]-
fragment	-(C10H15O5N5)	-285.1073186	[(M+H)-C10H15O5N5]+	[(M-H)-C10H15O5N5]-
fragment	-(C2H3NO2)	-73.01637834	[(M+H)-C2H3NO2]+	[(M-H)-C2H3NO2]-
fragment	-(C2H4O2)	-60.02112937	[(M+H)-C2H4O2]+	[(M-H)-C2H4O2]-
fragment	-(C2H5NO3)	-91.02694302	[(M+H)-C2H5NO3]+	[(M-H)-C2H5NO3]-
fragment	-(C2H6O2)	-62.03677943	[(M+H)-C2H6O2]+	[(M-H)-C2H6O2]-
fragment	-(C2H6O3)	-78.03169405	[(M+H)-C2H6O3]+	[(M-H)-C2H6O3]-
fragment	-(C2H6O3)-(H2O)	-96.04225874	[(M+H)-(C2H6O3)-(H2O)]+	[(M-H)--(C2H6O3)-(H2O)]-
fragment	-(C2H6O4)	-94.02660867	[(M+H)-C2H6O4]+	[(M-H)-C2H6O4]-
fragment	-(C2H7NO2)	-77.04767846	[(M+H)-C2H7NO2]+	[(M-H)-C2H7NO2]-
fragment	-(C3H10O5)	-126.0528234	[(M+H)-C3H10O5]+	[(M-H)-C3H10O5]-
fragment	-(C3H6O3)-(CHNO)	-133.0375077	[(M+H)-(C3H6O3)-(CHNO)]+	[(M-H)-(C3H6O3)-(CHNO)]-
fragment	-(C3H6O4)	-106.0266087	[(M+H)-C3H6O4]+	[(M-H)-C3H6O4]-
fragment	-(C3H8O3)	-92.04734412	[(M+H)-C3H8O3]+	[(M-H)-C3H8O3]-
fragment	-(C3H8O4)	-108.0422587	[(M+H)-C3H8O4]+	[(M-H)-C3H8O4]-
fragment	-(C4H10O5)	-138.0528234	[(M+H)-C4H10O5]+	[(M-H)-C4H10O5]-
fragment	-(C4H5NO3)	-115.026943	[(M+H)-C4H5NO3]+	[(M-H)-C4H5NO3]-
fragment	-(C4H8O4)	-120.0422587	[(M+H)-C4H8O4]+	[(M-H)-C4H8O4]-
fragment	-(C5H10O4)	-134.0579088	[(M+H)-C5H10O4]+	[(M-H)-C5H10O4]-
fragment	-(C5H13O4N)	-151.0844579	[(M+H)-C5H13O4N]+	[(M-H)-C5H13O4N]-
fragment	-(C6H11O4N)	-161.0688078	[(M+H)-C6H11O4N]+	[(M-H)-C6H11O4N]-
fragment	-(C6H11O5N)	-177.0637225	[(M+H)-C6H11O5N]+	[(M-H)-C6H11O5N]-
fragment	-(C6H13O5N)	-179.0793725	[(M+H)-C6H13O5N]+	[(M-H)-C6H13O5N]-
fragment	-(C5H10O5)	-150.0528234	[(M+H)-C5H10O5]+	[(M-H)-C5H10O5]-
fragment	-(C5H10O6)	-166.047738	[(M+H)-C5H10O6]+	[(M-H)-C5H10O6]-
fragment	-(C5H12O2)	-104.0837296	[(M+H)-C5H12O2]+	[(M-H)-C5H12O2]-
fragment	-(C5H12O2)-(H2O)	-122.0942943	[(M+H)-(C5H12O2)-(H2O)]+	[(M-H)-(C5H12O2)-(H2O)]-
fragment	-(C5H5N5)	-135.0544952	[(M+H)-C5H5N5]+	[(M-H)-C5H5N5]-
fragment	-(C5H5ON5)	-151.0494098	[(M+H)-C5H5ON5]+	[(M-H)-C5H5ON5]-
fragment	-(C5H6O2)	-98.03677943	[(M+H)-C5H6O2]+	[(M-H)-C5H6O2]-
fragment	-(C5H7O2N5)	-169.0599745	[(M+H)-C5H7O2N5]+	[(M-H)-C5H7O2N5]-
fragment	-(C5H7O3N)-(CO2)	-173.0324223	[(M+H)-(C5H7O3N)-(CO2)]+	[(M-H)-(C5H7O3N)-(CO2)]-
fragment	-(C5H7O3N)-(H2O)	-147.0531578	[(M+H)-(C5H7O3N)-(H2O)]+	[(M-H)-(C5H7O3N)-(H2O)]-
fragment	-(C5H8N3)	-110.0718223	[(M+H)-C5H8N3]+	[(M-H)-C5H8N3]-
fragment	-(C5H8O3)	-116.0473441	[(M+H)-C5H8O3]+	[(M-H)-C5H8O3]-
fragment	-(C5H8O5N5P)	-249.026305	[(M+H)-C5H8O5N5P]+	[(M-H)-C5H8O5N5P]-
fragment	-(C5H9O3)	-117.0551691	[(M+H)-C5H9O3]+	[(M-H)-C5H9O3]-
fragment	-(C5H9O6P)	-196.0136746	[(M+H)-C5H9O6P]+	[(M-H)-C5H9O6P]-
fragment	-(C5H9O7P)	-212.0085893	[(M+H)-C5H9O7P]+	[(M-H)-C5H9O7P]-
fragment	-(C6H10O3)	-130.0629942	[(M+H)-C6H10O3]+	[(M-H)-C6H10O3]-
fragment	-(C6H10O3)-(H2O)	-148.0735589	[(M+H)-(C6H10O3)-(H2O)]+	[(M-H)-(C6H10O3)-(H2O)]-
fragment	-(C6H11O4N3PS)	-252.0207885	[(M+H)-C6H11O4N3PS]+	[(M-H)-C6H11O4N3PS]-
fragment	-(C6H11O4NPS)	-224.0146405	[(M+H)-C6H11O4NPS]+	[(M-H)-C6H11O4NPS]-
fragment	-(C6H12O5)	-164.0684735	[(M+H)-C6H12O5]+	[(M-H)-C6H12O5]-
fragment	-(C6H14O6)	-182.0790382	[(M+H)-C6H14O6]+	[(M-H)-C6H14O6]-
fragment	-(C6H14O7)	-198.0739528	[(M+H)-C6H14O7]+	[(M-H)-C6H14O7]-
fragment	-(C6H16O7)	-200.0896029	[(M+H)-C6H16O7]+	[(M-H)-C6H16O7]-
fragment	-(C6H16O8)	-216.0845175	[(M+H)-C6H16O8]+	[(M-H)-C6H16O8]-
fragment	-(C6H8N3)	-122.0718223	[(M+H)-C6H8N3]+	[(M-H)-C6H8N3]-
fragment	-(C6H8NS)	-126.0377453	[(M+H)-C6H8NS]+	[(M-H)-C6H8NS]-
fragment	-(C7H5ON5)	-175.0494098	[(M+H)-C7H5ON5]+	[(M-H)-C7H5ON5]-
fragment	-(C7H6ON6)	-190.0603088	[(M+H)-C7H6ON6]+	[(M-H)-C7H6ON6]-
fragment	-(C7H7O2N5)	-193.0599745	[(M+H)-C7H7O2N5]+	[(M-H)-C7H7O2N5]-
fragment	-(C7H11O6N)	-205.0586371	[(M+H)-C7H11O6N]+	[(M-H)-C7H11O6N]-
fragment	-(C8H14O7)	-222.0739528	[(M+H)-C8H14O7]+	[(M-H)-C8H14O7]-
fragment	-(C8H5O3N5)	-219.039239	[(M+H)-C8H5O3N5]+	[(M-H)-C8H5O3N5]-
fragment	-(C8H7O4N5)	-237.0498037	[(M+H)-C8H7O4N5]+	[(M-H)-C8H7O4N5]-
fragment	-(C9H10O4N2)	-210.0640568	[(M+H)-C9H10O4N2]+	[(M-H)-C9H10O4N2]-
fragment	-(C9H11O3N3)	-209.0800412	[(M+H)-C9H11O3N3]+	[(M-H)-C9H11O3N3]-
fragment	-(C9H11O4N3)	-225.0749558	[(M+H)-C9H11O4N3]+	[(M-H)-C9H11O4N3]-
fragment	-(C9H12O5N2)	-228.0746215	[(M+H)-C9H12O5N2]+	[(M-H)-C9H12O5N2]-
fragment	-(C9H12O6N3P)	-289.0463717	[(M+H)-C9H12O6N3P]+	[(M-H)-C9H12O6N3P]-
fragment	-(C9H13O4N3)	-227.0906059	[(M+H)-C9H13O4N3]+	[(M-H)-C9H13O4N3]-
fragment	-(C9H14O7N3P)	-307.0569364	[(M+H)-C9H14O7N3P]+	[(M-H)-C9H14O7N3P]-
fragment	-(C9H16O8)	-252.0845175	[(M+H)-C9H16O8]+	[(M-H)-C9H16O8]-
fragment	-(CH2N2)	-42.02179806	[(M+H)-CH2N2]+	[(M-H)-CH2N2]-
fragment	-(CH2O)-(H2O)	-48.02112937	[(M+H)-(CH2O)-(H2O)]+	[(M-H)-(CH2O)-(H2O)]-
fragment	-(CH5NO)	-47.03711378	[(M+H)-CH5NO]+	[(M-H)-CH5NO]-
fragment	-(H3PO4)-(CHNO)	-140.9827089	[(M+H)-(H3PO4)-(CHNO)]+	[(M-H)-(H3PO4)-(CHNO)]-
fragment	-(H3PO4)-(H2O)	-115.9874599	[(M+H)-(H3PO4)-(H2O)]+	[(M-H)-(H3PO4)-(H2O)]-
fragment	-(H3PO4)-(NH3)	-115.0034443	[(M+H)-(H3PO4)-(NH3)]+	[(M-H)-(H3PO4)-(NH3)]-
fragment	-(HPO3)	-79.96633052	[(M+H)-HPO3]+	[(M-H)-HPO3]-
adduct	Na+CH3CN	63.0085	[M+Na+CH3CN]+	
adduct	NH3	17.0265	[M+NH4]+	
adduct	Li	6.0082	[M+Li]+	
adduct	CH3COOH	60.02112937		[M+CH3COO]-
adduct	CF3CO2H	113.9929		[M+CF3COO]-
adduct	2Li	12.0164	[(M-H+Li)+Li]+	
adduct	2(NaCl)	79.9405		[(M-2H+2Na)+Cl]-
fragment	(H2O-CO)	-46.0054793	[(M+H)-H2O-CO]+	[(M-H)-HCOOH]-
