use Unicode::Collate::CJK::JISX0208
overrideCJK Unicode::Collate::CJK::JISX0208::weightJISX0208
#katakana
FF8D FF9F 30FC;<30DA 30FC>
FF8D FF9F FF70;<30DA 30FC>
307A 30FC;<307A><30A7>---8
3078 309A 30FC;<307A 30FC>
30E1 30FC;<30E1><30A7>---8
FF92 30FC;<30E1 30FC>
FF92 FF70;<30E1 30FC>
3081 30FC;<3081><30A7>---8
30EC 30FC;<30EC><30A7>---8
FF9A 30FC;<30EC 30FC>
FF9A FF70;<30EC 30FC>
308C 30FC;<308C><30A7>---8
30F1 30FC;<30F1><30A7>---8
3091 30FC;<3091><30A7>---8
30F9 30FC;<30F9><30A7>---8
30F1 3099 30FC;<30F9 30FC>
30F6 30FC;<30F6><30A7>---8
3096 30FC;<3096><30A7>---8
31F8 30FC;<31F8><30A7>---8
31FE 30FC;<31FE><30A7>---8
30A9 30FC;<30A9><30A9>---8
FF6B 30FC;<30A9 30FC>
FF6B FF70;<30A9 30FC>
3049 30FC;<3049><30A9>---8
30AA 30FC;<30AA><30A9>---8
FF75 30FC;<30AA 30FC>
FF75 FF70;<30AA 30FC>
304A 30FC;<304A><30A9>---8
30B3 30FC;<30B3><30A9>---8
FF7A 30FC;<30B3 30FC>
FF7A FF70;<30B3 30FC>
3053 30FC;<3053><30A9>---8
30B4 30FC;<30B4><30A9>---8
30B3 3099 30FC;<30B4 30FC>
FF7A FF9E 30FC;<30B4 30FC>
FF7A FF9E FF70;<30B4 30FC>
3054 30FC;<3054><30A9>---8
3053 3099 30FC;<3054 30FC>
30BD 30FC;<30BD><30A9>---8
FF7F 30FC;<30BD 30FC>
FF7F FF70;<30BD 30FC>
305D 30FC;<305D><30A9>---8
30BE 30FC;<30BE><30A9>---8
30BD 3099 30FC;<30BE 30FC>
FF7F FF9E 30FC;<30BE 30FC>
FF7F FF9E FF70;<30BE 30FC>
305E 30FC;<305E><30A9>---8
305D 3099 30FC;<305E 30FC>
30C8 30FC;<30C8><30A9>---8
FF84 30FC;<30C8 30FC>
FF84 FF70;<30C8 30FC>
3068 30FC;<3068><30A9>---8
30C9 30FC;<30C9><30A9>---8
30C8 3099 30FC;<30C9 30FC>
FF84 FF9E 30FC;<30C9 30FC>
FF84 FF9E FF70;<30C9 30FC>
3069 30FC;<3069><30A9>---8
3068 3099 30FC;<3069 30FC>
30CE 30FC;<30CE><30A9>---8
FF89 30FC;<30CE 30FC>
FF89 FF70;<30CE 30FC>
306E 30FC;<306E><30A9>---8
30DB 30FC;<30DB><30A9>---8
FF8E 30FC;<30DB 30FC>
FF8E FF70;<30DB 30FC>
307B 30FC;<307B><30A9>---8
30DC 30FC;<30DC><30A9>---8
30DB 3099 30FC;<30DC 30FC>
FF8E FF9E 30FC;<30DC 30FC>
FF8E FF9E FF70;<30DC 30FC>
307C 30FC;<307C><30A9>---8
307B 3099 30FC;<307C 30FC>
30DD 30FC;<30DD><30A9>---8
30DB 309A 30FC;<30DD 30FC>
FF8E FF9F 30FC;<30DD 30FC>
FF8E FF9F FF70;<30DD 30FC>
307D 30FC;<307D><30A9>---8
307B 309A 30FC;<307D 30FC>
30E2 30FC;<30E2><30A9>---8
FF93 30FC;<30E2 30FC>
FF93 FF70;<30E2 30FC>
3082 30FC;<3082><30A9>---8
30E7 30FC;<30E7><30A9>---8
FF6E 30FC;<30E7 30FC>
FF6E FF70;<30E7 30FC>
3087 30FC;<3087><30A9>---8
30E8 30FC;<30E8><30A9>---8
FF96 30FC;<30E8 30FC>
FF96 FF70;<30E8 30FC>
3088 30FC;<3088><30A9>---8
30ED 30FC;<30ED><30A9>---8
FF9B 30FC;<30ED 30FC>
FF9B FF70;<30ED 30FC>
308D 30FC;<308D><30A9>---8
30F2 30FC;<30F2><30A9>---8
FF66 30FC;<30F2 30FC>
FF66 FF70;<30F2 30FC>
3092 30FC;<3092><30A9>---8
30FA 30FC;<30FA><30A9>---8
