"distribution","rating","review_count"
"Dist-Zilla-Plugin-MetaRecommends","1.0","1"
"Dist-Zilla-Plugin-ScpDeploy","5.0","1"
"Dist-Zilla-Plugin-Twitter","5.0","1"
"DNS-EasyDNS","4.7","3"
"DNS-TinyDNS","5.0","1"
"Docs-US_DOD-STD2167A","2.5","4"
"Domain-PublicSuffix","5.0","2"
"DP-Date","1.0","1"
"DP-Perl","1.0","4"
"Dpchrist-ExtUtils-MakeMaker","1.0","1"
"DProf","1.0","1"
"DR-SAP","1.0","1"
"DumpStack","1.5","2"
"DZ1","1.0","1"
"EasyDate","2.0","4"
"EasyDBAccess","1.5","2"
"EasyTCP","5.0","1"
"EasyTool","1.3","4"
"ElasticSearch","5.0","1"
"Eludia","1.0","2"
"Emacs-EPL","4.0","1"
"Emacs-PDE","5.0","3"
"Emacs-Run-ExtractDocs","2.0","1"
"Email-Abstract","5.0","1"
"Email-Address-JP-Mobile","5.0","1"
"Email-Filter","3.0","1"
"Email-Find","5.0","1"
"Email-Fingerprint","1.5","2"
"Email-Folder","2.0","1"
"Email-Handle","2.0","1"
"Email-MIME","5.0","2"
"Email-MIME-CreateHTML","3.7","3"
"Email-MIME-Kit","5.0","2"
"Email-MIME-Modifier","2.0","1"
"Email-Send","4.3","4"
"Email-Send-SMTP-TLS","5.0","1"
"Email-Sender","4.5","4"
"Email-Simple","4.8","4"
"Email-Simple-Creator","4.0","1"
"Email-Store","5.0","1"
"Email-Valid","5.0","6"
"Embperl","5.0","1"
"Embperl-2.0b9","4.0","1"
"Enbugger","5.0","1"
"Encode","4.0","5"
"Encode-Base58","5.0","1"
"Encode-CNMap","4.0","1"
"Encode-Detect-CJK","5.0","1"
"Encode-DoubleEncodedUTF8","5.0","1"
"Encode-JP-Mobile","5.0","1"
"enum","5.0","1"
"enum-fields","5.0","1"
"Error","4.0","4"
"Error-Unhandled","5.0","1"
"EV","3.8","4"
"Event","5.0","3"
"Event-Lib","5.0","2"
"Every","5.0","1"
"EvilBoss","1.3","3"
"ex-lib","5.0","1"
"Excel-Template","3.0","2"
"Excel-Writer-XLSX","5.0","2"
"excel2txt","4.3","3"
"Exception-Class","5.0","6"
"Exception-ThrowUnless","1.0","1"
"Expect","4.3","3"
"Exporter-AutoClean","5.0","1"
"Exporter-Renaming","5.0","1"
"ExtUtils-AutoInstall","3.0","2"
"ExtUtils-CBuilder","5.0","1"
"ExtUtils-Depends","5.0","1"
"ExtUtils-MakeMaker","3.6","5"
"ExtUtils-MakeMaker-Dist-Zilla-Develop","5.0","1"
"ExtUtils-ModuleMaker","4.5","2"
"ExtUtils-TBone","5.0","1"
"Facebook-Graph","5.0","2"
"faceplant","5.0","1"
"FactorOracle","1.0","1"
"fameperl","3.0","1"
"Faster","1.0","1"
"FCGI-Engine","5.0","1"
"FEAR-API","5.0","1"
"FedEx","1.0","1"
"FFI","2.5","2"
"Fido","4.0","1"
"File-Archive","5.0","1"
"File-BaseDir","5.0","1"
"File-BOM","4.0","1"
"File-ChangeNotify","1.0","1"
"File-chdir","5.0","2"
"File-CodeSearch","1.0","1"
"File-Copy-Link","5.0","1"
"File-Copy-Recursive","4.3","3"
"File-Defrag","3.5","2"
"File-DirCompare","4.7","3"
"File-DirWalk","2.0","3"
"File-FDpasser","4.0","1"
"File-Find-Duplicates","4.0","2"
"File-Find-Rule","4.5","14"
"File-Find-Rule-Perl","4.0","1"
"File-Find-Wanted","2.0","1"
"File-Finder","3.3","3"
"File-HomeDir","5.0","4"
"File-Info","2.0","1"
"File-LibMagic","4.0","1"
"File-Locate","5.0","1"
"File-Map","4.0","2"
"File-MMagic","2.0","3"
"File-MMagic-XS","2.0","1"
"File-Monitor","5.0","1"
"File-Mork","3.0","1"
"File-Munger","2.0","1"
"File-NCopy","4.0","1"
"File-Package","1.0","1"
"File-Path","5.0","1"
"File-Pid","2.3","3"
"File-Policy","3.0","1"
"File-ReadBackwards","4.0","1"
"File-ReadSimple","1.0","5"
"File-Recurse","5.0","1"
"File-Recycle","1.0","2"
"File-Remove","4.0","1"
"File-Rsync-Mirror-Recent","5.0","1"
"File-RsyncP","5.0","1"
"File-Scan","5.0","1"
"File-Searcher","1.0","1"
"File-ShareDir","4.5","2"
"File-Size","3.0","2"
"File-Slurp","3.3","11"
"File-Slurp-Tree","4.0","1"
"File-Slurp-Unicode","1.0","1"
"File-SortedSeek","5.0","1"
"File-Spec","4.0","3"
"File-Stat-Moose","1.0","1"
"File-Stat-OO","2.0","2"
"File-Stream","4.0","1"
"File-Tail","4.3","4"
"File-Temp","4.4","8"
"File-Tools","5.0","1"
"File-Trash","2.0","2"
"File-Type","1.5","2"
"File-Where","5.0","1"
"File-Which","5.0","1"
"File-Wildcard","1.0","1"
"FileHandle-Deluxe","5.0","1"
"Filesys-DiskFree","1.0","1"
"Filesys-Notify-Simple","5.0","1"
"Filesys-Statvfs_Df","5.0","1"
"Filesys-Virtual","3.0","1"
"Filter-Crypto","4.0","1"
"Filter-Include","3.0","1"
"Filter-Indent-HereDoc","4.0","1"
"Filter-Macro","3.0","2"
"Filter-Simple","4.5","2"
"Finance-Bank-AU-StGeorge","3.0","1"
"Finance-Bank-LaPoste","5.0","2"
"Finance-Currency-Convert","5.0","2"
"Finance-Currency-Convert-XE","3.0","1"
"Finance-Currency-Convert-Yahoo","3.0","1"
"Finance-InteractiveBrokers-TWS","5.0","1"
"Finance-OFX-Parse-Simple","3.5","2"
"Find-Lib","4.0","1"
"FindBin-libs","5.0","1"
"FindBin-Real","3.0","2"
"Flickr-API","4.0","1"
"Flickr-Simple","1.0","1"
"Flickr-Upload","5.0","4"
"FLV-Info","3.3","3"
"Food-ECodes","4.0","1"
"forks","5.0","4"
"Forks-Super","5.0","2"
"Form-Processor","5.0","1"
"Format-Human-Bytes","4.0","2"
"FormValidator-LazyWay","3.0","2"
"FormValidator-Lite","5.0","1"
"FormValidator-Simple","5.0","2"
"FreeBSD-i386-Ptrace","5.0","1"
"Froody","2.0","1"
"FSA-Rules","4.5","2"
"Furl","3.0","1"
"Fuse","4.0","2"
"Fuse-Class","4.0","1"
"FusionInventory-Agent","4.0","1"
"Games-Battleship","1.0","1"
"Games-Cards","4.0","1"
"Games-Literati","5.0","1"
"Games-Nintendo-Mario","5.0","1"
"Games-Sudoku","4.0","2"
"Games-WoW-Armory","4.0","1"
"Games-Zumbis","5.0","1"
"Gantry","2.0","1"
"GD","5.0","5"
"GD-Barcode","3.8","4"
"GD-Graph-radar","5.0","1"
"GD-Graph3d","5.0","1"
"gd-rppng","4.0","1"
"GD-SecurityImage","4.3","3"
"GD-Thumbnail","5.0","1"
"GDGraph","4.9","10"
"GDGraph-histogram","2.0","1"
"GDTextUtil","5.0","1"
"Gearman-XS","5.0","1"
"Genezzo","5.0","1"
"Geo-Approx","5.0","1"
"Geo-Coder-Google","4.5","2"
"Geo-Coder-GoogleMaps","1.0","1"
"Geo-Coder-US","5.0","2"
"Geo-Coordinates-Converter","5.0","1"
"Geo-Coordinates-UTM","5.0","1"
"Geo-Distance-XS","5.0","1"
"geo-ecef","1.0","1"
"Geo-Google-PolylineEncoder","5.0","1"
"Geo-Google-StaticMaps","4.0","1"
"Geo-GoogleEarth-Document","1.0","1"
"Geo-Gpx","4.0","1"
"Geo-IP","4.3","3"
"Geo-OGC-Geometry","3.0","1"
"Geo-Point","2.0","1"
"Geo-Postcode","2.0","1"
"Geo-Proj4","5.0","1"
"Geo-ShapeFile","4.7","3"
"Geo-Shapelib","1.0","2"
"Geo-Vector","1.0","1"
"Geometry-Formula","2.0","1"
"getaddress","1.0","1"
"Getopt-ArgvFile","5.0","5"
"Getopt-Auto","4.5","2"
"Getopt-Casual","4.0","1"
"Getopt-Clade","1.0","1"
"Getopt-Compact","4.5","2"
"Getopt-Declare","3.0","1"
"Getopt-Easy","3.0","2"
"Getopt-Euclid","4.5","2"
"Getopt-ExPar","5.0","1"
"Getopt-Long","4.6","5"
"Getopt-Long-Descriptive","4.0","2"
"Getopt-Lucid","5.0","4"
"Git-CPAN-Patch","5.0","1"
"Git-FastExport","5.0","1"
"Git-Megapull","5.0","1"
"Git-PurePerl","4.0","1"
"Git-Repository","5.0","2"
"Git-Wrapper","4.0","1"
"Gitalist","2.0","1"
"GMail-Checker","5.0","1"
"Gnome2-GConf","2.0","2"
"GnuPG","3.5","2"
"GnuPG-Interface","4.0","1"
"Google-Adwords","4.0","1"
"Google-Search","5.0","3"
"google_talk_bot","1.0","2"
"GPIB","5.0","1"
"GPS-Tools","1.0","1"
"Graph","4.3","6"
"Graph-Easy","4.5","2"
"Graph-ReadWrite","5.0","1"
"Graphics-ColorNames","5.0","1"
"Graphics-ColorObject","5.0","1"
"Graphics-GnuplotIF","3.0","1"
"GraphViz","5.0","1"
"GraphViz-DBI","2.0","1"
"GraphViz-ISA-Multi","4.0","1"
"Graph_Timeline.1.0","2.0","1"
"GRID-Machine","5.0","1"
"Gtk-HandyCList","1.0","1"
"Gtk-Perl","1.0","2"
"Gtk2","5.0","2"
"Gtk2-Ex-DBI","3.0","1"
"Gtk2-Notify","4.0","1"
"guestbook","1.0","1"
"Hardware-Vhdl-Parser","4.0","1"
"Hash-AsObject","5.0","2"
"Hash-Diff-Dispatch","1.0","1"
"Hash-Flatten","5.0","1"
"Hash-Merge","4.0","2"
"Hash-Merge-Simple","2.3","3"
"Hash-Work","1.0","1"
"Haver-Server","1.0","1"
"HDB","3.0","2"
"Heap","3.0","2"
"Hoof","1.0","2"
"Hook-LexWrap","4.0","1"
"HTML-AA","1.0","1"
"HTML-CalendarMonth","5.0","1"
"HTML-CalendarMonthSimple","4.0","2"
"HTML-CheckArgs","1.0","1"
"HTML-Clean","2.0","1"
"HTML-Copy","5.0","1"
"HTML-Dashboard","5.0","1"
"HTML-DBForm","5.0","1"
"HTML-DBTable","2.0","1"
"HTML-Defaultify","1.0","1"
"HTML-Detoxifier","3.5","2"
"HTML-Diff","2.0","2"
"HTML-EasyTable","1.0","1"
"HTML-Element-Tiny","2.0","1"
"HTML-Embperl","5.0","1"
"HTML-Feature","3.0","1"
"HTML-FillInForm","4.7","3"
"HTML-FillInForm-Lite","4.0","1"
"HTML-Form","4.0","1"
"HTML-Format","5.0","2"
"HTML-FormatData","1.0","1"
"HTML-FormatText-WithLinks","5.0","1"
"HTML-FormFiller","1.0","1"
"HTML-FormFu","4.0","5"
"HTML-FormHandler","5.0","1"
"HTML-FromANSI","4.0","1"
"HTML-FromText","4.0","1"
"HTML-GenerateUtil","5.0","1"
"HTML-GenToc","4.0","2"
"HTML-GoogleMaps","5.0","1"
"HTML-HTMLDoc","2.5","4"
"HTML-LinkExtractor","5.0","1"
"HTML-Lint","2.0","1"
"HTML-Mail","2.0","1"
"HTML-Mason","4.9","13"
"HTML-Merge","3.0","1"
"HTML-Obliterate","1.0","1"
"HTML-Pager","2.0","1"
"HTML-Paging-SQL","2.0","1"
"HTML-Parser","4.9","8"
"HTML-Perlinfo","3.0","4"
"HTML-PopupTreeSelect","5.0","1"
"HTML-Prototype","4.0","2"
"HTML-ReportWriter","3.5","2"
"HTML-ResolveLink","5.0","1"
"HTML-Sanitizer","1.0","1"
"HTML-Scrubber","5.0","1"
"HTML-Seamstress","5.0","1"
"HTML-Strip","4.7","3"
"HTML-Stripper","5.0","1"
"HTML-StripScripts-Parser","5.0","1"
"HTML-Table","4.4","5"
"HTML-TableExtract","4.8","5"
"HTML-TableParser","4.3","3"
"HTML-TableParser-Grid","5.0","1"
"HTML-TableTiler","5.0","1"
"HTML-Tabulate","4.0","1"
"HTML-Tag","1.0","1"
"HTML-TagCloud","5.0","1"
"HTML-TagReader","5.0","1"
"HTML-Template","4.1","21"
"HTML-Template-Compiled","4.8","5"
"HTML-Template-Compiled-Plugin-Comma","5.0","1"
"HTML-Template-Default","2.0","1"
"HTML-Template-Dumper","5.0","1"
"HTML-Template-Pluggable","4.0","2"
"HTML-Template-Pro","5.0","2"
"HTML-Tidy","2.6","5"
"HTML-Tiny","4.0","2"
"HTML-TokeParser-Simple","4.0","1"
"HTML-Tree","4.9","8"
"HTML-TreeBuilder-LibXML","5.0","1"
"HTML-TreeBuilder-XPath","4.0","3"
"HTML-Truncate","5.0","1"
"HTML-Widget","3.0","1"
"HTML-Widgets-NavMenu","5.0","2"
"HTML-Widgets-SelectLayers","1.0","1"
"HTML-WikiConverter","4.5","4"
"HTML-WikiConverter-Markdown","5.0","1"
"HTML-XSSLint","1.0","1"
"HTML-Zoom","5.0","1"
"HTML2XHTML","1.0","1"
"HTTP-AppServer","2.5","2"
"HTTP-Async","4.0","1"
"HTTP-Body","3.0","1"
"HTTP-BrowserDetect","4.0","3"
"HTTP-Cache-Transparent","4.5","2"
"HTTP-Client","5.0","1"
"HTTP-Date","5.0","2"
"HTTP-DAV","5.0","2"
"HTTP-Engine","4.0","3"
"http-handle","5.0","1"
"HTTP-MobileAgent","5.0","1"
"HTTP-Proxy","4.3","4"
"HTTP-ProxyPAC","4.0","1"
"HTTP-ProxySelector","5.0","1"
"HTTP-QuickBase","3.0","2"
"HTTP-Recorder","3.7","3"
"HTTP-Router","2.0","1"
"HTTP-Server-Brick","4.5","2"
"HTTP-Server-Simple","3.4","9"
"HTTP-Size","4.0","1"
"HTTP-Tiny","5.0","1"
"HTTP-WebTest","4.8","4"
"I18N-AcceptLanguage","5.0","1"
"IDNA-Punycode","2.0","1"
"if","5.0","1"
"illguts","5.0","1"
"Image-Delivery","4.0","1"
"Image-Epeg","4.0","1"
"Image-EXIF","3.0","3"
"Image-ExifTool","4.8","9"
"Image-Grab","5.0","1"
"Image-Identicon","5.0","1"
"Image-Info","4.7","6"
"Image-IPTCInfo","5.0","2"
"Image-LibRSVG","3.0","1"
"Image-Math-Constrain","5.0","1"
"Image-Resize","4.0","2"
"Image-Size","5.0","3"
"Image-Timeline","3.0","1"
"Imager","4.8","12"
"Imager-DTP","4.0","1"
"IMAP-Client","3.0","1"
"IMDB-Film","5.0","1"
"IMDB-Movie","3.0","1"
"ImplicitThis","1.0","1"
"Inline","5.0","1"
"Inline-CPP","2.5","2"
"Inline-Files","5.0","1"
"Inline-Java","5.0","5"
"Inline-Struct","3.0","1"
"Inline-TT","4.0","1"
"interface","1.0","1"
"Internals-CountObjects","5.0","1"
"Interpolate","1.0","1"
"IO-All","4.4","9"
"IO-Async","5.0","1"
"IO-BufferedSelect","5.0","1"
"IO-Callback","5.0","1"
"IO-CaptureOutput","5.0","3"
"IO-CSVHeaderFile","2.0","1"
"IO-Interactive","5.0","1"
"IO-Interface","5.0","1"
"IO-Lambda","5.0","1"
"IO-Moose","3.0","2"
"IO-Prompt","2.8","4"
"IO-Socket-PortState","5.0","1"
"IO-Socket-SSL","4.5","2"
"IO-String","4.3","3"
"IO-stringy","5.0","1"
"IO-Tokenized","2.0","1"
"IO-Toolkit","1.0","1"
"IO-Unread","5.0","1"
"IO-Util","2.5","2"
"IO-Zlib","4.0","3"
"IOToolkit","1.0","1"
"IO_CSVHeaderFile","5.0","1"
"IP-Country","5.0","3"
"IPC-Cmd","5.0","1"
"IPC-DirQueue","4.7","3"
"IPC-Exe","5.0","1"
"IPC-Lite","4.0","1"
"IPC-Open3-Simple","4.0","1"
"IPC-Open3-Utils","4.0","1"
"IPC-PubSub","4.0","1"
"IPC-Run","4.0","4"
"IPC-Run3","4.7","3"
"IPC-SharedCache","2.0","2"
"IPC-ShareLite","3.3","3"
"IPC-System-Simple","5.0","2"
"IPTables-IPv4","1.5","2"
"Iterator","3.0","2"
"Iterator-Diamond","5.0","1"
"Iterator-File","5.0","1"
"IWL","1.0","1"
"Jabber-Connection","4.0","1"
"Jabber-Lite","1.0","1"
"Java","5.0","1"
"Java-Import","5.0","1"
"Java-Swing","4.0","1"
"JavaScript","3.8","5"
"JavaScript-Beautifier","5.0","1"
"JavaScript-Minifier","5.0","2"
"JavaScript-Minifier-XS","5.0","2"
"JavaScript-SpiderMonkey","5.0","1"
"JavaScript-Squish","2.0","1"
"JavaScript-V8","5.0","1"
"JE","4.0","3"
"Jemplate","5.0","2"
"JIRA-Client","4.5","4"
"jmx4perl","5.0","1"
"JS-JS","1.0","1"
"JSON","4.2","6"
"JSON-CPAN-Meta","2.0","1"
"JSON-DWIW","4.0","2"
"JSON-PP","5.0","1"
"JSON-Schema","2.0","2"
"JSON-Syck","1.0","1"
"JSON-XS","4.6","7"
"Judy","5.0","1"
"Jvm","1.0","1"
"KinoSearch","5.0","3"
"KinoSearch1","5.0","2"
"Kolab","1.0","1"
"Kwiki","3.0","8"
"Kwiki-Attachments","4.0","3"
"Kwiki-ShortcutLinks","5.0","2"
"Kwiki-Spork","2.0","1"
"Kwiki-Theme-TabNav","4.0","1"
"Kwiki-Weather","1.0","1"
"Language-P","5.0","1"
"Language-Prolog-Yaswi","5.0","1"
"last","1.0","2"
"LaTeX-Parser","1.0","1"
"LaTeX-Pod","5.0","1"
"LaTeX-TikZ","5.0","1"
"LaTeX-TOM","2.0","1"
"lcwa","1.0","1"
"Lexical-Persistence","5.0","2"
"lib-tiny","1.0","1"
"lib-xi","5.0","1"
"libapreq","4.0","1"
"libapreq2","5.0","2"
"libnet","4.7","7"
"libwin32","2.0","2"
"libwww-perl","4.5","14"
"Lingua-Boolean","3.0","1"
"Lingua-Conjunction","5.0","1"
"Lingua-DE-Num2Word","4.0","1"
"Lingua-EN-AddressParse","3.5","2"
"Lingua-EN-Infinitive","4.0","1"
"Lingua-EN-Inflect","4.5","4"
"Lingua-EN-Keywords","2.0","1"
"Lingua-EN-NameCase","4.0","1"
"Lingua-EN-NamedEntity","3.0","1"
"Lingua-EN-Nickname","4.0","1"
"Lingua-EN-Numbers","3.5","4"
"Lingua-EN-Numbers-Ordinate","5.0","1"
"Lingua-EN-Numericalize","5.0","1"
"Lingua-EN-Sentence","2.5","2"
"Lingua-EN-Syllable","3.0","1"
"Lingua-EN-Tagger","4.0","2"
"Lingua-FA-Number","1.0","1"
"Lingua-Flags","3.0","1"
"Lingua-Identify","4.0","2"
"Lingua-Ispell","4.0","2"
"Lingua-IT-Numbers","2.0","1"
"Lingua-JA-Number","3.0","1"
"Lingua-JA-Numbers","5.0","1"
"Lingua-JA-Regular","1.0","1"
"Lingua-JA-Romaji","1.0","1"
"Lingua-LO-Romanize","3.0","2"
"Lingua-NO-Num2Word","4.0","1"
"Lingua-Num2Word","5.0","1"
"Lingua-PT-Nums2Words","5.0","1"
"Lingua-Ru-Numeric-Declension","5.0","1"
"Lingua-Stem","5.0","1"
"Lingua-StopWords","5.0","1"
"Lingua-SV-Num2Word","4.0","1"
"Lingua-tlhInganHol-yIghun","5.0","1"
"Lingua-Translate","5.0","1"
"Lingua-Translate-Google","5.0","1"
"Lingua-Wordnet","2.0","1"
"link_NCBI","2.0","1"
"Linux-Inotify2","4.3","3"
"Linux-LVM","2.0","1"
"Linux-Statistics","3.0","1"
"LISP","2.0","2"
"Lisp-Fmt","1.0","1"
"list","1.0","1"
"List-AllUtils","5.0","1"
"List-Compare","4.7","3"
"List-Cycle","4.0","1"
"List-Gen","5.0","1"
"List-Maker","4.0","1"
"List-MoreUtil","1.5","2"
"List-MoreUtils","4.6","5"
"List-Pairwise","5.0","1"
"List-PriorityQueue","4.0","1"
"list_versions","3.0","1"
"load","1.0","1"
"LoadHtml","1.0","2"
"local-lib","4.2","6"
"Locale-Country-Multilingual","4.0","1"
"Locale-Currency-Format","4.0","3"
"Locale-Hebrew","4.0","2"
"Locale-Maketext-Lexicon","4.5","2"
"Locale-SubCountry","4.3","3"
"LockFile-Simple","5.0","1"
"Log","1.0","1"
"Log-Delta","2.0","1"
"Log-Dispatch","5.0","2"
"Log-Dispatch-FileRotate","3.0","2"
"Log-Easy","2.5","4"
"Log-Fast","3.5","2"
"Log-Fine","3.0","1"
"Log-Handler","4.7","3"
"Log-Log4perl","4.7","10"
"Log-Log4perl-Tiny","5.0","2"
"Log-Minimal","2.0","1"
"Log-Procmail","5.0","1"
"Log-StdLog","1.0","1"
"Log-Tiny","3.0","2"
"Log-WarnDie","5.0","1"
"Logfile","3.0","1"
"Logger","1.0","1"
"logme","1.0","1"
"Lucene","3.3","3"
"LWP-UserAgent-Anonymous","2.0","1"
"Lyrics-Fetcher-Google","4.0","1"
"M","3.0","2"
"MAB2","3.0","1"
"Mac-AppleScript","4.0","1"
"Mac-Carbon","1.0","1"
"Mac-Errors","5.0","1"
"Mac-FSEvents","3.0","2"
"Mac-Glue","4.5","2"
"Mac-Growl","5.0","1"
"Mac-iPod-GNUpod","5.0","1"
"Mac-PropertyList","3.3","3"
"Mac-PropertyList-SAX","4.0","1"
"Mac-Spotlight","1.0","1"
"Mail-Addressbook-Convert","2.0","1"
"Mail-Audit","4.0","2"
"Mail-Box","3.3","3"
"Mail-Cclient","1.0","1"
"Mail-CheckUser","2.5","2"
"Mail-ClamAV","1.0","1"
"Mail-Decency","1.0","1"
"Mail-DeliveryStatus-BounceParser","1.0","1"
"Mail-DKIM","5.0","2"
"Mail-IMAPClient","4.1","8"
"Mail-IMAPTalk","4.0","2"
"Mail-Mbox-MessageParser","2.5","2"
"Mail-MboxParser","3.7","3"
"Mail-POP3Client","5.0","1"
"Mail-SendEasy","5.0","3"
"Mail-Sender","5.0","5"
"Mail-Sender-0.8.10","4.0","1"
"Mail-Sender-Easy","4.5","2"
"Mail-Sendmail","4.4","9"
"Mail-SpamAssassin","4.7","3"
"Mail-SpamAssassin-SpamCopURI","5.0","2"
"Mail-SRS","2.0","1"
"Mail-Transport-Dbx","5.0","1"
"Mail-Webmail-Gmail","2.5","2"
"MailTools","2.6","5"
"Make","4.0","1"
"Makefile-Parser","5.0","1"
"makepatch","3.7","3"
"makepp","5.0","1"
"MARC-Lint","5.0","1"
"MasonX-Interp-WithCallbacks","4.0","1"
"MasonX-Request-WithApacheSession","3.0","1"
"Math","1.3","4"
"Math-Algebra-Symbols","5.0","1"
"Math-Base36","5.0","1"
"Math-BaseCalc","5.0","2"
"Math-BigInt","4.0","1"
"Math-BigInt-Named","3.0","1"
"Math-BigSimple","4.0","1"
"Math-Cephes","5.0","1"
"Math-Combinatorics","4.4","5"
"Math-Curve-Hilbert","2.0","1"
"Math-Expression-Evaluator","5.0","1"
"Math-Fractal-Noisemaker","4.0","1"
"Math-Geometry-Planar-GPC-Polygon","4.0","1"
"Math-LP-Solve","4.0","1"
"Math-MatrixReal","4.0","1"
"Math-MatrixSparse","1.0","1"
"Math-MultiplicationTable","1.0","1"
"Math-Numbers","3.0","1"
"Math-Polygon","4.7","3"
"Math-Random-ISAAC","5.0","1"
"Math-Random-ISAAC-XS","5.0","1"
"Math-Random-MT","5.0","1"
"Math-RandomOrg","5.0","1"
"Math-Round","5.0","1"
"Math-Round-Var","5.0","1"
"Math-RPN","4.0","2"
"Math-TrulyRandom","1.0","2"
"Math-VectorReal","5.0","1"
"Math-XOR","1.0","3"
"Math-Zap","3.0","1"
"Maypole","4.0","2"
"Mcrypt","5.0","1"
"MD5-Reverse","1.0","1"
"Media-Type-Simple","3.0","1"
"MediaWiki-API","4.8","4"
"MediaWiki-DumpFile","5.0","1"
"Memoize","5.0","2"
"Metadata","5.0","1"
"MetaStore","1.0","1"
"Method-Signatures","5.0","2"
"Method-Signatures-Simple","5.0","1"
"MIDI-Perl","4.0","1"
"MIME-Base64","5.0","2"
"MIME-Explode","5.0","1"
"MIME-Lite","4.8","12"
"MIME-tools","3.6","7"
"MIME-Types","3.0","1"
"MiscUtils","1.0","1"
"Mixin-Event-Dispatch","3.0","1"
"Mo","5.0","1"
"Mobile-UserAgent","5.0","1"
"Modern-Perl","3.7","3"
"ModPerl2-Tools","5.0","1"
"Module-Build","3.2","20"
"Module-Changes","2.7","3"
"Module-CoreList","5.0","6"
"Module-CPANTS-Analyse","3.0","2"
"Module-Dependency","3.0","2"
"Module-Info","5.0","1"
"Module-Inspector","2.0","2"
"Module-Install","3.9","8"
"Module-Install-CheckLib","5.0","1"
"Module-Install-XSUtil","5.0","1"
"Module-InstalledVersion","3.0","1"
"Module-Load","5.0","1"
"Module-MakefilePL-Parse","5.0","1"
"Module-Mask","5.0","1"
"Module-Pluggable","4.3","3"
"Module-Pluggable-Fast","1.0","2"
"Module-Refresh","5.0","1"
"Module-Release-Extras","4.0","1"
"Module-Reload","5.0","1"
"Module-Signature","3.0","4"
"Module-Starter","3.6","5"
"Module-ThirdParty","5.0","1"
"Module-Versions-Report","4.0","1"
"mod_perl","4.8","6"
"Mojo","4.0","1"
"Mojolicious","4.6","11"
"Mojolicious-Plugin-Database","1.0","1"
"Mojolicious-Plugin-Mail","5.0","2"
"MongoDB","4.0","4"
"Monkeywrench","1.0","1"
"Moo","5.0","1"
"Moose","4.9","15"
"Moose-Tiny","3.1","9"
"MooseX-ABC","2.0","1"
"MooseX-Alien","4.0","1"
"MooseX-AttributeHelpers","5.0","3"
"MooseX-Iterator","4.0","1"
"MooseX-Log-Log4perl","5.0","1"
"MooseX-LogDispatch","5.0","2"
"MooseX-Meta-Attribute-Index","5.0","1"
"MooseX-Meta-Attribute-Lvalue","2.0","1"
"MooseX-Method-Signatures","3.0","1"
"MooseX-MethodAttributes","3.0","2"
"MooseX-NonMoose","5.0","1"
"MooseX-Privacy","5.0","1"
"MooseX-Role-Parameterized","5.0","1"
"MooseX-Singleton","5.0","1"
"MooseX-Storage","4.0","1"
"MooseX-Types-Path-Class","3.0","1"
"MorboDB","5.0","1"
"Mouse","5.0","3"
"MouseX-Foreign","5.0","1"
"Mousse","5.0","1"
"Mozilla-DOM","5.0","1"
"Mozilla-Mork","2.0","1"
"MP3-Info","4.0","1"
"MP3-Info-set_mp3v2tag","4.0","1"
"MP3-PodcastFetch","4.0","1"
"MP4-Info","5.0","1"
"MPEG-Audio-Frame","4.0","1"
"MPEG-MP3Play","4.0","1"
"mpp","2.0","1"
"MQSeries","4.3","3"
"MsOffice-Word-HTML-Writer","5.0","1"
"Msql-Mysql-modules","5.0","1"
"MusicBrainz-DiscID","5.0","1"
"MySQL-Diff","5.0","2"
"MySQL-Easy","4.0","1"
"Mysql-Query-Parser","1.0","1"
"MySQL-Sandbox","5.0","1"
"MySQL-Slurp","5.0","1"
"Nagios-NSCA","2.0","1"
"Nagios-Object","2.0","1"
"Nagios-Plugin","5.0","1"
"namespace-autoclean","5.0","2"
"namespace-clean","5.0","1"
"NCBI","1.0","1"
"Nes","5.0","1"
"Net-Address-Ethernet","5.0","1"
"Net-AIM","3.0","1"
"Net-Amazon","5.0","2"
"Net-Amazon-EC2","5.0","1"
"Net-Amazon-S3","3.0","1"
"Net-Amazon-Signature","4.0","1"
"Net-AMQP","1.0","1"
"Net-Appliance-Session","5.0","1"
"Net-ARP","1.0","3"
"Net-BGP","3.0","1"
"Net-BitTorrent-File","5.0","1"
"Net-Braintree","2.5","2"
"Net-Cassandra-Easy","1.0","1"
"Net-CDDBSearch","4.0","1"
"Net-CDP","3.0","1"
"Net-CIDR-Lite","5.0","1"
"Net-Common","1.0","1"
"Net-CUPS","4.0","1"
"Net-Daemon","5.0","1"
"Net-DBus","3.3","3"
"Net-Delicious","4.0","2"
"Net-Dev-MIBLoadOrder","4.0","1"
"Net-DHCP","4.0","1"
"Net-Dict","4.5","2"
"Net-DNS","4.2","5"
"Net-DNS-Check","4.0","1"
"Net-DNS-IgnoreVerisign","1.0","1"
"Net-Domain-ExpireDate","5.0","1"
"Net-Domain-TLD","4.0","1"
"Net-DRI","5.0","1"
"Net-eNom","3.0","1"
"Net-ESMTP","4.0","1"
"Net-FileMaker","4.0","1"
"Net-Flickr-Backup","4.0","1"
"Net-Frame","4.0","1"
"Net-FS-Flickr","5.0","1"
"Net-FTP-Common","1.0","1"
"Net-FTP-Recursive","2.5","2"
"Net-FTP-Throttle","5.0","1"
