" SPDX Full name of License v1.8";"SPDX License Identifier";"SPDX Source URL";"Fedora License Identifier";"LDB License Identifier";"New Open Suse License Identifier";"compatibility class";"comment"
"Zope Public License 2.0";"ZPL-2";" http://www.zope.org/Resources/License/ZPL-2.0http://www.opensource.org/licenses/zpl.php";"ZPLv2.0";"ZPL 2.0";"ZPL-2";1;
"Zope Public License 2.1";"ZPL-2.1";"http://www.zope.org/Resources/License/ZPL-2.1 http://www.zope.org/Resources/ZPL";"ZPLv2.1";"ZPL 2.1";"ZPL-2.1";1;
"?";"?";;"Fair";"?";"Fair";1;
"?";"?";;"?";"any unresolved";"UNKNOWN(no license found)";5;
"?";"?";;"?";"any unclear";"UNKNOWN(license unclear)";5;
"?";"?";;"?";"?";"UNKNOWN(broken remote reference)";5;
"?";"?";;"?";"any foreign language";"UNKNOWN(foreign language)";5;
"?";"?";;"?";"?";"COPYLEFT-OSI-COMPLIANT(strong copyleft)";4;
"?";"?";;"?";"?";"COPYLEFT-OSI-COMPLIANT(weak copyleft)";3;
"?";"?";;"?";"?";"NON-OSI-COMPLIANT(no modification)";5;
"?";"?";;"?";"?";"NON-OSI-COMPLIANT(binary only)";5;
# "?";"GPL+ or Artistic";;"?";"perl license";"GPL(any version) or Artistic 1.0";2;
"?";"?";;"?";"any permissive";"PERMISSIVE-OSI-COMPLIANT";1;
;;;;"ACPICA";"ACPI";3;
# "A missing version number is likely to mean GPL-2+, we take the risk to err here"
;;;;"GPL";"GPL-2+";3;
;;;;"The PHP License, version 3.01";PHP-3;2;
