
CC_NAME                                                                       CT_NAME                                                                       CC_RUNMODE                       CC_ALIAS                          CC_DISP_ENABLE_ST                                              CC_DESC_TEXT                                                                                                                                                                                                                                                 CG_NAME                                                                       CG_ALIAS                         CC_INCARN_NO             
FINS Object Manager (PTB)                                                     Application Object Manager                                                    Interactive                      FINSObjMgr_ptb                    Active                                                         Siebel Financial Services Object Manager                                                                                                                                                                                                                     Siebel Financial Services                                                     Fins                             0                        
Forecast Service Manager                                                      Business Service Manager                                                      Batch                            FcstSvcMgr                        Active                                                         Execute Forecast Operations                                                                                                                                                                                                                                  Forecast Service Management                                                   FcstSvc                          0                        
Generate New Database                                                         Generate New Database                                                         Batch                            GenNewDb                          Active                                                         Generates the Siebel Remote local database template                                                                                                                                                                                                          Siebel Remote                                                                 Remote                           0                        
Generate Triggers                                                             Generate Triggers                                                             Batch                            GenTrig                           Active                                                         Generates triggers for Workflow Manager and Assignment Manager                                                                                                                                                                                               Workflow Management                                                           Workflow                         0                        
HA Upgrade MQSeries Server Receiver                                           Enterprise Application Integration Receiver                                   Background                       HAUpgradeMqRcvr                   Active                                                         Pre-configured receiver for HA Upgrade in-bound MQSeries server messages                                                                                                                                                                                     Siebel To Siebel Connector                                                    S2S                              0                        
Handheld eCG Sales CE Synchronization Object Manager (ENU)                    Application Object Manager                                                    Interactive                      CGCEObjMgr_enu                    Active                                                         Handheld eCG Sales CE Synchronization Object Manager                                                                                                                                                                                                         Handheld Synchronization SIA                                                  HandheldSyncSIS                  0                        
Handheld eCG Sales CE Synchronization Object Manager (PTB)                    Application Object Manager                                                    Interactive                      CGCEObjMgr_ptb                    Active                                                         Handheld eCG Sales CE Synchronization Object Manager                                                                                                                                                                                                         Handheld Synchronization SIA                                                  HandheldSyncSIS                  0                        
Handheld ePharma CE Synchronization Object Manager (ENU)                      Application Object Manager                                                    Interactive                      ePharmaCEObjMgr_enu               Active                                                         Handheld ePharma CE Synchronization Object Manager                                                                                                                                                                                                           Handheld Synchronization SIA                                                  HandheldSyncSIS                  0                        
Handheld ePharma CE Synchronization Object Manager (PTB)                      Application Object Manager                                                    Interactive                      ePharmaCEObjMgr_ptb               Active                                                         Handheld ePharma CE Synchronization Object Manager                                                                                                                                                                                                           Handheld Synchronization SIA                                                  HandheldSyncSIS                  0                        
Handheld Medical CE Synchronization Object Manager (ENU)                      Application Object Manager                                                    Interactive                      MedicalCEObjMgr_enu               Active                                                         Handheld Medical CE Synchronization Object Manager                                                                                                                                                                                                           Handheld Synchronization SIA                                                  HandheldSyncSIS                  0                        
Handheld Medical CE Synchronization Object Manager (PTB)                      Application Object Manager                                                    Interactive                      MedicalCEObjMgr_ptb               Active                                                         Handheld Medical CE Synchronization Object Manager                                                                                                                                                                                                           Handheld Synchronization SIA                                                  HandheldSyncSIS                  0                        
Handheld Sales CE (ENU)                                                       Application Object Manager                                                    Interactive                      SalesCEObjMgr_enu                 Active                                                         Handheld Sales CE Object Manager                                                                                                                                                                                                                             Handheld Synchronization                                                      HandheldSync                     0                        
Handheld Sales CE (PTB)                                                       Application Object Manager                                                    Interactive                      SalesCEObjMgr_ptb                 Active                                                         Handheld Sales CE Object Manager                                                                                                                                                                                                                             Handheld Synchronization                                                      HandheldSync                     0                        
Handheld SIA Sales Synchronization Object Manager (ENU)                       Application Object Manager                                                    Interactive                      SIASalesCEObjMgr_enu              Active                                                         Handheld SIA Sales Synchronization Object Manager                                                                                                                                                                                                            Handheld Synchronization SIA                                                  HandheldSyncSIS                  0                        
Handheld SIA Sales Synchronization Object Manager (PTB)                       Application Object Manager                                                    Interactive                      SIASalesCEObjMgr_ptb              Active                                                         Handheld SIA Sales Synchronization Object Manager                                                                                                                                                                                                            Handheld Synchronization SIA                                                  HandheldSyncSIS                  0                        
Handheld SIA Service Synchronization Object Manager (ENU)                     Application Object Manager                                                    Interactive                      SIAServiceCEObjMgr_enu            Active                                                         Handheld SIA Service Synchronization Object Manager                                                                                                                                                                                                          Handheld Synchronization SIA                                                  HandheldSyncSIS                  0                        
Handheld SIA Service Synchronization Object Manager (PTB)                     Application Object Manager                                                    Interactive                      SIAServiceCEObjMgr_ptb            Active                                                         Handheld SIA Service Synchronization Object Manager                                                                                                                                                                                                          Handheld Synchronization SIA                                                  HandheldSyncSIS                  0                        
Hospitality Quote Generation                                                  Business Service Manager                                                      Batch                            HospitalityQuoteGen               Active                                                         Generates Hospitality quotes asynchronously                                                                                                                                                                                                                  Siebel eHospitality                                                           Hospitality                      0                        
HTIM Object Manager (ENU)                                                     Application Object Manager                                                    Interactive                      htimObjMgr_enu                    Active                                                         Siebel HTIM Object Manager                                                                                                                                                                                                                                   Siebel High Tech Industrial Manufacturing                                     HTIM                             0                        
HTIM Object Manager (PTB)                                                     Application Object Manager                                                    Interactive                      htimObjMgr_ptb                    Active                                                         Siebel HTIM Object Manager                                                                                                                                                                                                                                   Siebel High Tech Industrial Manufacturing                                     HTIM                             0                        
HTIM PRM Object Manager (ENU)                                                 Application Object Manager                                                    Interactive                      htimprmObjMgr_enu                 Active                                                         Siebel HTIM PRM Object Manager                                                                                                                                                                                                                               Siebel High Tech Industrial Manufacturing                                     HTIM                             0                        
HTIM PRM Object Manager (PTB)                                                 Application Object Manager                                                    Interactive                      htimprmObjMgr_ptb                 Active                                                         Siebel HTIM PRM Object Manager                                                                                                                                                                                                                               Siebel High Tech Industrial Manufacturing                                     HTIM                             0                        
ICM Calc Engine                                                               Incentive Compensation Mgr                                                    Batch                            ICMCalcEngine                     Active                                                         Incentive Compensation - Compensation Calculation                                                                                                                                                                                                            Incentive Compensation                                                        IComp                            0                        
ICM CalcWkbk Import                                                           Incentive Compensation Mgr                                                    Batch                            ICMCalcImport                     Active                                                         Incentive Compensation - Transaction to Calculation Workbook processor                                                                                                                                                                                       Incentive Compensation                                                        IComp                            0                        
ICM Container Calculation                                                     Incentive Compensation Mgr                                                    Batch                            ICMContainerCalc                  Active                                                         Incentive Compensation - Container Calculation                                                                                                                                                                                                               Incentive Compensation                                                        IComp                            0                        
ICM Container Recalculation                                                   Incentive Compensation Mgr                                                    Batch                            ICMContainerRetro                 Active                                                         Incentive Compensation - Container Recalculation                                                                                                                                                                                                             Incentive Compensation                                                        IComp                            0                        
ICM Order Import                                                              Incentive Compensation Mgr                                                    Batch                            ICMOrderImport                    Active                                                         Incentive Compensation - Order to Transaction Workbook processor                                                                                                                                                                                             Incentive Compensation                                                        IComp                            0                        
ICM Quota Import                                                              Incentive Compensation Mgr                                                    Batch                            ICMQuotaImport                    Active                                                         Incentive Compensation - Plan Quota Import                                                                                                                                                                                                                   Incentive Compensation                                                        IComp                            0                        
Incentive Compensation Credit Assignment DB Operations Bus Svc                Business Service Manager                                                      Batch                            ICompCreditAsgnDB                 Active                                                         Incentive Compensation Credit Assignment DB Operations Bus Svc                                                                                                                                                                                               Sales Credit Assignment                                                       CreditAsgn                       0                        
Incentive Compensation Credit Assignment Engine                               IComp Credit Assignment Engine                                                Batch                            ICompCreditAsgn                   Active                                                         Calculates Credit Assignments for Incentive Compensation                                                                                                                                                                                                     Sales Credit Assignment                                                       CreditAsgn                       0                        
Incentive Compensation Credit Rules to AM Rules Update Mgr                    Batch Real-Time Integration                                                   Batch                            ICompCreditUpMgr                  Active                                                         Updates and Creates AM Rules using RTI                                                                                                                                                                                                                       Sales Credit Assignment                                                       CreditAsgn                       0                        
Incentive Compensation Mgr                                                    Incentive Compensation Mgr                                                    Batch                            ICompMgr                          Active                                                         Calculates Incentive Compensations                                                                                                                                                                                                                           Incentive Compensation                                                        IComp                            0                        
Incentive Compensation Rule Manager Business Svc                              Business Service Manager                                                      Batch                            ICompRuleMgrSvc                   Active                                                         Converts Sales Crediting Rules into AM Rules for each Hierarchy                                                                                                                                                                                              Sales Credit Assignment                                                       CreditAsgn                       0                        
Insurance eService Object Manager (ENU)                                       Application Object Manager                                                    Interactive                      INSeServiceObjMgr_enu             Active                                                         Insurance eService Object Manager                                                                                                                                                                                                                            Siebel Financial Services                                                     Fins                             0                        
Insurance eService Object Manager (PTB)                                       Application Object Manager                                                    Interactive                      INSeServiceObjMgr_ptb             Active                                                         Insurance eService Object Manager                                                                                                                                                                                                                            Siebel Financial Services                                                     Fins                             0                        
JMS Receiver                                                                  Enterprise Application Integration Receiver                                   Background                       JMSReceiver                       Active                                                         Pre-configured receiver for inbound JMS messages                                                                                                                                                                                                             Enterprise Application Integration                                            EAI                              0                        
List Import Service Manager                                                   Business Service Manager                                                      Batch                            ListImportSvcMgr                  Active                                                         Loads files for list manager(OM Based)                                                                                                                                                                                                                       Marketing Server                                                              MktgSrv                          0                        
Loyalty eMember Object Manager (ENU)                                          Application Object Manager                                                    Interactive                      eloyaltyObjMgr_enu                Active                                                         Siebel Loyalty eMember Object Manager                                                                                                                                                                                                                        Siebel Loyalty                                                                Loyalty                          0                        
Loyalty eMember Object Manager (PTB)                                          Application Object Manager                                                    Interactive                      eloyaltyObjMgr_ptb                Active                                                         Siebel Loyalty eMember Object Manager                                                                                                                                                                                                                        Siebel Loyalty                                                                Loyalty                          0                        
Loyalty Object Manager (ENU)                                                  Application Object Manager                                                    Interactive                      loyaltyObjMgr_enu                 Active                                                         Siebel Loyalty Object Manager                                                                                                                                                                                                                                Siebel Loyalty                                                                Loyalty                          0                        
Loyalty Object Manager (PTB)                                                  Application Object Manager                                                    Interactive                      loyaltyObjMgr_ptb                 Active                                                         Siebel Loyalty Object Manager                                                                                                                                                                                                                                Siebel Loyalty                                                                Loyalty                          0                        
Loyalty Partner Portal Object Manager (ENU)                                   Application Object Manager                                                    Interactive                      loyaltyscwObjMgr_enu              Active                                                         Siebel Loyalty Partner Portal Object Manager                                                                                                                                                                                                                 Siebel Loyalty                                                                Loyalty                          0                        
Loyalty Partner Portal Object Manager (PTB)                                   Application Object Manager                                                    Interactive                      loyaltyscwObjMgr_ptb              Active                                                         Siebel Loyalty Partner Portal Object Manager                                                                                                                                                                                                                 Siebel Loyalty                                                                Loyalty                          0                        
Marketing Object Manager (ENU)                                                Application Object Manager                                                    Interactive                      SMObjMgr_enu                      Active                                                         Siebel Marketing Object Manager                                                                                                                                                                                                                              Marketing Object Manager                                                      MktgOM                           0                        
Marketing Object Manager (PTB)                                                Application Object Manager                                                    Interactive                      SMObjMgr_ptb                      Active                                                         Siebel Marketing Object Manager                                                                                                                                                                                                                              Marketing Object Manager                                                      MktgOM                           0                        
MQSeries AMI Receiver                                                         Enterprise Application Integration Receiver                                   Background                       MqSeriesAMIRcvr                   Inactive                                                       Pre-configured receiver for in-bound MQSeries AMI messages                                                                                                                                                                                                   Enterprise Application Integration                                            EAI                              0                        
MQSeries Server Receiver                                                      Enterprise Application Integration Receiver                                   Background                       MqSeriesSrvRcvr                   Inactive                                                       Pre-configured receiver for in-bound MQSeries server messages                                                                                                                                                                                                Enterprise Application Integration                                            EAI                              0                        
MSMQ Receiver                                                                 Enterprise Application Integration Receiver                                   Background                       MSMQRcvr                          Inactive                                                       Pre-configured receiver for in-bound MSMQ server messages                                                                                                                                                                                                    Enterprise Application Integration                                            EAI                              0                        
Optimization Engine                                                           Business Service Manager                                                      Batch                            Optimizer                         Active                                                         Optimize vehicle routing                                                                                                                                                                                                                                     Field Service                                                                 FieldSvc                         0                        
Oracle Receiver                                                               Enterprise Application Integration Connector Receiver                         Background                       ORCLRcvr                          Active                                                         Pre-configured receiver for in-bound Oracle                                                                                                                                                                                                                  Oracle Connector                                                              ORCL                             0                        
Page Manager                                                                  Page Manager                                                                  Background                       PageMgr                           Active                                                         Sends outbound pages                                                                                                                                                                                                                                         Communications Management                                                     CommMgmt                         0                        
Parallel Database Extract                                                     Database Extract                                                              Batch                            PDbXtract                         Active                                                         Extracts visible data for a Siebel Remote or Replication Manager client                                                                                                                                                                                      Siebel Remote                                                                 Remote                           0                        
Partner Manager Object Manager (ENU)                                          Application Object Manager                                                    Interactive                      PManagerObjMgr_enu                Active                                                         Siebel Partner Manager Object Manager                                                                                                                                                                                                                        Siebel eChannel                                                               eChannel                         0                        
Partner Manager Object Manager (PTB)                                          Application Object Manager                                                    Interactive                      PManagerObjMgr_ptb                Active                                                         Siebel Partner Manager Object Manager                                                                                                                                                                                                                        Siebel eChannel                                                               eChannel                         0                        
PIMSI Dispatcher                                                              Business Service Manager                                                      Batch                            PIMSIDispatcher                   Active                                                         Executes real-time Business Processes                                                                                                                                                                                                                        PIM Server Integration Management                                             PIMSI                            0                        
PIMSI Engine                                                                  Business Service Manager                                                      Batch                            PIMSIEng                          Active                                                         Executes real-time Business Processes                                                                                                                                                                                                                        PIM Server Integration Management                                             PIMSI                            0                        
Preventive Maintenance Engine                                                 Business Service Manager                                                      Batch                            FSPrevMnt                         Active                                                         Generates SRs and activities for preventive maintenanance                                                                                                                                                                                                    Field Service                                                                 FieldSvc                         0                        
Public Sector eService Object Manager (ENU)                                   Application Object Manager                                                    Interactive                      PSeServiceObjMgr_enu              Active                                                         Siebel Public Sector eService Object Manager                                                                                                                                                                                                                 Siebel Public Sector                                                          PublicSector                     0                        
Public Sector eService Object Manager (PTB)                                   Application Object Manager                                                    Interactive                      PSeServiceObjMgr_ptb              Active                                                         Siebel Public Sector eService Object Manager                                                                                                                                                                                                                 Siebel Public Sector                                                          PublicSector                     0                        
Public Sector Object Manager (ENU)                                            Application Object Manager                                                    Interactive                      PSCcObjMgr_enu                    Active                                                         Siebel Public Sector Object Manager                                                                                                                                                                                                                          Siebel Public Sector                                                          PublicSector                     0                        
Public Sector Object Manager (PTB)                                            Application Object Manager                                                    Interactive                      PSCcObjMgr_ptb                    Active                                                         Siebel Public Sector Object Manager                                                                                                                                                                                                                          Siebel Public Sector                                                          PublicSector                     0                        
Real Time Sync Data Extractor                                                 Business Service Manager                                                      Batch                            RTSExtractor                      Active                                                         Extracts data for RTS messages                                                                                                                                                                                                                               MWC Real Time Sync                                                            RTSRemote                        0                        
Real Time Sync Message Sender                                                 Business Service Manager                                                      Batch                            RTSSender                         Active                                                         Sends RTS messages via SMQ                                                                                                                                                                                                                                   MWC Real Time Sync                                                            RTSRemote                        0                        
Real Time Sync Transaction Applier                                            Business Service Manager                                                      Batch                            RTSQApplier                       Active                                                         Apply inbound transactions uploaded from Mobile Clients                                                                                                                                                                                                      MWC Real Time Sync                                                            RTSRemote                        0                        
Real Time Sync Transaction Dispatcher                                         RTS Transaction Dispatcher                                                    Background                       RTSDispatcher                     Active                                                         Dispatch Critial Transactions to the Mobile Client                                                                                                                                                                                                           MWC Real Time Sync                                                            RTSRemote                        0                        
Replication Agent                                                             Replication Agent                                                             Background                       RepAgent                          Active                                                         Synchronizes a Replication Manager regional database                                                                                                                                                                                                         Siebel Remote                                                                 Remote                           0                        
RTI Batch                                                                     Batch Real-Time Integration                                                   Batch                            RTIBatch                          Active                                                         Executes SQL's in batch                                                                                                                                                                                                                                      Siebel RTI                                                                    RTI                              0                        
Sales Hierarchy Service Manager                                               Business Service Manager                                                      Batch                            SalesHierSvcMgr                   Active                                                         Execute Sales Hierarchy Service Operations                                                                                                                                                                                                                   Sales Hierarchy Service                                                       SalesHierSvc                     0                        
Sales Object Manager (ENU)                                                    Application Object Manager                                                    Interactive                      SSEObjMgr_enu                     Active                                                         Siebel Sales Object Manager                                                                                                                                                                                                                                  Siebel Sales                                                                  Sales                            0                        
Sales Object Manager (PTB)                                                    Application Object Manager                                                    Interactive                      SSEObjMgr_ptb                     Active                                                         Siebel Sales Object Manager                                                                                                                                                                                                                                  Siebel Sales                                                                  Sales                            0                        
SAP BAPI tRFC Receiver                                                        Enterprise Application Integration Connector Receiver                         Background                       BAPIRcvr                          Active                                                         Pre-configured receiver for in-bound SAP IDOCs and tRFC calls                                                                                                                                                                                                SAP Connector                                                                 SAP                              0                        
SAP IDOC AMI Receiver for MQ Series                                           Enterprise Application Integration Receiver                                   Background                       SAPIdocAMIMqRcvr                  Active                                                         Pre-configured receiver for in-bound SAP IDOCs via AMI MQSeries                                                                                                                                                                                              SAP Connector                                                                 SAP                              0                        
SAP IDOC Receiver for MQ Series                                               Enterprise Application Integration Receiver                                   Background                       SAPIdocMqRcvr                     Active                                                         Pre-configured receiver for in-bound SAP IDOCs via MQSeries                                                                                                                                                                                                  SAP Connector                                                                 SAP                              0                        
SAP Process Transaction                                                       Enterprise Application Integration Connector Receiver                         Background                       SAPProcessTrans                   Active                                                         Pre-configured Service to reprocess transactions into Siebel from EAI Queue                                                                                                                                                                                  SAP Connector                                                                 SAP                              0                        
SAP Send Transaction                                                          Enterprise Application Integration Connector Receiver                         Background                       SAPSendTrans                      Active                                                         Pre-configured service resends transactions from the EAI Queue                                                                                                                                                                                               SAP Connector                                                                 SAP                              0                        
Search Data Processor                                                         Business Service Manager                                                      Batch                            SearchDataProcessor               Active                                                         Prcoesses Search data and builds index                                                                                                                                                                                                                       Search Processing                                                             Search                           0                        
Search Incremental Index Processor                                            Business Service Manager                                                      Batch                            SearchIncrementalIndexProcessor   Active                                                         Prcoesses Search data and updates/builds index incrementally                                                                                                                                                                                                 Search Processing                                                             Search                           0                        
FOO Asset PEFIN REFIN Canceled Monitor                                        Workflow Monitor Agent                                                        Background                       FOOAssetPERCMon                   Active                                                                                                                                                                                                                                                                                                                      Workflow Management                                                           Workflow                         0                        
FOO Workflow Monitor Agent Asset                                              Workflow Monitor Agent                                                        Background                       FOOWorkMonAsset                   Active                                                                                                                                                                                                                                                                                                                      Workflow Management                                                           Workflow                         0                        
FOO Workflow Monitor Agent Order Item                                         Workflow Monitor Agent                                                        Background                       FOOWorkMonOrderItem               Active                                                                                                                                                                                                                                                                                                                      Workflow Management                                                           Workflow                         0                        
Server Manager                                                                Server Manager                                                                Interactive                      ServerMgr                         Active                                                         Administers the Siebel Server                                                                                                                                                                                                                                System Management                                                             System                           0                        
Server Request Broker                                                         Server Request Broker                                                         Interactive                      SRBroker                          Active                                                         Route requests and asynchronous notification among clients and components                                                                                                                                                                                    System Management                                                             System                           0                        
Server Request Processor                                                      Server Request Processor (SRP)                                                Interactive                      SRProc                            Active                                                         Server Request scheduler and request/notification store and forward processor                                                                                                                                                                                Auxiliary System Management                                                   SystemAux                        0                        
Server Tables Cleanup                                                         Business Service Manager                                                      Background                       SvrTblCleanup                     Active                                                         Deletes completed and expired Server Request records                                                                                                                                                                                                         Auxiliary System Management                                                   SystemAux                        0                        
Server Task Persistance                                                       Business Service Manager                                                      Background                       SvrTaskPersist                    Active                                                         Persists all the tasks created by the siebel server                                                                                                                                                                                                          Auxiliary System Management                                                   SystemAux                        0                        
Service Order Fulfillment Engine                                              Business Service Manager                                                      Batch                            FSFulfill                         Active                                                         Fulfill pending Service Orders                                                                                                                                                                                                                               Field Service                                                                 FieldSvc                         0                        
Service Order Part Locator Engine                                             Business Service Manager                                                      Batch                            FSLocate                          Active                                                         Locate pending Service Orders                                                                                                                                                                                                                                Field Service                                                                 FieldSvc                         0                        
SIA Marketing Object Manager (ENU)                                            Application Object Manager                                                    Interactive                      sismeObjMgr_enu                   Active                                                         Siebel Industry Marketing Object Manager                                                                                                                                                                                                                     Siebel Industry Marketing                                                     SISME                            0                        
SIA Marketing Object Manager (PTB)                                            Application Object Manager                                                    Interactive                      sismeObjMgr_ptb                   Active                                                         Siebel Industry Marketing Object Manager                                                                                                                                                                                                                     Siebel Industry Marketing                                                     SISME                            0                        
Siebel Administrator Notification Component                                   Siebel Administrator Notification Component                                   Batch                            AdminNotify                       Active                                                         To notify the administrator in case problems are detected with Siebel server and running components                                                                                                                                                          Auxiliary System Management                                                   SystemAux                        0                        
Siebel Connection Broker                                                      Siebel Connection Broker                                                      Background                       SCBroker                          Active                                                         Route and load balance connections to components                                                                                                                                                                                                             System Management                                                             System                           0                        
Siebel eChannel Wireless (ENU)                                                Application Object Manager                                                    Interactive                      WirelesseChannelObjMgr_enu        Active                                                         Siebel eChannel Wireless Object Manager                                                                                                                                                                                                                      Siebel Wireless                                                               Wireless                         0                        
Siebel eChannel Wireless (PTB)                                                Application Object Manager                                                    Interactive                      WirelesseChannelObjMgr_ptb        Active                                                         Siebel eChannel Wireless Object Manager                                                                                                                                                                                                                      Siebel Wireless                                                               Wireless                         0                        
Siebel Mobile Connector Object Manager (ENU)                                  Application Object Manager                                                    Interactive                      SMCObjMgr_enu                     Active                                                         Siebel Mobile Connector Object Manager                                                                                                                                                                                                                       Siebel Sales                                                                  Sales                            0                        
Siebel Mobile Connector Object Manager (PTB)                                  Application Object Manager                                                    Interactive                      SMCObjMgr_ptb                     Active                                                         Siebel Mobile Connector Object Manager                                                                                                                                                                                                                       Siebel Sales                                                                  Sales                            0                        
Siebel Product Configuration Object Manager (ENU)                             Application Object Manager                                                    Interactive                      eProdCfgObjMgr_enu                Active                                                         Configuration server for complex products                                                                                                                                                                                                                    Siebel ISS                                                                    ISS                              0                        
Siebel Product Configuration Object Manager (PTB)                             Application Object Manager                                                    Interactive                      eProdCfgObjMgr_ptb                Active                                                         Configuration server for complex products                                                                                                                                                                                                                    Siebel ISS                                                                    ISS                              0                        
Siebel Sales Wireless (ENU)                                                   Application Object Manager                                                    Interactive                      WirelessSalesObjMgr_enu           Active                                                         Siebel Sales Wireless Object Manager                                                                                                                                                                                                                         Siebel Wireless                                                               Wireless                         0                        
Siebel Sales Wireless (PTB)                                                   Application Object Manager                                                    Interactive                      WirelessSalesObjMgr_ptb           Active                                                         Siebel Sales Wireless Object Manager                                                                                                                                                                                                                         Siebel Wireless                                                               Wireless                         0                        
Siebel Self Service Wireless (ENU)                                            Application Object Manager                                                    Interactive                      WirelesseServiceObjMgr_enu        Active                                                         Siebel Self Service Wireless Object Manager                                                                                                                                                                                                                  Siebel Wireless                                                               Wireless                         0                        
Siebel Self Service Wireless (PTB)                                            Application Object Manager                                                    Interactive                      WirelesseServiceObjMgr_ptb        Active                                                         Siebel Self Service Wireless Object Manager                                                                                                                                                                                                                  Siebel Wireless                                                               Wireless                         0                        
Siebel Server                                                                 Siebel Server                                                                 Background                       SiebSrvr                          Active                                                         Siebel Server root process and network listener                                                                                                                                                                                                              System Management                                                             System                           0                        
Siebel Server Scheduler                                                       Siebel Server Scheduler                                                       Background                       SrvrSched                         Active                                                         Schedules Siebel Server job execution                                                                                                                                                                                                                        System Management                                                             System                           0                        
Siebel Service Handheld 7.5 (ENU)                                             Application Object Manager                                                    Interactive                      ServiceCEObjMgr_enu               Active                                                         siebel Service Handheld 7.5                                                                                                                                                                                                                                  Handheld Synchronization                                                      HandheldSync                     0                        
Siebel Service Handheld 7.5 (PTB)                                             Application Object Manager                                                    Interactive                      ServiceCEObjMgr_ptb               Active                                                         siebel Service Handheld 7.5                                                                                                                                                                                                                                  Handheld Synchronization                                                      HandheldSync                     0                        
Siebel Service Wireless (ENU)                                                 Application Object Manager                                                    Interactive                      WirelessServiceObjMgr_enu         Active                                                         Siebel Service Wireless Object Manager                                                                                                                                                                                                                       Siebel Wireless                                                               Wireless                         0                        
Siebel Service Wireless (PTB)                                                 Application Object Manager                                                    Interactive                      WirelessServiceObjMgr_ptb         Active                                                         Siebel Service Wireless Object Manager                                                                                                                                                                                                                       Siebel Wireless                                                               Wireless                         0                        
Siebel to Siebel MQSeries Receiver                                            Enterprise Application Integration Receiver                                   Background                       S2SMqRcvr                         Active                                                         Pre-configured receiver for Siebel to Siebel in-bound MQSeries server messages                                                                                                                                                                               Siebel To Siebel Connector                                                    S2S                              0                        
Siebel to Siebel MSMQ Receiver                                                Enterprise Application Integration Receiver                                   Background                       S2SMSMQRcvr                       Active                                                         Pre-configured receiver for Siebel to Siebel in-bound MSMQ server messages                                                                                                                                                                                   Siebel To Siebel Connector                                                    S2S                              0                        
Smart Answer Manager                                                          Business Service Manager                                                      Batch                            SmartAnswer                       Active                                                         Categorize Text Message                                                                                                                                                                                                                                      Communications Management                                                     CommMgmt                         0                        
SMQ Receiver                                                                  Enterprise Application Integration Receiver                                   Background                       SMQReceiver                       Inactive                                                       Pre-configured receiver for in-bound SMQ messages                                                                                                                                                                                                            Enterprise Application Integration                                            EAI                              0                        
Synchronization Manager                                                       Synchronization Manager                                                       Interactive                      SynchMgr                          Active                                                         Manages Siebel Remote and Replication Manager synch sessions                                                                                                                                                                                                 Siebel Remote                                                                 Remote                           0                        
Task Log Cleanup                                                              Business Service Manager                                                      Background                       TaskLogCleanup                    Active                                                         Task Log Cleanup Business Service                                                                                                                                                                                                                            Task UI                                                                       TaskUI                           0                        
Transaction Merger                                                            Transaction Merger                                                            Background                       TxnMerge                          Active                                                         Merges transactions from Siebel Remote and Replication Manager clients                                                                                                                                                                                       Siebel Remote                                                                 Remote                           0                        
Transaction Processor                                                         Transaction Processor                                                         Background                       TxnProc                           Active                                                         Prepares the transaction log for the Transaction Router                                                                                                                                                                                                      Siebel Remote                                                                 Remote                           0                        
Transaction Router                                                            Transaction Router                                                            Background                       TxnRoute                          Active                                                         Routes visible transactions to Siebel Remote and Replication Manager clients                                                                                                                                                                                 Siebel Remote                                                                 Remote                           0                        
UCM Batch Manager                                                             Business Service Manager                                                      Batch                            UCMBatchProcess                   Active                                                         UCM Batch Manager in the background.                                                                                                                                                                                                                         Siebel Universal Customer Master                                              UCM                              0                        
UCM Batch Publish Subscribe                                                   Business Service Manager                                                      Batch                            UCMBatchPubSub                    Active                                                         UCM Daily Batch Publish Subscribe in the background.                                                                                                                                                                                                         Siebel Universal Customer Master                                              UCM                              0                        
UCM Object Manager (ENU)                                                      Application Object Manager                                                    Interactive                      UCMObjMgr_enu                     Active                                                         Siebel Universal Customer Master Object Manager                                                                                                                                                                                                              Siebel Universal Customer Master                                              UCM                              0                        
UCM Object Manager (PTB)                                                      Application Object Manager                                                    Interactive                      UCMObjMgr_ptb                     Active                                                         Siebel Universal Customer Master Object Manager                                                                                                                                                                                                              Siebel Universal Customer Master                                              UCM                              0                        
Upgrade Kit Builder                                                           Business Service Manager                                                      Batch                            UpgKitBldr                        Active                                                         Creates the Upgrade Kit based on information collected by the Kit Wizard UI                                                                                                                                                                                  Siebel Anywhere                                                               SiebAnywhere                     0                        
Workflow Action Agent                                                         Workflow Action Agent                                                         Background                       WorkActn                          Active                                                         Executes Workflow Manager actions                                                                                                                                                                                                                            Workflow Management                                                           Workflow                         0                        
Workflow Monitor Agent                                                        Workflow Monitor Agent                                                        Background                       WorkMon                           Active                                                         Monitors Workflow Manager events                                                                                                                                                                                                                             Workflow Management                                                           Workflow                         0                        
Workflow Monitor Agent SWI                                                    Workflow Monitor Agent                                                        Background                       WorkMonSWI                        Active                                                                                                                                                                                                                                                                                                                      Workflow Management                                                           Workflow                         0                        
Workflow Process Batch Manager                                                Business Service Manager                                                      Batch                            WfProcBatchMgr                    Active                                                         Executes Business Processes in batch                                                                                                                                                                                                                         Workflow Management                                                           Workflow                         0                        
Workflow Process Manager                                                      Business Service Manager                                                      Batch                            WfProcMgr                         Active                                                         Executes real-time Business Processes                                                                                                                                                                                                                        Workflow Management                                                           Workflow                         0                        
Workflow Recovery Manager                                                     Business Service Manager                                                      Batch                            WfRecvMgr                         Active                                                         Recovers interrupted Business Processes due to server failures                                                                                                                                                                                               Workflow Management                                                           Workflow                         0                        
XMLP Report Server                                                            Business Service Manager                                                      Batch                            XMLPReportServer                  Active                                                         Generates Reports                                                                                                                                                                                                                                            XMLP Report                                                                   XMLPReport                       0                        

255 rows returned.
