0000	char0
2500	SF100000
2501	uni2501
2502	SF110000
2503	uni2503
2504	uni2504
2505	uni2505
2506	uni2506
2507	uni2507
2508	uni2508
2509	uni2509
250A	uni250A
250B	uni250B
250C	SF010000
250D	uni250D
250E	uni250E
250F	uni250F
2510	SF030000
2511	uni2511
2512	uni2512
2513	uni2513
2514	SF020000
2515	uni2515
2516	uni2516
2517	uni2517
2518	SF040000
2519	uni2519
251A	uni251A
251B	uni251B
251C	SF080000
251D	uni251D
251E	uni251E
251F	uni251F
2520	uni2520
2521	uni2521
2522	uni2522
2523	uni2523
2524	SF090000
2525	uni2525
2526	uni2526
2527	uni2527
2528	uni2528
2529	uni2529
252A	uni252A
252B	uni252B
252C	SF060000
252D	uni252D
252E	uni252E
252F	uni252F
2530	uni2530
2531	uni2531
2532	uni2532
2533	uni2533
2534	SF070000
2535	uni2535
2536	uni2536
2537	uni2537
2538	uni2538
2539	uni2539
253A	uni253A
253B	uni253B
253C	SF050000
253D	uni253D
253E	uni253E
253F	uni253F
2540	uni2540
2541	uni2541
2542	uni2542
2543	uni2543
2544	uni2544
2545	uni2545
2546	uni2546
2547	uni2547
2548	uni2548
2549	uni2549
254A	uni254A
254B	uni254B
254C	uni254C
254D	uni254D
254E	uni254E
254F	uni254F
2550	SF430000
2551	SF240000
2552	SF510000
2553	SF520000
2554	SF390000
2555	SF220000
2556	SF210000
2557	SF250000
2558	SF500000
2559	SF490000
255A	SF380000
255B	SF280000
255C	SF270000
255D	SF260000
255E	SF360000
255F	SF370000
2560	SF420000
2561	SF190000
2562	SF200000
2563	SF230000
2564	SF470000
2565	SF480000
2566	SF410000
2567	SF450000
2568	SF460000
2569	SF400000
256A	SF540000
256B	SF530000
256C	SF440000
256D	uni256D
256E	uni256E
256F	uni256F
2570	uni2570
2571	uni2571
2572	uni2572
2573	uni2573
2574	uni2574
2575	uni2575
2576	uni2576
2577	uni2577
2578	uni2578
2579	uni2579
257A	uni257A
257B	uni257B
257C	uni257C
257D	uni257D
257E	uni257E
257F	uni257F
2580	upblock
2581	uni2581
2582	uni2582
2583	uni2583
2584	dnblock
2585	uni2585
2586	uni2586
2587	uni2587
2588	block
2589	uni2589
258A	uni258A
258B	uni258B
258C	lfblock
258D	uni258D
258E	uni258E
258F	uni258F
2590	rtblock
2591	ltshade
2592	shade
2593	dkshade
2594	uni2594
2595	uni2595
25A0	filledbox
25A1	H22073
25AA	H18543
25AB	H18551
25AC	filledrect
25AD	uni25AD
25AE	uni25AE
25B2	triagup
25B3	uni25B3
25B6	uni25B6
25B7	uni25B7
25B8	uni25B8
25B9	uni25B9
25BA	triagrt
25BB	uni25BB
25BC	triagdn
25BD	uni25BD
25C0	uni25C0
25C1	uni25C1
25C2	uni25C2
25C3	uni25C3
25C4	triaglf
25C5	uni25C5
25C6	uni25C6
25CA	lozenge
25CB	circle
25CF	H18533
25D8	invbullet
25D9	invcircle
25E6	openbullet
2639	uni2639
263A	smileface
263B	invsmileface
263C	sun
2640	female
2641	uni2641
2642	male
2660	spade
2663	club
2665	heart
2666	diamond
2669	uni2669
266A	musicalnote
266B	musicalnotedbl
266C	uni266C
